metric,mean,std,min,max,folds
accuracy,0.8413862235,0.0742915367,0.6700125471,0.9519595449,50
macro_f1,0.7647418451,0.0888503349,0.5801160652,0.9426364168,50
weighted_f1,0.8431853485,0.0664156317,0.6874040504,0.9506540528,50
roc_auc_ovr_macro,0.9493884552,0.0312639586,0.8755270825,0.9988074379,50
average_precision_macro,0.8552320575,0.0750868741,0.7088147341,0.9958412872,50
n_items,832.0,72.4453347747,790.0,975.0,50
precision_HumpbackWhale,0.6029008402,0.2653709349,0.1217391304,0.969924812,50
recall_HumpbackWhale,0.635812173,0.2626433887,0.1884057971,0.9705882353,50
f1_HumpbackWhale,0.5702084532,0.1933124557,0.152173913,0.9558823529,50
support_HumpbackWhale,109.2,73.3329004316,68.0,254.0,50
precision_SpermWhale,0.8070529142,0.1260513094,0.6066066066,0.9885057471,50
recall_SpermWhale,0.8655430913,0.1210846892,0.4900990099,1.0,50
f1_SpermWhale,0.8236841643,0.0845990466,0.613003096,0.9554455446,50
support_SpermWhale,202.6,0.4948716593,202.0,203.0,50
precision_KillerWhale,0.9296266844,0.0311720489,0.8737201365,0.9883449883,50
recall_KillerWhale,0.8824255429,0.1286263537,0.591954023,0.9980769231,50
f1_KillerWhale,0.9003329179,0.0766998278,0.7079037801,0.9691876751,50
support_KillerWhale,520.2,0.9897433186,519.0,522.0,50
