feature,gain,repeat,fold
contrast_2_p90,0.0765862986445427,0,0
mfcc_15_std,0.05969257652759552,0,0
mfcc_14_std,0.04743948206305504,0,0
contrast_3_p10,0.03198715299367905,0,0
zero_crossing_rate_std,0.02914920635521412,0,0
contrast_3_mean,0.027841851115226746,0,0
rms_p10,0.02648601122200489,0,0
contrast_2_mean,0.022317824885249138,0,0
mfcc_13_std,0.021376311779022217,0,0
dominant_frequency,0.01749820075929165,0,0
mfcc_16_std,0.01713714376091957,0,0
zero_crossing_rate_mean,0.016795329749584198,0,0
contrast_2_std,0.015184684656560421,0,0
contrast_3_p90,0.012905653566122055,0,0
zero_crossing_rate_p90,0.010952498763799667,0,0
mfcc_2_mean,0.010501326993107796,0,0
contrast_4_p90,0.010441833175718784,0,0
mfcc_9_std,0.00976440031081438,0,0
mfcc_19_std,0.009418344125151634,0,0
mfcc_delta_8_p90,0.00828065536916256,0,0
flatness_p10,0.007885940372943878,0,0
zero_crossing_rate_p10,0.007835998199880123,0,0
dominant_frequency_ratio,0.00777469901368022,0,0
contrast_5_mean,0.007426382973790169,0,0
bandwidth_p90,0.007282979786396027,0,0
spectral_entropy_p90,0.007177512627094984,0,0
mfcc_0_p10,0.007176381070166826,0,0
rms_p90,0.006834810599684715,0,0
mfcc_delta_0_p10,0.006828575395047665,0,0
mfcc_8_std,0.006750656757503748,0,0
rms_std,0.006675726734101772,0,0
mfcc_17_std,0.0066095683723688126,0,0
mfcc_delta_1_p90,0.005903678480535746,0,0
mfcc_delta_15_std,0.005874185357242823,0,0
mfcc_3_mean,0.0055593466386199,0,0
mfcc_1_p90,0.0054187779314816,0,0
mfcc_7_std,0.005402994342148304,0,0
mfcc_delta_8_std,0.005378712434321642,0,0
rolloff85_p10,0.005360961426049471,0,0
contrast_4_mean,0.005295533686876297,0,0
centroid_std,0.005265690386295319,0,0
flatness_mean,0.005212944466620684,0,0
mfcc_14_p90,0.004956378135830164,0,0
mfcc_delta_1_p10,0.004894786048680544,0,0
rms_mean,0.004879238083958626,0,0
mfcc_delta_14_std,0.004861684050410986,0,0
mfcc_18_std,0.004765915218740702,0,0
mfcc_15_p10,0.004489774350076914,0,0
mfcc_1_std,0.004461468663066626,0,0
contrast_5_p10,0.004451286047697067,0,0
mfcc_2_p10,0.004447472281754017,0,0
contrast_3_std,0.004438664298504591,0,0
mfcc_16_p10,0.0043766554445028305,0,0
mfcc_delta_6_std,0.004305975046008825,0,0
mfcc_delta_0_std,0.004304881673306227,0,0
mfcc_12_p10,0.004225756973028183,0,0
bandwidth_p10,0.0041684117168188095,0,0
mfcc_19_mean,0.0040573845617473125,0,0
mfcc_13_p10,0.003923499025404453,0,0
mfcc_12_std,0.003860206576064229,0,0
contrast_2_p90,0.10974027961492538,0,1
mfcc_15_std,0.07746776193380356,0,1
