metric,mean,std,min,max,folds
accuracy,0.8875343010979528,0.04985922391386364,0.7914032869785083,0.959493670886076,50
macro_f1,0.8225275378499964,0.08885459547026267,0.6433471502606259,0.9312742812742814,50
weighted_f1,0.8844950712322758,0.05135481909178715,0.8056339552646852,0.9594908495216588,50
roc_auc_ovr_macro,0.9670590508374256,0.02427671226485372,0.9081405340196186,0.9970003135140795,50
average_precision_macro,0.8953451545823958,0.09033569033242819,0.7051778775346875,0.9922231356490022,50
n_items,832.0,72.44533477465781,790.0,975.0,50
precision_HumpbackWhale,0.7274850537474914,0.26475492304744047,0.1595744680851064,1.0,50
recall_HumpbackWhale,0.6079843942295553,0.23339612603405593,0.18840579710144928,0.8676470588235294,50
f1_HumpbackWhale,0.6489663546083375,0.2284244603951762,0.18404907975460122,0.8923076923076924,50
support_HumpbackWhale,109.2,73.33290043162268,68.0,254.0,50
precision_SpermWhale,0.8690779058881052,0.055844017678637836,0.7584905660377359,0.9565217391304348,50
recall_SpermWhale,0.9219114275959615,0.06733378309637941,0.7536945812807881,1.0,50
f1_SpermWhale,0.8919801671407029,0.03774970599404823,0.826530612244898,0.9658536585365853,50
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0,50
precision_KillerWhale,0.9201494438011831,0.050797533564155804,0.7987519500780031,0.982824427480916,50
recall_KillerWhale,0.9362904773343282,0.05126679053810414,0.7865384615384615,0.9923076923076923,50
f1_KillerWhale,0.9266360918009491,0.0366320920293014,0.8601472134595163,0.9865900383141762,50
support_KillerWhale,520.2,0.989743318610787,519.0,522.0,50
