model,coverage,threshold,predictions,clips,accuracy,macro_f1
xgboost,1.0,0.3338,42170,4217,0.8174531658,0.7498319105
xgboost,0.95,0.4279,40061,4212,0.8360999476,0.7696072466
xgboost,0.9,0.469,37953,4187,0.8511580112,0.7849270862
xgboost,0.8,0.5365,33736,4018,0.8726879298,0.8039779062
xgboost,0.7,0.5858,29519,3839,0.88353264,0.8133649061
xgboost,0.6,0.613,25302,3702,0.8814322978,0.8121991378
xgboost,0.5,0.6527,21085,3510,0.8790135167,0.8063320652
xgboost,0.4,0.7028,16868,2903,0.877400996,0.7973864443
xgboost,0.3,0.7689,12651,2423,0.8883092246,0.7888611601
xgboost,0.2,0.8193,8434,1881,0.894119042,0.79697347
xgboost,0.1,0.8741,4217,1206,0.9134455774,0.8663569659
cnn_small,1.0,0.387,4217,4217,0.8074460517,0.7366380201
cnn_small,0.95,0.63,4006,4006,0.8277583625,0.7537957407
cnn_small,0.8999,0.7554,3795,3795,0.8471673254,0.7675898904
cnn_small,0.7999,0.9101,3373,3373,0.8639193596,0.7751778683
cnn_small,0.7,0.9685,2952,2952,0.8777100271,0.773940555
cnn_small,0.6,0.9868,2530,2530,0.8889328063,0.7743947987
cnn_small,0.5001,0.994,2109,2109,0.8999525842,0.7857557079
cnn_small,0.4,0.9977,1687,1687,0.9146413752,0.7929936995
cnn_small,0.3,0.9994,1265,1265,0.9383399209,0.8233971102
cnn_small,0.2001,0.9999,844,844,0.971563981,0.870344139
cnn_small,0.1005,1.0,424,424,1.0,1.0
probe,1.0,0.3408,42170,4217,0.7718994546,0.7193370869
probe,0.95,0.5185,40061,4199,0.7877237213,0.7324573468
probe,0.9,0.5815,37953,4153,0.8023344663,0.7437020128
probe,0.8,0.6959,33736,3957,0.8305074698,0.7609897877
probe,0.7,0.7998,29519,3648,0.8595142112,0.7778011879
probe,0.6,0.8814,25302,3272,0.8859378705,0.7910000491
probe,0.5,0.9381,21085,2847,0.9116433484,0.7999941476
probe,0.4,0.9726,16868,2362,0.9365069955,0.8000570533
probe,0.3,0.9902,12651,1899,0.9599241167,0.8303217649
probe,0.2,0.9973,8434,1404,0.9740336732,0.8209594507
probe,0.1,0.9996,4217,790,0.9893289068,0.8005057882
xgboost+probe,1.0,0.3356,42170,4217,0.8077069006,0.7552767501
xgboost+probe,0.95,0.4691,40061,4189,0.8243428771,0.7701494978
xgboost+probe,0.9,0.5096,37953,4140,0.8433588913,0.7881296051
xgboost+probe,0.8,0.5796,33736,3930,0.8808098174,0.8200197903
xgboost+probe,0.7,0.6546,29519,3573,0.9052813442,0.8299623336
xgboost+probe,0.6,0.7233,25302,3205,0.9235238321,0.8348238276
xgboost+probe,0.5,0.7742,21085,2868,0.9344557742,0.8341058797
xgboost+probe,0.4,0.804,16868,2655,0.9371591179,0.8269110146
xgboost+probe,0.3,0.8302,12651,2370,0.9349458541,0.8269201612
xgboost+probe,0.2,0.8781,8434,1637,0.9478302111,0.8448221494
xgboost+probe,0.1,0.9223,4217,1085,0.9641925539,0.8927244872
