feature,gain,repeat,fold
collection_code_AC2A,0.3800772726535797,0,0
collection_code_BA2A,0.35051992535591125,0,0
latitude,0.21141381561756134,0,0
site_1 mile S of Olowalu reef - Hawaii,0.023953404277563095,0,0
native_sample_rate,0.018573585897684097,0,0
"site_Vancouver, British Columbia",0.0071479687467217445,0,0
site_Dominica Is,0.004763874225318432,0,0
site_N end of Dominica,0.0012733747716993093,0,0
"site_Kikvika, Norway",0.0010994361946359277,0,0
collection_code_BE7A,0.00039061755524016917,0,0
longitude,0.00022885901853442192,0,0
year,0.00022495821758639067,0,0
duration_seconds,0.00014634171384386718,0,0
bytes_on_disk,9.744379349285737e-05,0,0
cond_water_noise,8.90856099431403e-05,0,0
"site_1-1.5 miles North of Tortola, British Virgin Islands",0.0,0,0
"site_3 miles N of San Juan, Puerto Rico",0.0,0,0
"site_3-4 mi. off Roseau, Dominica",0.0,0,0
"site_3-4 mi. off Roseau, Dominica  BD",0.0,0,0
site_50 mi. NE Malta,0.0,0,0
"site_80 mi. south of Martha's Vineyard, Massachusetts",0.0,0,0
"site_Andenes, Norway",0.0,0,0
"site_Argus Island, Bermuda",0.0,0,0
site_Bequia,0.0,0,0
site_Bermuda,0.0,0,0
site_BermudaBD,0.0,0,0
"site_Castle Harbour, Bermuda",0.0,0,0
site_DOMINICA,0.0,0,0
"site_Dabob Bay, Seattle, Washington",0.0,0,0
site_Delaware,0.0,0,0
site_Dominica,0.0,0,0
site_Dominica  E,0.0,0,0
site_Dominica IsBD,0.0,0,0
"site_Gully, SE Sable I., Canada  BD",0.0,0,0
"site_Ligurian Sea, NW Italy",0.0,0,0
"site_Lower end of Lanzarote Is., Canary I.",0.0,0,0
site_Madeira,0.0,0,0
site_N of Selina,0.0,0,0
"site_N of Selina, Sicily",0.0,0,0
"site_N of Shelter Point, Knight Island Passage, Alaska",0.0,0,0
"site_Near Filicudi, Italy",0.0,0,0
"site_Off Gibbs Hill Light, Bermuda",0.0,0,0
"site_Off Maui, HI",0.0,0,0
"site_Off Maui, HIBD",0.0,0,0
site_Oregon Coast Aquarium,0.0,0,0
"site_Oregon Coastal Aquarium, Newport, OR",0.0,0,0
"site_Outside St. John's Hbr., Newfoundland",0.0,0,0
"site_Plantagenet Bank, Bermuda",0.0,0,0
"site_Saanich Inlet, Victoria, VAncouver Island, British Columbia, Canada",0.0,0,0
"site_Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",0.0,0,0
"site_Sable Island, Nova Scotia",0.0,0,0
"site_South of Sable Island, North Atlantic",0.0,0,0
"site_St. David's Island, Bermuda",0.0,0,0
"site_T3 Ice Island, Canada",0.0,0,0
"site_Three to four miles N. of Crafton Is., Prince William Sound, Alaska",0.0,0,0
"site_Tortola, British Virgin IslandsO",0.0,0,0
site_W of Browns Bank,0.0,0,0
"site_off Gibbs Hill Light, Bermuda",0.0,0,0
"site_over Plantagenet Banks, Bermuda",0.0,0,0
collection_code_BD10A,0.0,0,0
collection_code_BA2A,0.4043772518634796,0,1
collection_code_AC2A,0.28964677453041077,0,1
latitude,0.2160300463438034,0,1
site_Delaware,0.057753756642341614,0,1
collection_code_BE3C,0.02339925430715084,0,1
"site_Vancouver, British Columbia",0.007244923152029514,0,1
native_sample_rate,0.0004138820804655552,0,1
collection_code_BE7A,0.00031779188429936767,0,1
year,0.00025573582388460636,0,1
bytes_on_disk,0.00022094271844252944,0,1
longitude,0.00017570791533216834,0,1
duration_seconds,0.00016389784286729991,0,1
site_1 mile S of Olowalu reef - Hawaii,0.0,0,1
"site_1-1.5 miles North of Tortola, British Virgin Islands",0.0,0,1
"site_3 miles N of San Juan, Puerto Rico",0.0,0,1
"site_3-4 mi. off Roseau, Dominica",0.0,0,1
"site_3-4 mi. off Roseau, Dominica  BD",0.0,0,1
site_50 mi. NE Malta,0.0,0,1
"site_80 mi. south of Martha's Vineyard, Massachusetts",0.0,0,1
"site_Andenes, Norway",0.0,0,1
"site_Argus Island, Bermuda",0.0,0,1
site_Bequia,0.0,0,1
site_Bermuda,0.0,0,1
site_BermudaBD,0.0,0,1
"site_Castle Harbour, Bermuda",0.0,0,1
site_DOMINICA,0.0,0,1
"site_Dabob Bay, Seattle, Washington",0.0,0,1
site_Dominica,0.0,0,1
site_Dominica  E,0.0,0,1
site_Dominica Is,0.0,0,1
site_Dominica IsBD,0.0,0,1
"site_Gully, SE Sable I., Canada  BD",0.0,0,1
"site_Kikvika, Norway",0.0,0,1
"site_Ligurian Sea, NW Italy",0.0,0,1
"site_Lower end of Lanzarote Is., Canary I.",0.0,0,1
site_Madeira,0.0,0,1
site_N end of Dominica,0.0,0,1
site_N of Selina,0.0,0,1
"site_N of Selina, Sicily",0.0,0,1
"site_N of Shelter Point, Knight Island Passage, Alaska",0.0,0,1
"site_Near Filicudi, Italy",0.0,0,1
"site_Off Gibbs Hill Light, Bermuda",0.0,0,1
"site_Off Maui, HI",0.0,0,1
"site_Off Maui, HIBD",0.0,0,1
site_Oregon Coast Aquarium,0.0,0,1
"site_Oregon Coastal Aquarium, Newport, OR",0.0,0,1
"site_Outside St. John's Hbr., Newfoundland",0.0,0,1
"site_Plantagenet Bank, Bermuda",0.0,0,1
"site_Saanich Inlet, Victoria, VAncouver Island, British Columbia, Canada",0.0,0,1
"site_Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",0.0,0,1
"site_Sable Island, Nova Scotia",0.0,0,1
"site_South of Sable Island, North Atlantic",0.0,0,1
"site_St. David's Island, Bermuda",0.0,0,1
"site_T3 Ice Island, Canada",0.0,0,1
"site_Three to four miles N. of Crafton Is., Prince William Sound, Alaska",0.0,0,1
"site_Tortola, British Virgin IslandsO",0.0,0,1
site_W of Browns Bank,0.0,0,1
"site_off Gibbs Hill Light, Bermuda",0.0,0,1
"site_over Plantagenet Banks, Bermuda",0.0,0,1
collection_code_BD10A,0.0,0,1
native_sample_rate,0.3311900496482849,0,2
collection_code_AC2A,0.2997484505176544,0,2
latitude,0.2653287649154663,0,2
"site_Sable Island, Nova Scotia",0.05119561031460762,0,2
"site_Three to four miles N. of Crafton Is., Prince William Sound, Alaska",0.017458897083997726,0,2
collection_code_BE7A,0.015206155367195606,0,2
"site_Vancouver, British Columbia",0.011974561959505081,0,2
collection_code_BA2A,0.00698739942163229,0,2
year,0.00032488934812135994,0,2
longitude,0.0002814853214658797,0,2
bytes_on_disk,0.0002060578262899071,0,2
duration_seconds,9.774130012374371e-05,0,2
site_1 mile S of Olowalu reef - Hawaii,0.0,0,2
"site_1-1.5 miles North of Tortola, British Virgin Islands",0.0,0,2
"site_3 miles N of San Juan, Puerto Rico",0.0,0,2
"site_3-4 mi. off Roseau, Dominica",0.0,0,2
"site_3-4 mi. off Roseau, Dominica  BD",0.0,0,2
site_50 mi. NE Malta,0.0,0,2
"site_80 mi. south of Martha's Vineyard, Massachusetts",0.0,0,2
"site_Andenes, Norway",0.0,0,2
"site_Argus Island, Bermuda",0.0,0,2
site_Bequia,0.0,0,2
site_Bermuda,0.0,0,2
site_BermudaBD,0.0,0,2
"site_Castle Harbour, Bermuda",0.0,0,2
site_DOMINICA,0.0,0,2
"site_Dabob Bay, Seattle, Washington",0.0,0,2
site_Delaware,0.0,0,2
site_Dominica,0.0,0,2
site_Dominica  E,0.0,0,2
site_Dominica Is,0.0,0,2
site_Dominica IsBD,0.0,0,2
"site_Gully, SE Sable I., Canada  BD",0.0,0,2
"site_Kikvika, Norway",0.0,0,2
"site_Ligurian Sea, NW Italy",0.0,0,2
"site_Lower end of Lanzarote Is., Canary I.",0.0,0,2
site_Madeira,0.0,0,2
site_N end of Dominica,0.0,0,2
site_N of Selina,0.0,0,2
"site_N of Selina, Sicily",0.0,0,2
"site_N of Shelter Point, Knight Island Passage, Alaska",0.0,0,2
"site_Near Filicudi, Italy",0.0,0,2
"site_Off Gibbs Hill Light, Bermuda",0.0,0,2
"site_Off Maui, HI",0.0,0,2
"site_Off Maui, HIBD",0.0,0,2
site_Oregon Coast Aquarium,0.0,0,2
"site_Oregon Coastal Aquarium, Newport, OR",0.0,0,2
"site_Outside St. John's Hbr., Newfoundland",0.0,0,2
"site_Plantagenet Bank, Bermuda",0.0,0,2
"site_Saanich Inlet, Victoria, VAncouver Island, British Columbia, Canada",0.0,0,2
"site_Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",0.0,0,2
"site_South of Sable Island, North Atlantic",0.0,0,2
"site_St. David's Island, Bermuda",0.0,0,2
"site_T3 Ice Island, Canada",0.0,0,2
"site_Tortola, British Virgin IslandsO",0.0,0,2
site_W of Browns Bank,0.0,0,2
"site_off Gibbs Hill Light, Bermuda",0.0,0,2
"site_over Plantagenet Banks, Bermuda",0.0,0,2
collection_code_BD10A,0.0,0,2
collection_code_BD15A,0.0,0,2
latitude,0.32752156257629395,0,3
collection_code_AC2A,0.32095688581466675,0,3
collection_code_BA2A,0.3170395791530609,0,3
native_sample_rate,0.016138380393385887,0,3
site_Dominica  E,0.008839407935738564,0,3
"site_Vancouver, British Columbia",0.006245992612093687,0,3
"site_Kikvika, Norway",0.0009696802007965744,0,3
"site_Off Maui, HI",0.0008421626407653093,0,3
collection_code_BE7A,0.0006641969666816294,0,3
bytes_on_disk,0.00024904057499952614,0,3
longitude,0.00018841197015717626,0,3
"site_Argus Island, Bermuda",0.00017507074517197907,0,3
duration_seconds,0.00016968161799013615,0,3
site_1 mile S of Olowalu reef - Hawaii,0.0,0,3
"site_1-1.5 miles North of Tortola, British Virgin Islands",0.0,0,3
