metric,mean,std,min,max
accuracy,0.9975588472903951,0.005751114323565987,0.9693251533742331,1.0
macro_f1,0.9958499678955559,0.008819692596420107,0.9644730855257171,1.0
weighted_f1,0.9975553820856846,0.005788796630383267,0.9687789412847845,1.0
roc_auc_ovr_macro,0.9999301005239911,0.0002696811299611204,0.9981749784039214,1.0
average_precision_macro,0.9997018731214191,0.0010131258451271101,0.993212679763157,1.0
n_items,843.4,66.49719957276703,809.0,975.0
precision_HumpbackWhale,0.9916699743595645,0.02707602428544419,0.8865979381443299,1.0
recall_HumpbackWhale,0.9950426073080445,0.00913651497132024,0.9772727272727273,1.0
f1_HumpbackWhale,0.9931526951851093,0.01532455932786817,0.9297297297297298,1.0
support_HumpbackWhale,120.6,67.3873966294128,86.0,254.0
precision_SpermWhale,0.9980119902844532,0.004020321291814391,0.989010989010989,1.0
recall_SpermWhale,0.9928990879383504,0.022676475796473014,0.8866995073891626,1.0
f1_SpermWhale,0.9953247819918838,0.012457048258071661,0.935064935064935,1.0
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0
precision_KillerWhale,0.9984790015552382,0.0070932811111137735,0.9577981651376147,1.0
recall_KillerWhale,0.9996923068405029,0.0007121724503581402,0.9980732177263969,1.0
f1_KillerWhale,0.9990724265096748,0.0036095734888312195,0.9784442361761949,1.0
support_KillerWhale,520.2,0.989743318610787,519.0,522.0
