feature,gain,fold
native_sample_rate,0.5952488780021667,0
duration_seconds,0.165606290102005,0
year,0.14292630553245544,0
bytes_on_disk,0.0962185189127922,0
native_sample_rate,0.5396127700805664,1
year,0.3865048587322235,1
duration_seconds,0.07274496555328369,1
bytes_on_disk,0.0011373539455235004,1
native_sample_rate,0.6654279828071594,2
year,0.27913495898246765,2
duration_seconds,0.05326810106635094,2
bytes_on_disk,0.0021689843852072954,2
native_sample_rate,0.5884377360343933,3
year,0.3388098478317261,3
duration_seconds,0.0721975564956665,3
bytes_on_disk,0.0005548510234802961,3
native_sample_rate,0.7087116837501526,4
year,0.23005715012550354,4
duration_seconds,0.05694660544395447,4
bytes_on_disk,0.004284577909857035,4
