repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.7469402447804175,0.7394856857280114,0.7003722819272182,0.982045273968143,0.9587655115099513,2778.0,0.9952380952380953,0.9288888888888889,0.960919540229885,225.0,0.6993865030674846,1.0,0.8231046931407943,1596.0,0.9440559440559441,0.28213166144200624,0.4344328238133548,957.0
0,1,0.9699666295884316,0.9708528376806788,0.9698858391177871,0.9976008423706654,0.9965656747631925,2697.0,0.9892601431980907,1.0,0.9946010797840432,829.0,0.9225806451612903,1.0,0.959731543624161,858.0,1.0,0.9198019801980198,0.9582258896338318,1010.0
0,2,0.9973802395209581,0.9968147158991721,0.9973750725282554,0.9975949948551711,0.9973185687908691,2672.0,1.0,0.9865900383141762,0.9932497589199615,522.0,0.9944044764188649,1.0,0.9971943887775551,1244.0,1.0,1.0,1.0,906.0
0,3,1.0,1.0,1.0,0.9996892173356962,0.9993670244825164,2868.0,1.0,1.0,1.0,536.0,1.0,1.0,1.0,1517.0,1.0,1.0,1.0,815.0
0,4,0.9332464995115598,0.9217050351765325,0.9338849343654997,0.9679378322021136,0.9165883528800052,3071.0,0.7797246558197747,0.9811023622047244,0.8688981868898187,635.0,1.0,0.830255057167986,0.9072561268620856,1137.0,0.9781626506024096,1.0,0.9889607917776931,1299.0
1,0,0.7279411764705882,0.7553765950878483,0.6944592816982877,0.9693316079632895,0.9522473706867255,2720.0,0.9953271028037384,0.9466666666666667,0.9703872437357631,225.0,0.67003367003367,0.9714086471408647,0.7930543694847708,1434.0,0.8758782201405152,0.352497643732328,0.5026881720430108,1061.0
1,1,1.0,1.0,1.0,1.0,1.0,3022.0,1.0,1.0,1.0,829.0,1.0,1.0,1.0,1137.0,1.0,1.0,1.0,1056.0
1,2,0.9238020424194815,0.8422155356766363,0.9149303461292786,0.9980045745255417,0.9963005351153464,2546.0,1.0,0.4749262536873156,0.644,339.0,0.9888579387186629,1.0,0.9943977591036415,1420.0,0.8124341412012644,0.9796696315120712,0.8882488479262672,787.0
1,3,0.950459448661606,0.9514714997212331,0.9505798627565633,0.9926796866610955,0.9851297576220365,2503.0,0.9851973684210527,0.9330218068535826,0.9584,642.0,0.8988566402814424,1.0,0.9467345993515517,1022.0,1.0,0.9034564958283671,0.9492798998121478,839.0
1,4,0.9996965098634294,0.9997415599125506,0.9996965141449612,1.0,1.0,3295.0,1.0,1.0,1.0,712.0,1.0,0.9992531740104555,0.9996264475158759,1339.0,0.9991967871485944,1.0,0.9995982322217758,1244.0
2,0,0.7394366197183099,0.7586319637730953,0.7030437427345344,0.9805480367568458,0.9652056403046513,2698.0,0.9952380952380953,0.9288888888888889,0.960919540229885,225.0,0.6744186046511628,1.0,0.8055555555555556,1421.0,0.958005249343832,0.34695817490494296,0.5094207955338451,1052.0
2,1,1.0,1.0,1.0,1.0,1.0,2634.0,1.0,1.0,1.0,829.0,1.0,1.0,1.0,836.0,1.0,1.0,1.0,969.0
2,2,0.9904177845917976,0.9924014360817172,0.9903977214516216,0.9982001917358042,0.997280324911714,2609.0,1.0,1.0,1.0,339.0,0.9815634218289085,1.0,0.990695943431336,1331.0,1.0,0.9733759318423855,0.9865083648138154,939.0
2,3,0.9353434877214797,0.9310918194397454,0.9372509993640329,0.9598047507064065,0.9201307853152537,3217.0,0.774390243902439,0.9890965732087228,0.8686730506155951,642.0,0.9954838709677419,0.8893371757925072,0.9394216133942161,1735.0,0.9811097992916175,0.9892857142857143,0.9851807943094251,840.0
2,4,0.9685792349726776,0.9719656985735058,0.9684301726084243,0.9997253399059399,0.9995919957224843,2928.0,1.0,1.0,1.0,712.0,1.0,0.9105928085519922,0.953204476093591,1029.0,0.928068803752932,1.0,0.9626926196269262,1187.0
