repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.6501854141,0.6238965709,0.6837590358,0.8748730221,0.7521308647,809.0,0.249070632,0.7790697674,0.3774647887,86.0,0.7772727273,0.842364532,0.8085106383,203.0,0.9,0.5538461538,0.6857142857,520.0
0,1,0.8307692308,0.8045298891,0.8332725253,0.9510228389,0.8857937071,975.0,0.8492462312,0.6653543307,0.7461368653,254.0,0.64,0.9504950495,0.764940239,202.0,0.9432773109,0.8651252408,0.9025125628,519.0
0,2,0.9288343558,0.8963786448,0.9294643176,0.9817615085,0.9268303092,815.0,0.7777777778,0.8555555556,0.8148148148,90.0,0.9387755102,0.9064039409,0.9223057644,203.0,0.9538461538,0.9501915709,0.9520153551,522.0
0,3,0.8800988875,0.8281159701,0.8806190537,0.9740323335,0.9250653103,809.0,0.7532467532,0.6666666667,0.7073170732,87.0,0.7738095238,0.9653465347,0.859030837,202.0,0.95625,0.8826923077,0.918,520.0
0,4,0.8862793572,0.8450944646,0.8822174373,0.9595681655,0.9306859554,809.0,0.7256637168,0.9534883721,0.824120603,86.0,0.9503546099,0.6600985222,0.7790697674,203.0,0.9027027027,0.9634615385,0.9320930233,520.0
1,0,0.6217552534,0.6028109967,0.6525062782,0.8432031877,0.6962378675,809.0,0.2446808511,0.8023255814,0.375,86.0,0.7477876106,0.8325123153,0.7878787879,203.0,0.8803986711,0.5096153846,0.6455542022,520.0
1,1,0.8225641026,0.7903096038,0.8265597143,0.9542669824,0.8912866242,975.0,0.9272727273,0.6023622047,0.7303102625,254.0,0.5855855856,0.9653465347,0.7289719626,202.0,0.9517819706,0.8747591522,0.9116465863,519.0
1,2,0.8355995056,0.712565416,0.8392043693,0.9522409844,0.8358237307,809.0,0.3987341772,0.724137931,0.5142857143,87.0,0.9051724138,0.5198019802,0.6603773585,202.0,0.9495327103,0.9769230769,0.9630331754,520.0
1,3,0.8720787208,0.8433752663,0.8759859286,0.9749498835,0.844668786,813.0,0.6356589147,0.9318181818,0.7557603687,88.0,0.8040816327,0.9704433498,0.8794642857,203.0,0.979498861,0.8237547893,0.8949011446,522.0
1,4,0.9062885327,0.8545719343,0.9042060061,0.9849331538,0.9511868593,811.0,0.8148148148,0.75,0.7810650888,88.0,0.8655913978,0.7931034483,0.8277634961,203.0,0.9338235294,0.9769230769,0.954887218,520.0
2,0,0.674907293,0.6453656464,0.7071834258,0.8928429654,0.76639034,809.0,0.2397003745,0.7441860465,0.3626062323,86.0,0.7896825397,0.9802955665,0.8747252747,203.0,0.975862069,0.5442307692,0.6987654321,520.0
2,1,0.8266666667,0.8010649901,0.8324303151,0.9602542813,0.9102185512,975.0,0.9651162791,0.6535433071,0.779342723,254.0,0.5887850467,0.9356435644,0.7227533461,202.0,0.9356846473,0.8689788054,0.9010989011,519.0
2,2,0.9245982695,0.8721553613,0.923981383,0.9625406596,0.9114976703,809.0,0.7469879518,0.7126436782,0.7294117647,87.0,0.9489795918,0.9207920792,0.9346733668,202.0,0.9433962264,0.9615384615,0.9523809524,520.0
2,3,0.7183271833,0.613839226,0.7230680745,0.8581812095,0.6098269682,813.0,0.3684210526,0.9545454545,0.5316455696,88.0,0.6363636364,0.3448275862,0.447284345,203.0,0.9052631579,0.8237547893,0.8625877633,522.0
2,4,0.9001233046,0.8586215944,0.9000762678,0.9566988558,0.9093909408,811.0,0.7634408602,0.8068181818,0.7845303867,88.0,0.8756476684,0.8325123153,0.8535353535,203.0,0.9333333333,0.9423076923,0.9377990431,520.0
3,0,0.6600741656,0.6369995829,0.6922830224,0.8586910769,0.724698875,809.0,0.262962963,0.816091954,0.3977591036,87.0,0.7990654206,0.8465346535,0.8221153846,202.0,0.8984615385,0.5615384615,0.6911242604,520.0
3,1,0.8041025641,0.7738623097,0.8122372325,0.9487373031,0.8499713808,975.0,0.9156626506,0.5984251969,0.7238095238,254.0,0.5462184874,0.9653465347,0.6976744186,202.0,0.9668141593,0.8420038536,0.9001029866,519.0
3,2,0.7713226205,0.6383042554,0.7896622587,0.9127354359,0.7391876203,809.0,0.2743902439,0.523255814,0.36,86.0,0.7337662338,0.5566502463,0.6330532213,203.0,0.9490835031,0.8961538462,0.921859545,520.0
3,3,0.815498155,0.7818072013,0.8197050346,0.9498625965,0.8285441061,813.0,0.6166666667,0.8409090909,0.7115384615,88.0,0.7276595745,0.842364532,0.7808219178,203.0,0.9126637555,0.8007662835,0.8530612245,522.0
3,4,0.8951911221,0.8699939864,0.8963481844,0.9767213863,0.9250876365,811.0,0.7857142857,0.875,0.8279569892,88.0,0.8302752294,0.8916256158,0.8598574822,203.0,0.9454545455,0.9,0.9221674877,520.0
4,0,0.651421508,0.6226811308,0.6861421161,0.8753544543,0.736956353,809.0,0.2443609023,0.7558139535,0.3693181818,86.0,0.7798165138,0.8374384236,0.8076009501,203.0,0.8984615385,0.5615384615,0.6911242604,520.0
4,1,0.8235897436,0.7899829209,0.8277605797,0.9437390453,0.8501192002,975.0,0.8895348837,0.6023622047,0.7183098592,254.0,0.5880597015,0.9752475248,0.7337057728,202.0,0.9679487179,0.8728323699,0.9179331307,519.0
4,2,0.9521472393,0.9279814289,0.951781345,0.9917351636,0.9771690599,815.0,0.8941176471,0.8444444444,0.8685714286,90.0,0.9595959596,0.9359605911,0.9476309227,203.0,0.9586466165,0.9770114943,0.9677419355,522.0
4,3,0.739184178,0.6329846452,0.76269242,0.9139628546,0.7484178694,809.0,0.2994350282,0.6091954023,0.4015151515,87.0,0.650273224,0.5891089109,0.6181818182,202.0,0.9487750557,0.8192307692,0.8792569659,520.0
4,4,0.8405438813,0.7966815507,0.8437252267,0.9444147474,0.8892085687,809.0,0.6062992126,0.8953488372,0.7230046948,86.0,0.8085106383,0.7487684729,0.7774936061,203.0,0.9129554656,0.8673076923,0.8895463511,520.0
5,0,0.6217552534,0.603840219,0.6533257182,0.8540228172,0.7139679766,809.0,0.2395833333,0.7931034483,0.368,87.0,0.7489177489,0.8564356436,0.7990762125,202.0,0.9,0.5019230769,0.6444444444,520.0
5,1,0.798974359,0.7738925916,0.8046756135,0.945081249,0.8455166938,975.0,0.8131313131,0.6338582677,0.7123893805,254.0,0.5823529412,0.9801980198,0.7306273063,202.0,0.9610983982,0.8092485549,0.8786610879,519.0
5,2,0.7911001236,0.6462261087,0.805578086,0.9189387472,0.7466080908,809.0,0.2675159236,0.488372093,0.3456790123,86.0,0.8043478261,0.5467980296,0.651026393,203.0,0.9474708171,0.9365384615,0.9419729207,520.0
5,3,0.8880688807,0.8550062598,0.8915688755,0.9837456768,0.934485034,813.0,0.6779661017,0.9090909091,0.7766990291,88.0,0.8173913043,0.9261083744,0.8683602771,203.0,0.976344086,0.8697318008,0.9199594732,522.0
5,4,0.9272503083,0.8964917183,0.9255713008,0.989544367,0.9722669666,811.0,0.8315789474,0.8977272727,0.8633879781,88.0,0.9638554217,0.7881773399,0.8672086721,203.0,0.9327272727,0.9865384615,0.9588785047,520.0
6,0,0.6044499382,0.5852546011,0.6378099985,0.8362705811,0.6759982434,809.0,0.2249134948,0.7558139535,0.3466666667,86.0,0.7336244541,0.8275862069,0.7777777778,203.0,0.8797250859,0.4923076923,0.6313193588,520.0
6,1,0.8082051282,0.7766557449,0.8123049207,0.937047428,0.8426197523,975.0,0.8685714286,0.5984251969,0.7086247086,254.0,0.5808383234,0.9603960396,0.723880597,202.0,0.9484978541,0.8516377649,0.8974619289,519.0
6,2,0.9607361963,0.9330643184,0.960408361,0.9954229647,0.9789859618,815.0,0.8823529412,0.8333333333,0.8571428571,90.0,0.95215311,0.9802955665,0.9660194175,203.0,0.9769673704,0.9750957854,0.9760306807,522.0
6,3,0.7898640297,0.6726306694,0.8018739613,0.9282824138,0.7716317426,809.0,0.3684210526,0.6436781609,0.4686192469,87.0,0.6845238095,0.5693069307,0.6216216216,202.0,0.9570552147,0.9,0.9276511397,520.0
6,4,0.8318912237,0.7825764843,0.8356264292,0.9473008655,0.8850064861,809.0,0.5714285714,0.9302325581,0.7079646018,86.0,0.8068181818,0.6995073892,0.7493403694,203.0,0.9148073022,0.8673076923,0.8904244817,520.0
7,0,0.6637824475,0.6334172112,0.6961619829,0.8606305176,0.745964999,809.0,0.2529182879,0.7558139535,0.3790087464,86.0,0.7847533632,0.8620689655,0.8215962441,203.0,0.9027355623,0.5711538462,0.6996466431,520.0
7,1,0.758974359,0.7329839688,0.768394424,0.9289768183,0.8170163585,975.0,0.7760416667,0.5866141732,0.668161435,254.0,0.5227882038,0.9653465347,0.6782608696,202.0,0.9658536585,0.7630057803,0.8525296017,519.0
7,2,0.8998763906,0.8386819957,0.8978895537,0.9648247168,0.9039323071,809.0,0.7605633803,0.6206896552,0.6835443038,87.0,0.8533333333,0.9504950495,0.8992974239,202.0,0.9395711501,0.9269230769,0.9332042594,520.0
7,3,0.7478474785,0.6448518554,0.7476556633,0.8985851071,0.6746444565,813.0,0.4300518135,0.9431818182,0.590747331,88.0,0.5846153846,0.3743842365,0.4564564565,203.0,0.9163265306,0.8601532567,0.8873517787,522.0
7,4,0.914919852,0.8960979877,0.914711542,0.9841047882,0.9689364004,811.0,0.8953488372,0.875,0.8850574713,88.0,0.87,0.8571428571,0.8635235732,203.0,0.9352380952,0.9442307692,0.9397129187,520.0
8,0,0.651421508,0.6226250307,0.6885016745,0.8785082148,0.7559904595,809.0,0.2342007435,0.7325581395,0.3549295775,86.0,0.7962962963,0.8472906404,0.8210023866,203.0,0.9012345679,0.5615384615,0.691943128,520.0
8,1,0.8707692308,0.8365406689,0.86971368,0.9580709412,0.8917011099,975.0,0.9583333333,0.6338582677,0.7630331754,254.0,0.6723549488,0.9752475248,0.795959596,202.0,0.9552529183,0.9460500963,0.9506292352,519.0
8,2,0.9202453988,0.8687966652,0.9217559647,0.9797233229,0.8874635088,815.0,0.696969697,0.7666666667,0.7301587302,90.0,0.8935185185,0.9507389163,0.9212410501,203.0,0.976,0.9348659004,0.9549902153,522.0
8,3,0.7317676143,0.6252117017,0.753565213,0.8999860434,0.7340175399,809.0,0.2994652406,0.6436781609,0.4087591241,87.0,0.6666666667,0.5346534653,0.5934065934,202.0,0.9304347826,0.8230769231,0.8734693878,520.0
8,4,0.8936959209,0.8536018282,0.8936439252,0.9586472977,0.9186329757,809.0,0.701754386,0.9302325581,0.8,86.0,0.9107142857,0.7536945813,0.8247978437,203.0,0.9297912713,0.9423076923,0.9360076409,520.0
9,0,0.6106304079,0.5962919577,0.643830609,0.8466241895,0.6987375595,809.0,0.2341137124,0.8045977011,0.3626943005,87.0,0.7544642857,0.8366336634,0.79342723,202.0,0.8916083916,0.4903846154,0.6327543424,520.0
9,1,0.8102564103,0.781356343,0.8141670029,0.9371518919,0.8529004439,975.0,0.8350515464,0.6377952756,0.7232142857,254.0,0.6012861736,0.9257425743,0.7290448343,202.0,0.9382978723,0.8497109827,0.891809909,519.0
9,2,0.9607361963,0.9382354068,0.9604298287,0.9949423323,0.9793172003,815.0,0.9058823529,0.8555555556,0.88,90.0,0.9651741294,0.9556650246,0.9603960396,203.0,0.9678638941,0.9808429119,0.9743101808,522.0
9,3,0.7898640297,0.6761914264,0.8053789239,0.9318005278,0.7820726518,809.0,0.3548387097,0.6395348837,0.4564315353,86.0,0.6949152542,0.60591133,0.6473684211,203.0,0.9664570231,0.8865384615,0.924774323,520.0
9,4,0.8838071693,0.8405096733,0.8786116384,0.9541229455,0.9258515383,809.0,0.7217391304,0.9651162791,0.8258706468,86.0,0.9555555556,0.6354679803,0.7633136095,203.0,0.8998211091,0.9673076923,0.9323447637,520.0
