feature,gain,repeat,fold
mfcc_11_std,0.13507787883281708,0,0
mfcc_1_mean,0.07058323919773102,0,0
mfcc_1_p90,0.0551239512860775,0,0
mfcc_8_p90,0.03230763226747513,0,0
rms_std,0.031613755971193314,0,0
mfcc_12_std,0.02387414500117302,0,0
mfcc_16_std,0.022961419075727463,0,0
mfcc_18_p90,0.022229621186852455,0,0
mfcc_17_std,0.019816312938928604,0,0
dominant_frequency,0.01950685866177082,0,0
mfcc_1_p10,0.01892872154712677,0,0
contrast_2_std,0.018283110111951828,0,0
rms_p90,0.018268533051013947,0,0
mfcc_18_mean,0.016236118972301483,0,0
contrast_0_mean,0.014638138934969902,0,0
contrast_3_mean,0.012415111064910889,0,0
dominant_frequency_ratio,0.01196006778627634,0,0
mfcc_16_p10,0.011958280578255653,0,0
spectral_entropy_mean,0.010253794491291046,0,0
rms_p10,0.010037325322628021,0,0
centroid_p90,0.00966967549175024,0,0
mfcc_10_mean,0.009519153274595737,0,0
rolloff85_p10,0.008840184658765793,0,0
mfcc_11_p90,0.008620413951575756,0,0
mfcc_6_p90,0.008303715847432613,0,0
spectral_entropy_p10,0.008205544203519821,0,0
centroid_mean,0.007605520077049732,0,0
mfcc_8_mean,0.00760307302698493,0,0
contrast_3_p90,0.007399372756481171,0,0
mfcc_2_p10,0.007258004508912563,0,0
rms_mean,0.006689256522804499,0,0
contrast_3_std,0.006171178538352251,0,0
mfcc_2_mean,0.005898567847907543,0,0
mfcc_13_p90,0.005752586293965578,0,0
contrast_0_p90,0.005462612025439739,0,0
mfcc_7_std,0.005432329140603542,0,0
spectral_entropy_p90,0.005421881563961506,0,0
mfcc_18_std,0.00539696728810668,0,0
mfcc_15_std,0.0053773485124111176,0,0
mfcc_0_mean,0.00521619850769639,0,0
mfcc_8_p10,0.005172202829271555,0,0
rolloff85_p90,0.005137808620929718,0,0
contrast_2_p90,0.005068411119282246,0,0
mfcc_9_p90,0.005045202095061541,0,0
mfcc_4_p10,0.004957894794642925,0,0
flatness_mean,0.004928956739604473,0,0
mfcc_0_p90,0.004862670321017504,0,0
mfcc_0_p10,0.0047836098819971085,0,0
