repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.657601977750309,0.6237265122808119,0.6792462975699564,0.8934625005291603,0.7820904713972167,809.0,0.28879310344827586,0.7790697674418605,0.42138364779874216,86.0,0.6691729323308271,0.8768472906403941,0.7590618336886994,203.0,0.9228295819935691,0.551923076923077,0.690734055354994,520.0
0,1,0.84,0.7920645609534498,0.8340476774254552,0.9380213916784107,0.8316253328781503,975.0,0.9006622516556292,0.5354330708661418,0.671604938271605,254.0,0.6450511945392492,0.9356435643564357,0.7636363636363637,202.0,0.9303201506591338,0.9518304431599229,0.940952380952381,519.0
0,2,0.9607361963190184,0.9461019300677513,0.9613843688073743,0.9907493666957977,0.9646934175778504,815.0,0.839622641509434,0.9888888888888889,0.9081632653061225,90.0,0.9514563106796117,0.9655172413793104,0.9584352078239609,203.0,0.9900596421471173,0.9540229885057471,0.9717073170731707,522.0
0,3,0.861557478368356,0.7659779140854358,0.8531538895775904,0.9515575928756944,0.9050435506508662,809.0,0.9444444444444444,0.39080459770114945,0.5528455284552846,87.0,0.7376425855513308,0.9603960396039604,0.8344086021505376,202.0,0.9196078431372549,0.9019230769230769,0.9106796116504854,520.0
0,4,0.8788627935723115,0.7457681545418874,0.8609160906820145,0.965013014524025,0.8713684141317795,809.0,0.8928571428571429,0.29069767441860467,0.43859649122807015,86.0,0.9047619047619048,0.8423645320197044,0.8724489795918368,203.0,0.8699324324324325,0.9903846153846154,0.9262589928057554,520.0
1,0,0.6291718170580964,0.5991371242991292,0.6492125420176263,0.8685731439502495,0.7256685638464099,809.0,0.2838983050847458,0.7790697674418605,0.4161490683229814,86.0,0.6343283582089553,0.8374384236453202,0.721868365180467,203.0,0.8918032786885246,0.5230769230769231,0.6593939393939394,520.0
1,1,0.8082051282051282,0.7373260542159169,0.7880559186309688,0.9357004960409289,0.8326678841577059,975.0,0.8878504672897196,0.37401574803149606,0.5263157894736842,254.0,0.6194968553459119,0.9752475247524752,0.7576923076923077,202.0,0.9018181818181819,0.9556840077071291,0.9279700654817586,519.0
1,2,0.857849196538937,0.7515530303067889,0.8611413690922379,0.9320562306063421,0.8776651824033573,809.0,0.4632352941176471,0.7241379310344828,0.5650224215246636,87.0,0.8802816901408451,0.6188118811881188,0.7267441860465116,202.0,0.9529190207156308,0.9730769230769231,0.9628924833491912,520.0
1,3,0.8154981549815498,0.6829142169069291,0.8087647271951265,0.9483447787665908,0.768981738907366,813.0,0.3787878787878788,0.2840909090909091,0.3246753246753247,88.0,0.7710843373493976,0.9458128078817734,0.8495575221238938,203.0,0.8955823293172691,0.8544061302681992,0.8745098039215686,522.0
1,4,0.9198520345252774,0.8841718291493965,0.9187919495756772,0.9849350379877325,0.9623875770317065,811.0,1.0,0.7386363636363636,0.8496732026143791,88.0,0.8285714285714286,0.8571428571428571,0.8426150121065376,203.0,0.9458955223880597,0.975,0.9602272727272727,520.0
2,0,0.6563658838071693,0.618593852438348,0.676347050345971,0.8990217323396447,0.7872023149130413,809.0,0.26956521739130435,0.7209302325581395,0.3924050632911392,86.0,0.6555183946488294,0.9655172413793104,0.7808764940239044,203.0,0.975,0.525,0.6825,520.0
2,1,0.8748717948717949,0.8303737630687885,0.8693899830149123,0.9586278687187408,0.8777636813393662,975.0,0.9671052631578947,0.5787401574803149,0.7241379310344828,254.0,0.6818181818181818,0.9653465346534653,0.7991803278688525,202.0,0.9515828677839852,0.9845857418111753,0.9678030303030303,519.0
2,2,0.9381953028430161,0.8937554490403771,0.9354502014476905,0.9367991576018436,0.8996293391753146,809.0,0.9206349206349206,0.6666666666666666,0.7733333333333333,87.0,0.9790575916230366,0.9257425742574258,0.9516539440203562,202.0,0.9261261261261261,0.9884615384615385,0.9562790697674418,520.0
2,3,0.6457564575645757,0.5059453080357367,0.6643711889217,0.8400515327824717,0.6154604720639344,813.0,0.1781609195402299,0.3522727272727273,0.2366412213740458,88.0,0.5578231292517006,0.4039408866995074,0.4685714285714286,203.0,0.8373983739837398,0.789272030651341,0.8126232741617357,522.0
2,4,0.9075215782983971,0.8657363445812862,0.9062526396478131,0.9636879057006489,0.9342110963738771,811.0,0.8607594936708861,0.7727272727272727,0.8143712574850299,88.0,0.8469387755102041,0.8177339901477833,0.8320802005012531,203.0,0.9365671641791045,0.9653846153846154,0.9507575757575758,520.0
3,0,0.6477132262051916,0.6153646884662526,0.6675023338519233,0.8775796650094366,0.7500580597231835,809.0,0.29694323144104806,0.7816091954022989,0.43037974683544306,87.0,0.6431226765799256,0.8564356435643564,0.7346072186836518,202.0,0.909967845659164,0.5442307692307692,0.681107099879663,520.0
3,1,0.841025641025641,0.785644315352024,0.8342305950937741,0.933114883088407,0.8043641945166456,975.0,0.9259259259259259,0.4921259842519685,0.6426735218508998,254.0,0.6149068322981367,0.9801980198019802,0.7557251908396947,202.0,0.9594594594594594,0.9576107899807321,0.9585342333654774,519.0
