metric,mean,std,min,max,folds
accuracy,0.8166610999967654,0.11049112060735021,0.5945611866501854,0.9828220858895705,50
macro_f1,0.7483861675996105,0.12025103498933319,0.5140789082582892,0.9745013803205133,50
weighted_f1,0.8171146376100558,0.10214133090326413,0.6140898315536789,0.9828867324952689,50
roc_auc_ovr_macro,0.9303389685768717,0.041020314658824775,0.8408918685346531,0.9978251261013343,50
average_precision_macro,0.8333166121749259,0.09046515938458179,0.6140427993098744,0.9892757951765877,50
n_items,843.4,66.49719957276703,809.0,975.0,50
precision_HumpbackWhale,0.6653974589184134,0.29425091196810077,0.1791907514450867,1.0,50
recall_HumpbackWhale,0.5999769878632124,0.22908973326772428,0.19318181818181818,0.9888888888888889,50
f1_HumpbackWhale,0.5740416582331488,0.20426362411313248,0.23754789272030652,0.9886363636363636,50
support_HumpbackWhale,120.6,67.3873966294128,86.0,254.0,50
precision_SpermWhale,0.7594236603721152,0.14096875643543805,0.5625,0.9900497512437811,50
recall_SpermWhale,0.851994342291372,0.1263003815100006,0.4088669950738916,0.9900990099009901,50
f1_SpermWhale,0.7922349343218751,0.1035444890091181,0.4811594202898551,0.9851485148514851,50
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0,50
precision_KillerWhale,0.9185118284960346,0.04188780594920284,0.825944170771757,0.994,50
recall_KillerWhale,0.8606996485453731,0.17388825265067115,0.47692307692307695,1.0,50
f1_KillerWhale,0.8788819102438076,0.11256021357642022,0.62,0.987535953978907,50
support_KillerWhale,520.2,0.989743318610787,519.0,522.0,50
