model,coverage,threshold,predictions,clips,accuracy,macro_f1
xgboost,1.0,0.3335,40880,4088,0.3598336595,0.3170139666
xgboost,0.9501,0.3348,38840,3884,0.368177137,0.3230953263
xgboost,0.9002,0.3431,36800,3680,0.3673913043,0.3187173553
xgboost,0.8001,0.3549,32710,3271,0.3662488536,0.3168403608
xgboost,0.7013,0.3648,28670,2867,0.3540286013,0.3076234358
xgboost,0.6013,0.3769,24580,2458,0.3775427177,0.3299395769
xgboost,0.5,0.3867,20440,2044,0.3850293542,0.3409778348
xgboost,0.4002,0.3966,16360,1636,0.4309290954,0.3848928491
xgboost,0.3001,0.4081,12270,1227,0.4718826406,0.428153714
xgboost,0.2001,0.4466,8180,818,0.4951100244,0.442861075
xgboost,0.1,0.4988,4090,409,0.4718826406,0.435643739
probe,1.0,0.3386,40880,4088,0.4738258317,0.4446329777
probe,0.9501,0.4052,38840,3884,0.4778578785,0.4503197293
probe,0.9002,0.4356,36800,3680,0.4836956522,0.4589770796
probe,0.8001,0.4779,32710,3271,0.4906756344,0.4722229961
probe,0.7001,0.5164,28620,2862,0.501048218,0.487141046
probe,0.6,0.5654,24530,2453,0.5136567468,0.5040315519
probe,0.5,0.6248,20440,2044,0.5278864971,0.5218946532
probe,0.4002,0.6972,16360,1636,0.5336185819,0.5279856275
probe,0.3001,0.774,12270,1227,0.533007335,0.5289597835
probe,0.2001,0.8554,8180,818,0.5244498778,0.5220454087
probe,0.1,0.9316,4090,409,0.5574572127,0.5431954762
xgboost+probe,1.0,0.3387,40880,4088,0.4608610568,0.4307895037
xgboost+probe,0.9501,0.3712,38840,3884,0.4657569516,0.4375451867
xgboost+probe,0.9002,0.3864,36800,3680,0.4725543478,0.4462700554
xgboost+probe,0.8001,0.4077,32710,3271,0.4863955977,0.4645723566
xgboost+probe,0.7001,0.4291,28620,2862,0.5027952481,0.4851414982
xgboost+probe,0.6,0.4543,24530,2453,0.5165103954,0.5016277745
xgboost+probe,0.5,0.4862,20440,2044,0.5376712329,0.523210364
xgboost+probe,0.4002,0.5241,16360,1636,0.5537897311,0.5372977494
xgboost+probe,0.3001,0.5671,12270,1227,0.5623471883,0.540683833
xgboost+probe,0.2001,0.6054,8180,818,0.5916870416,0.5542373318
xgboost+probe,0.1,0.6546,4090,409,0.6503667482,0.5502549411
