feature,gain,repeat,fold
bytes_on_disk,0.47471046447753906,0,0
collection_code,0.40093743801116943,0,0
year,0.06638976186513901,0,0
native_sample_rate,0.03857453539967537,0,0
site_code,0.010861803777515888,0,0
longitude,0.0050075482577085495,0,0
latitude,0.002025432651862502,0,0
duration_seconds,0.001493078307248652,0,0
cond_ship_noise,0.0,0,0
cond_engine_noise,0.0,0,0
cond_reverberation,0.0,0,0
cond_water_noise,0.0,0,0
cond_night_recording,0.0,0,0
cond_no_visual,0.0,0,0
cond_tape_speed_note,0.0,0,0
bytes_on_disk,0.5294249057769775,0,1
collection_code,0.3561795949935913,0,1
year,0.060174666345119476,0,1
native_sample_rate,0.04886316880583763,0,1
site_code,0.002625618828460574,0,1
longitude,0.0015104481717571616,0,1
duration_seconds,0.0006804793956689537,0,1
latitude,0.0005410630255937576,0,1
cond_ship_noise,0.0,0,1
cond_engine_noise,0.0,0,1
cond_reverberation,0.0,0,1
cond_water_noise,0.0,0,1
cond_night_recording,0.0,0,1
cond_no_visual,0.0,0,1
cond_tape_speed_note,0.0,0,1
native_sample_rate,0.5149146318435669,0,2
latitude,0.36345478892326355,0,2
collection_code,0.06826213002204895,0,2
bytes_on_disk,0.023920603096485138,0,2
longitude,0.012558415532112122,0,2
year,0.006743622478097677,0,2
duration_seconds,0.005846788641065359,0,2
site_code,0.004298963584005833,0,2
cond_ship_noise,0.0,0,2
cond_engine_noise,0.0,0,2
cond_reverberation,0.0,0,2
cond_water_noise,0.0,0,2
cond_night_recording,0.0,0,2
cond_no_visual,0.0,0,2
cond_tape_speed_note,0.0,0,2
latitude,0.5438295006752014,0,3
native_sample_rate,0.40516653656959534,0,3
year,0.023041708394885063,0,3
site_code,0.018181489780545235,0,3
collection_code,0.009503023698925972,0,3
bytes_on_disk,0.0001629364851396531,0,3
duration_seconds,0.00011485003778943792,0,3
longitude,0.0,0,3
cond_ship_noise,0.0,0,3
cond_engine_noise,0.0,0,3
cond_reverberation,0.0,0,3
cond_water_noise,0.0,0,3
cond_night_recording,0.0,0,3
cond_no_visual,0.0,0,3
cond_tape_speed_note,0.0,0,3
longitude,0.3656601011753082,0,4
