repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
0,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
0,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
0,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
0,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
1,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
1,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
1,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
1,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
1,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
2,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
2,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
2,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
2,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
2,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
3,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
3,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
3,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
3,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
3,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
4,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
4,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
4,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
4,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
4,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
5,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
5,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
5,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
5,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
5,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
6,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
6,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
6,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
6,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
6,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
7,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
7,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
7,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
7,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
7,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
8,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
8,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
8,2,0.9921775898520084,0.9794590213479643,0.9923839102143486,1.0,1.0,4730.0,1.0,1.0,1.0,236.0,1.0,0.9911673430412986,0.9955640810454381,4189.0,0.8918128654970761,1.0,0.9428129829984544,305.0
8,3,0.9984917043740573,0.9979360100046765,0.9984911670302178,1.0,1.0,1989.0,1.0,1.0,1.0,1007.0,0.994535519125683,1.0,0.9972602739726028,546.0,1.0,0.9931192660550459,0.996547756041427,436.0
8,4,0.9875292283710054,0.9843095887607775,0.9875199551792136,1.0,1.0,2566.0,1.0,1.0,1.0,1205.0,1.0,0.9525925925925925,0.9757207890743551,675.0,0.9554317548746518,1.0,0.9772079772079773,686.0
9,0,0.989778534923339,0.9817999731888687,0.9895589732784853,1.0,1.0,2348.0,1.0,1.0,1.0,40.0,1.0,0.9069767441860465,0.9512195121951219,258.0,0.9884281581485053,1.0,0.9941804073714839,2050.0
9,1,1.0,1.0,1.0,1.0,1.0,2186.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,502.0,1.0,1.0,1.0,1510.0
