metric,mean,std,min,max,folds
accuracy,0.9875319041174133,0.012839279660230195,0.9642184557438794,1.0,50
macro_f1,0.9815144097404898,0.018413115698182637,0.958447709779859,1.0,50
weighted_f1,0.9871821528252357,0.013252312173508583,0.9631957957514148,1.0,50
roc_auc_ovr_macro,1.0,0.0,1.0,1.0,50
average_precision_macro,1.0,0.0,1.0,1.0,50
n_items,817.6,371.85448108371753,531.0,1545.0,50
precision_HumpbackWhale,1.0,0.0,1.0,1.0,50
recall_HumpbackWhale,1.0,0.0,1.0,1.0,50
f1_HumpbackWhale,1.0,0.0,1.0,1.0,50
support_HumpbackWhale,108.2,103.08585682600219,6.0,289.0,50
precision_SpermWhale,0.9968,0.006464976285134155,0.984,1.0,50
recall_SpermWhale,0.924113475177305,0.08938214700864079,0.8,1.0,50
f1_SpermWhale,0.9566982597962773,0.048109658488072804,0.8888888888888888,1.0,50
support_SpermWhale,189.2,141.88440250242232,114.0,470.0,50
precision_KillerWhale,0.9779654882908434,0.024445977611602915,0.9347079037800687,1.0,50
recall_KillerWhale,0.9982832618025751,0.003468334916917442,0.9914163090128756,1.0,50
f1_KillerWhale,0.987844969425192,0.011945533743040622,0.9662522202486679,1.0,50
support_KillerWhale,520.2,466.2597156617539,201.0,1424.0,50
