feature,gain,repeat,fold
native_sample_rate,0.36354386806488037,0,0
bytes_on_disk,0.3571014106273651,0,0
duration_seconds,0.20240500569343567,0,0
year,0.07694970816373825,0,0
native_sample_rate,0.3288588225841522,0,1
duration_seconds,0.30956411361694336,0,1
bytes_on_disk,0.2699800729751587,0,1
year,0.09159699827432632,0,1
native_sample_rate,0.8698030710220337,0,2
year,0.08339619636535645,0,2
duration_seconds,0.03027895651757717,0,2
bytes_on_disk,0.016521824523806572,0,2
native_sample_rate,0.5897851586341858,0,3
year,0.1987103819847107,0,3
duration_seconds,0.18915335834026337,0,3
bytes_on_disk,0.022351112216711044,0,3
bytes_on_disk,0.42493271827697754,0,4
native_sample_rate,0.38979482650756836,0,4
duration_seconds,0.15925046801567078,0,4
year,0.02602197602391243,0,4
native_sample_rate,0.36354386806488037,1,0
bytes_on_disk,0.3571014106273651,1,0
duration_seconds,0.20240500569343567,1,0
year,0.07694970816373825,1,0
native_sample_rate,0.3288588225841522,1,1
duration_seconds,0.30956411361694336,1,1
bytes_on_disk,0.2699800729751587,1,1
year,0.09159699827432632,1,1
native_sample_rate,0.8698030710220337,1,2
year,0.08339619636535645,1,2
duration_seconds,0.03027895651757717,1,2
bytes_on_disk,0.016521824523806572,1,2
native_sample_rate,0.5897851586341858,1,3
year,0.1987103819847107,1,3
duration_seconds,0.18915335834026337,1,3
bytes_on_disk,0.022351112216711044,1,3
bytes_on_disk,0.42493271827697754,1,4
native_sample_rate,0.38979482650756836,1,4
duration_seconds,0.15925046801567078,1,4
year,0.02602197602391243,1,4
native_sample_rate,0.36354386806488037,2,0
bytes_on_disk,0.3571014106273651,2,0
duration_seconds,0.20240500569343567,2,0
year,0.07694970816373825,2,0
native_sample_rate,0.3288588225841522,2,1
duration_seconds,0.30956411361694336,2,1
bytes_on_disk,0.2699800729751587,2,1
year,0.09159699827432632,2,1
native_sample_rate,0.8698030710220337,2,2
year,0.08339619636535645,2,2
duration_seconds,0.03027895651757717,2,2
bytes_on_disk,0.016521824523806572,2,2
native_sample_rate,0.5897851586341858,2,3
year,0.1987103819847107,2,3
duration_seconds,0.18915335834026337,2,3
bytes_on_disk,0.022351112216711044,2,3
bytes_on_disk,0.42493271827697754,2,4
native_sample_rate,0.38979482650756836,2,4
duration_seconds,0.15925046801567078,2,4
year,0.02602197602391243,2,4
native_sample_rate,0.36354386806488037,3,0
bytes_on_disk,0.3571014106273651,3,0
duration_seconds,0.20240500569343567,3,0
year,0.07694970816373825,3,0
native_sample_rate,0.3288588225841522,3,1
duration_seconds,0.30956411361694336,3,1
bytes_on_disk,0.2699800729751587,3,1
year,0.09159699827432632,3,1
native_sample_rate,0.8698030710220337,3,2
year,0.08339619636535645,3,2
duration_seconds,0.03027895651757717,3,2
bytes_on_disk,0.016521824523806572,3,2
native_sample_rate,0.5897851586341858,3,3
year,0.1987103819847107,3,3
duration_seconds,0.18915335834026337,3,3
bytes_on_disk,0.022351112216711044,3,3
bytes_on_disk,0.42493271827697754,3,4
native_sample_rate,0.38979482650756836,3,4
duration_seconds,0.15925046801567078,3,4
year,0.02602197602391243,3,4
native_sample_rate,0.36354386806488037,4,0
bytes_on_disk,0.3571014106273651,4,0
duration_seconds,0.20240500569343567,4,0
year,0.07694970816373825,4,0
native_sample_rate,0.3288588225841522,4,1
duration_seconds,0.30956411361694336,4,1
bytes_on_disk,0.2699800729751587,4,1
year,0.09159699827432632,4,1
