repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
0,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
0,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
0,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
0,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
1,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
1,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
1,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
1,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
1,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
2,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
2,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
2,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
2,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
2,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
3,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
3,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
3,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
3,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
3,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
4,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
4,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
4,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
4,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
4,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
5,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
5,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
5,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
5,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
5,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
6,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
6,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
6,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
6,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
6,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
7,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
7,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
7,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
7,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
7,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
8,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
8,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
8,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
8,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
8,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
9,0,0.08220064724919093,0.38265157172924164,0.022006089081685273,0.9997208511610963,0.9980863832908464,1545.0,1.0,1.0,1.0,6.0,0.07501630789302022,1.0,0.1395631067961165,115.0,1.0,0.004213483146067416,0.008391608391608392,1424.0
9,1,0.9100449775112444,0.7472887628947161,0.8819573275020888,0.9199543652817392,0.910798645045101,667.0,1.0,0.18055555555555555,0.3058823529411765,72.0,0.992,1.0,0.9959839357429718,124.0,0.888468809073724,0.9978768577494692,0.94,471.0
9,2,0.9714285714285714,0.976955834878769,0.9717950604927733,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9574468085106383,0.9782608695652174,470.0,0.9095022624434389,1.0,0.95260663507109,201.0
9,3,0.6589147286821705,0.5432243191210192,0.5830844422162696,0.9662799027659541,0.9064620304881587,645.0,0.9763513513513513,1.0,0.9880341880341881,289.0,0.36607142857142855,1.0,0.5359477124183006,123.0,1.0,0.055793991416309016,0.10569105691056911,233.0
9,4,0.4576271186440678,0.4560147909584303,0.3495465770637036,0.7482652696732329,0.6963684419328412,531.0,0.9285714285714286,0.9862068965517241,0.9565217391304348,145.0,0.26881720430107525,0.8771929824561403,0.411522633744856,114.0,0.0,0.0,0.0,272.0
