metric,mean,std,min,max,folds
accuracy,0.6160432087030491,0.32721998508661376,0.08220064724919093,0.9714285714285714,50
macro_f1,0.6212270559164353,0.21793665960717445,0.38265157172924164,0.976955834878769,50
weighted_f1,0.5616778992713042,0.3521011562477565,0.022006089081685273,0.9717950604927733,50
roc_auc_ovr_macro,0.9268440777764045,0.09492838997054934,0.7482652696732329,1.0,50
average_precision_macro,0.9023431001513894,0.11177388619228816,0.6963684419328412,1.0,50
n_items,817.6,371.85448108371753,531.0,1545.0,50
precision_HumpbackWhale,0.9809845559845561,0.028042838380429393,0.9285714285714286,1.0,50
recall_HumpbackWhale,0.8333524904214559,0.3297563989538475,0.18055555555555555,1.0,50
f1_HumpbackWhale,0.8500876560211598,0.275334413883713,0.3058823529411765,1.0,50
support_HumpbackWhale,108.2,103.08585682600219,6.0,289.0,50
precision_SpermWhale,0.5403809881531048,0.38753653278948885,0.07501630789302022,1.0,50
recall_SpermWhale,0.9669279581933558,0.048283892437409694,0.8771929824561403,1.0,50
f1_SpermWhale,0.6122556516534925,0.33526173253500796,0.1395631067961165,0.9959839357429718,50
support_SpermWhale,189.2,141.88440250242232,114.0,470.0,50
precision_KillerWhale,0.7595942143034325,0.3864158535193606,0.0,1.0,50
recall_KillerWhale,0.41157686646236913,0.48485456711063996,0.0,1.0,50
f1_KillerWhale,0.40133786007465344,0.4510622451586887,0.0,0.95260663507109,50
support_KillerWhale,520.2,466.2597156617539,201.0,1424.0,50
