metric,mean,std,min,max,folds
accuracy,0.4737146199,0.0710226606,0.3628185907,0.5457364341,50
macro_f1,0.4402659368,0.0958840801,0.2649537981,0.5497094502,50
weighted_f1,0.5158544346,0.0796133928,0.3670807798,0.601987743,50
roc_auc_ovr_macro,0.704392602,0.047402797,0.6267691627,0.7606577932,50
average_precision_macro,0.5320105254,0.0935268989,0.3634873084,0.6109443787,50
n_items,817.6,371.8544810837,531.0,1545.0,50
precision_HumpbackWhale,0.2118900492,0.1867122393,0.025,0.5057915058,50
recall_HumpbackWhale,0.6544313858,0.219499075,0.3931034483,1.0,50
f1_HumpbackWhale,0.2429111041,0.1610445614,0.0487804878,0.4781021898,50
support_HumpbackWhale,108.2,103.085856826,6.0,289.0,50
precision_SpermWhale,0.5781740854,0.320844969,0.1011396011,0.90625,50
recall_SpermWhale,0.6001317381,0.2515639927,0.2113821138,0.9677419355,50
f1_SpermWhale,0.5373760186,0.2834457286,0.1738066095,0.9090909091,50
support_SpermWhale,189.2,141.8844025024,114.0,470.0,50
precision_KillerWhale,0.7617651104,0.135142224,0.5866141732,0.9618573798,50
recall_KillerWhale,0.4812331733,0.2252592624,0.1464968153,0.8369098712,50
f1_KillerWhale,0.5405106877,0.1591848532,0.2490974729,0.7289719626,50
support_KillerWhale,520.2,466.2597156618,201.0,1424.0,50
