feature,gain,repeat,fold
mfcc_16_std,0.14155592024326324,0,0
contrast_2_std,0.07702948153018951,0,0
zero_crossing_rate_mean,0.04534389078617096,0,0
mfcc_15_p90,0.04106401652097702,0,0
contrast_5_p90,0.032731711864471436,0,0
mfcc_15_std,0.023711564019322395,0,0
centroid_mean,0.02274530939757824,0,0
mfcc_1_p10,0.02269437536597252,0,0
contrast_2_p90,0.01943093165755272,0,0
rolloff85_p90,0.018762320280075073,0,0
mfcc_3_p10,0.018058953806757927,0,0
zero_crossing_rate_p90,0.017337260767817497,0,0
mfcc_14_std,0.01636471413075924,0,0
mfcc_1_p90,0.015049860812723637,0,0
spectral_entropy_p90,0.015041045844554901,0,0
centroid_p90,0.015009975992143154,0,0
flatness_p90,0.014021212235093117,0,0
mfcc_1_mean,0.013506554067134857,0,0
mfcc_2_p90,0.011942906305193901,0,0
contrast_5_mean,0.010385283268988132,0,0
flatness_p10,0.00973780732601881,0,0
mfcc_11_mean,0.008812369778752327,0,0
rms_p10,0.007902630604803562,0,0
bandwidth_p90,0.0076866610907018185,0,0
contrast_0_std,0.007629060186445713,0,0
contrast_0_mean,0.007614135276526213,0,0
mfcc_8_std,0.007564290892332792,0,0
mfcc_5_std,0.007350699044764042,0,0
contrast_0_p10,0.007043181918561459,0,0
spectral_entropy_mean,0.006912435404956341,0,0
mfcc_5_p10,0.006756854243576527,0,0
mfcc_3_mean,0.006740023382008076,0,0
dominant_frequency,0.006736987270414829,0,0
mfcc_delta_0_std,0.006617510225623846,0,0
mfcc_delta_1_std,0.006372151896357536,0,0
rms_p90,0.006236464716494083,0,0
mfcc_8_p90,0.005975380074232817,0,0
contrast_0_p90,0.0059289089404046535,0,0
dominant_frequency_ratio,0.005577192176133394,0,0
mfcc_5_mean,0.0055327145382761955,0,0
rms_mean,0.005527447443455458,0,0
mfcc_6_p10,0.005418520420789719,0,0
mfcc_11_p10,0.005155039951205254,0,0
mfcc_3_p90,0.004925118293613195,0,0
mfcc_delta_8_std,0.0049089351668953896,0,0
rolloff85_mean,0.004738260060548782,0,0
contrast_1_mean,0.004626621957868338,0,0
contrast_2_mean,0.00457725441083312,0,0
mfcc_11_p90,0.00436641788110137,0,0
mfcc_12_p90,0.004356185905635357,0,0
mfcc_delta_14_std,0.004299269989132881,0,0
mfcc_18_p90,0.00420917384326458,0,0
zero_crossing_rate_p10,0.004092762246727943,0,0
mfcc_4_p10,0.004064170178025961,0,0
mfcc_0_std,0.003934317734092474,0,0
spectral_entropy_p10,0.0038531741593033075,0,0
mfcc_3_std,0.003717745654284954,0,0
mfcc_15_mean,0.003644257551059127,0,0
mfcc_0_p90,0.003622595453634858,0,0
contrast_3_mean,0.0035799583420157433,0,0
mfcc_16_std,0.13926386833190918,0,1
contrast_2_std,0.07529638707637787,0,1
zero_crossing_rate_mean,0.05917472764849663,0,1
mfcc_15_std,0.03717243671417236,0,1
contrast_5_p90,0.03556016832590103,0,1
