feature,gain,repeat,fold
contrast_2_p90,0.0716823935508728,0,0
mfcc_15_std,0.05230017006397247,0,0
dominant_frequency,0.032814741134643555,0,0
mfcc_14_std,0.03194541111588478,0,0
contrast_3_mean,0.02284003421664238,0,0
contrast_4_p90,0.022720444947481155,0,0
contrast_2_std,0.022507168352603912,0,0
mfcc_delta_7_p10,0.021697448566555977,0,0
contrast_2_mean,0.019283920526504517,0,0
mfcc_delta_6_p90,0.017957473173737526,0,0
mfcc_delta_8_p10,0.017704257741570473,0,0
mfcc_16_std,0.015251217409968376,0,0
mfcc_delta_6_p10,0.013838984072208405,0,0
mfcc_delta_8_p90,0.013347717002034187,0,0
contrast_3_p10,0.013021296821534634,0,0
contrast_1_std,0.012756166979670525,0,0
mfcc_9_std,0.011526817455887794,0,0
contrast_3_p90,0.011403880082070827,0,0
mfcc_14_p10,0.011359157972037792,0,0
mfcc_delta_9_p10,0.010912270285189152,0,0
contrast_5_mean,0.010174132883548737,0,0
mfcc_18_std,0.009991766884922981,0,0
contrast_4_std,0.00979646760970354,0,0
mfcc_13_std,0.009568190202116966,0,0
mfcc_19_std,0.009263426996767521,0,0
mfcc_delta_7_p90,0.009023521095514297,0,0
mfcc_13_p10,0.00857002753764391,0,0
mfcc_delta_5_p10,0.008488178253173828,0,0
mfcc_8_std,0.007600095123052597,0,0
mfcc_8_p10,0.007312956266105175,0,0
mfcc_15_p90,0.006788603961467743,0,0
mfcc_delta_9_p90,0.00675602164119482,0,0
dominant_frequency_ratio,0.00647868262603879,0,0
contrast_1_mean,0.006428288295865059,0,0
contrast_3_std,0.006366895046085119,0,0
mfcc_18_p10,0.006267983000725508,0,0
mfcc_15_mean,0.006235434673726559,0,0
mfcc_delta_6_std,0.00622197799384594,0,0
zero_crossing_rate_std,0.006204796023666859,0,0
spectral_entropy_p10,0.0061827292665839195,0,0
rms_std,0.0060012019239366055,0,0
mfcc_13_mean,0.005921969655901194,0,0
mfcc_14_p90,0.005638682749122381,0,0
mfcc_2_mean,0.00546768493950367,0,0
mfcc_2_p90,0.005088408477604389,0,0
flatness_p10,0.0050476607866585255,0,0
spectral_entropy_mean,0.005014616996049881,0,0
rms_p10,0.004680213984102011,0,0
mfcc_7_std,0.004659129306674004,0,0
spectral_entropy_std,0.004572365432977676,0,0
mfcc_3_p10,0.004435903392732143,0,0
flatness_p90,0.004432995803654194,0,0
mfcc_6_p90,0.004360565450042486,0,0
mfcc_13_p90,0.004286689683794975,0,0
rms_p90,0.004237726796418428,0,0
mfcc_7_p90,0.004234736785292625,0,0
mfcc_delta_15_std,0.004170592408627272,0,0
mfcc_0_p10,0.004117749165743589,0,0
flatness_mean,0.004114547744393349,0,0
flatness_std,0.003953662700951099,0,0
contrast_2_p90,0.08047910034656525,0,1
mfcc_15_std,0.07928082346916199,0,1
mfcc_14_std,0.030665671452879906,0,1
dominant_frequency,0.02802285924553871,0,1
contrast_2_std,0.027486126869916916,0,1
contrast_4_p90,0.024325750768184662,0,1
contrast_3_mean,0.02094706892967224,0,1
mfcc_delta_8_p90,0.02094222977757454,0,1
contrast_2_mean,0.018765047192573547,0,1
mfcc_delta_8_p10,0.01873447559773922,0,1
mfcc_delta_6_p90,0.016908777877688408,0,1
mfcc_delta_7_p10,0.016426561400294304,0,1
contrast_3_p10,0.015259861946105957,0,1
mfcc_delta_6_p10,0.013429750688374043,0,1
mfcc_19_std,0.012148651294410229,0,1
mfcc_16_std,0.010825292207300663,0,1
contrast_1_std,0.010736484080553055,0,1
mfcc_13_std,0.009959441609680653,0,1
contrast_5_mean,0.008343730121850967,0,1
spectral_entropy_mean,0.00781332328915596,0,1
contrast_4_std,0.007761123590171337,0,1
mfcc_14_p10,0.007691327482461929,0,1
rms_std,0.007594650611281395,0,1
contrast_3_p90,0.007482600398361683,0,1
mfcc_delta_7_p90,0.007323311176151037,0,1
mfcc_2_mean,0.006964080035686493,0,1
mfcc_13_p10,0.0069634150713682175,0,1
flatness_p90,0.006944942753762007,0,1
mfcc_9_std,0.0067853135988116264,0,1
mfcc_8_std,0.006686970125883818,0,1
rms_p10,0.00636653508991003,0,1
mfcc_15_p90,0.00624024448916316,0,1
mfcc_delta_1_std,0.006123376078903675,0,1
mfcc_delta_0_p10,0.006104199215769768,0,1
flatness_p10,0.005798280239105225,0,1
rolloff85_mean,0.005517786368727684,0,1
contrast_1_mean,0.005177163984626532,0,1
mfcc_16_p10,0.005171158816665411,0,1
mfcc_delta_9_p90,0.0049206712283194065,0,1
contrast_3_std,0.004714428447186947,0,1
mfcc_delta_5_p10,0.004699381999671459,0,1
mfcc_delta_1_p10,0.004635615274310112,0,1
mfcc_9_p90,0.004593335557729006,0,1
mfcc_8_p10,0.004485931247472763,0,1
mfcc_delta_9_p10,0.004455230198800564,0,1
mfcc_2_p90,0.004429504740983248,0,1
flatness_mean,0.004406958818435669,0,1
dominant_frequency_ratio,0.004391118418425322,0,1
mfcc_delta_0_std,0.004299886990338564,0,1
rolloff85_p10,0.004232063423842192,0,1
mfcc_1_mean,0.004193567205220461,0,1
contrast_0_p10,0.0041242376901209354,0,1
mfcc_delta_19_p10,0.004059934988617897,0,1
zero_crossing_rate_std,0.004046787973493338,0,1
mfcc_1_p90,0.004020115826278925,0,1
centroid_p10,0.003976973704993725,0,1
mfcc_delta_6_std,0.003968904726207256,0,1
rms_p90,0.003934858832508326,0,1
mfcc_0_p10,0.003873467678204179,0,1
zero_crossing_rate_mean,0.0038657740224152803,0,1
contrast_2_p90,0.0841289833188057,0,2
mfcc_15_std,0.03793487697839737,0,2
contrast_3_mean,0.036123648285865784,0,2
mfcc_14_std,0.035545192658901215,0,2
dominant_frequency,0.03143913671374321,0,2
mfcc_7_std,0.026533663272857666,0,2
contrast_4_p90,0.022638825699687004,0,2
contrast_4_mean,0.02092158980667591,0,2
zero_crossing_rate_p90,0.01918313093483448,0,2
contrast_2_mean,0.01795203797519207,0,2
mfcc_8_std,0.016916120424866676,0,2
rms_p10,0.016076333820819855,0,2
mfcc_13_std,0.01572822965681553,0,2
contrast_3_p90,0.013242224231362343,0,2
zero_crossing_rate_p10,0.012652220204472542,0,2
contrast_2_std,0.012524557299911976,0,2
mfcc_delta_8_p90,0.010977216996252537,0,2
mfcc_9_std,0.010709933005273342,0,2
flatness_std,0.008605239912867546,0,2
flatness_p10,0.00859262328594923,0,2
mfcc_5_std,0.007976587861776352,0,2
contrast_3_p10,0.0077773770317435265,0,2
rms_std,0.007535126060247421,0,2
mfcc_delta_8_p10,0.007383542135357857,0,2
mfcc_delta_6_p90,0.007061831187456846,0,2
zero_crossing_rate_std,0.00686256680637598,0,2
mfcc_5_p10,0.006750304251909256,0,2
mfcc_delta_14_std,0.006673833355307579,0,2
mfcc_delta_14_p90,0.0066160764545202255,0,2
mfcc_1_p90,0.006588651333004236,0,2
rms_p90,0.006557570770382881,0,2
contrast_1_std,0.006184825208038092,0,2
spectral_entropy_p10,0.006119472905993462,0,2
mfcc_8_p10,0.0061010983772575855,0,2
rms_mean,0.005990372970700264,0,2
mfcc_15_p90,0.005635218694806099,0,2
contrast_3_std,0.005581324454396963,0,2
mfcc_19_p90,0.005498812533915043,0,2
spectral_entropy_mean,0.005482261534780264,0,2
mfcc_1_p10,0.005297439638525248,0,2
mfcc_16_p90,0.005251955706626177,0,2
centroid_p90,0.005173449870198965,0,2
mfcc_delta_4_p10,0.005149816162884235,0,2
contrast_4_std,0.0051481048576533794,0,2
centroid_std,0.0050637912936508656,0,2
mfcc_delta_8_std,0.004920791368931532,0,2
mfcc_8_p90,0.00490807369351387,0,2
rolloff85_mean,0.004907888360321522,0,2
mfcc_11_p10,0.004684383515268564,0,2
mfcc_delta_0_std,0.004684020299464464,0,2
flatness_mean,0.0046110679395496845,0,2
mfcc_delta_14_p10,0.004523365758359432,0,2
mfcc_13_p10,0.004508348647505045,0,2
mfcc_14_p10,0.00449132127687335,0,2
mfcc_delta_3_p10,0.004475592169910669,0,2
mfcc_13_mean,0.004327534232288599,0,2
mfcc_9_p10,0.004291375633329153,0,2
mfcc_13_p90,0.004232935607433319,0,2
mfcc_delta_3_std,0.004202968906611204,0,2
mfcc_delta_0_p10,0.004186124075204134,0,2
contrast_2_p90,0.07935153692960739,0,3
mfcc_15_std,0.06484171003103256,0,3
zero_crossing_rate_std,0.05055195465683937,0,3
mfcc_14_std,0.04641268774867058,0,3
contrast_3_mean,0.03311615809798241,0,3
mfcc_13_std,0.028198709711432457,0,3
rms_p10,0.024117887020111084,0,3
contrast_2_std,0.023897619917988777,0,3
contrast_4_p90,0.023047056049108505,0,3
contrast_3_p10,0.019287876784801483,0,3
mfcc_16_std,0.013436149805784225,0,3
dominant_frequency,0.01234037708491087,0,3
contrast_3_p90,0.010921831242740154,0,3
rms_mean,0.010921770706772804,0,3
mfcc_19_std,0.01057811826467514,0,3
flatness_p10,0.009861688129603863,0,3
mfcc_14_p90,0.009119593538343906,0,3
mfcc_13_p10,0.009068905375897884,0,3
mfcc_14_p10,0.008925944566726685,0,3
rms_p90,0.0087670823559165,0,3
mfcc_7_std,0.008575855754315853,0,3
dominant_frequency_ratio,0.008406303822994232,0,3
flatness_mean,0.007752591744065285,0,3
contrast_5_p10,0.007737849373370409,0,3
zero_crossing_rate_mean,0.007672241888940334,0,3
mfcc_15_p90,0.007543621119111776,0,3
mfcc_8_std,0.007280447985976934,0,3
contrast_2_mean,0.007206922397017479,0,3
mfcc_8_p10,0.007176022510975599,0,3
contrast_5_mean,0.007029175292700529,0,3
flatness_p90,0.0067456006072461605,0,3
rolloff85_mean,0.006687397137284279,0,3
zero_crossing_rate_p90,0.006179727613925934,0,3
mfcc_5_mean,0.00600655609741807,0,3
mfcc_2_mean,0.0058939228765666485,0,3
mfcc_delta_0_std,0.005727976094931364,0,3
mfcc_delta_1_std,0.005383299198001623,0,3
flatness_std,0.0053430404514074326,0,3
