model,coverage,threshold,predictions,clips,accuracy,macro_f1
xgboost,1.0,0.336,40880,4088,0.686888454,0.600538398
xgboost,0.9501,0.4342,38840,3884,0.7039134912,0.6145403063
xgboost,0.9002,0.4915,36800,3680,0.7176630435,0.6259373759
xgboost,0.8001,0.5665,32710,3271,0.7487007031,0.6494909523
xgboost,0.7001,0.6505,28620,2862,0.7631027254,0.6431145936
xgboost,0.6,0.7125,24530,2453,0.7708927843,0.6274784234
xgboost,0.5,0.7679,20440,2044,0.7695694716,0.5733631325
xgboost,0.4002,0.8561,16360,1636,0.79400978,0.5428307824
xgboost,0.3001,0.9641,12270,1227,0.8101059495,0.4516087613
xgboost,0.2001,0.996,8180,818,0.8997555012,0.7378747795
xgboost,0.1,0.9995,4090,409,0.9951100244,0.6241687448
