metric,mean,std,min,max,folds
accuracy,0.9250376286944292,0.13249951445871097,0.6622950819672131,1.0,50
macro_f1,0.9305060416546519,0.11381201882624319,0.7036045571837697,1.0,50
weighted_f1,0.9248039435071168,0.13258544305584571,0.6632865378396595,1.0,50
roc_auc_ovr_macro,0.996376449612874,0.006314490073588959,0.9839812984041169,1.0,50
average_precision_macro,0.9896615330839016,0.02015575046223005,0.9497749416347089,1.0,50
n_items,817.6,691.0357798114305,305.0,2133.0,50
precision_HumpbackWhale,0.8694699026793223,0.24006783677743948,0.3780487804878049,1.0,50
recall_HumpbackWhale,0.9988059701492539,0.002412304584005259,0.9940298507462687,1.0,50
f1_HumpbackWhale,0.9078563967475474,0.17268946971001267,0.5486725663716814,1.0,50
support_HumpbackWhale,108.2,115.53495804565925,29.0,335.0,50
precision_SpermWhale,0.9903579386559194,0.013473011331182729,0.9661016949152542,1.0,50
recall_SpermWhale,0.9652173913043478,0.07027148136015379,0.8260869565217391,1.0,50
f1_SpermWhale,0.9766834651283383,0.04355768869976543,0.890625,1.0,50
support_SpermWhale,189.2,244.36623568500036,66.0,673.0,50
precision_KillerWhale,0.9980000000000001,0.004040610178208847,0.99,1.0,50
recall_KillerWhale,0.8681035923141187,0.23865887346655748,0.39766081871345027,1.0,50
f1_KillerWhale,0.9069782630880703,0.17120777215798416,0.5690376569037657,1.0,50
support_KillerWhale,520.2,767.2153198019286,105.0,2038.0,50
