feature,gain,repeat,fold
native_sample_rate,0.454507976770401,0,0
bytes_on_disk,0.38258641958236694,0,0
year,0.08795654773712158,0,0
duration_seconds,0.07494903355836868,0,0
bytes_on_disk,0.5517243146896362,0,1
native_sample_rate,0.3476356267929077,0,1
year,0.05915436893701553,0,1
duration_seconds,0.041485656052827835,0,1
native_sample_rate,0.507943868637085,0,2
year,0.2128104269504547,0,2
duration_seconds,0.156143456697464,0,2
bytes_on_disk,0.12310219556093216,0,2
native_sample_rate,0.6821772456169128,0,3
year,0.28067177534103394,0,3
duration_seconds,0.03568268567323685,0,3
bytes_on_disk,0.0014683426124975085,0,3
bytes_on_disk,0.6942440867424011,0,4
native_sample_rate,0.15992043912410736,0,4
duration_seconds,0.1105666235089302,0,4
year,0.0352688692510128,0,4
native_sample_rate,0.454507976770401,1,0
bytes_on_disk,0.38258641958236694,1,0
year,0.08795654773712158,1,0
duration_seconds,0.07494903355836868,1,0
bytes_on_disk,0.5517243146896362,1,1
native_sample_rate,0.3476356267929077,1,1
year,0.05915436893701553,1,1
duration_seconds,0.041485656052827835,1,1
native_sample_rate,0.507943868637085,1,2
year,0.2128104269504547,1,2
duration_seconds,0.156143456697464,1,2
bytes_on_disk,0.12310219556093216,1,2
native_sample_rate,0.6821772456169128,1,3
year,0.28067177534103394,1,3
duration_seconds,0.03568268567323685,1,3
bytes_on_disk,0.0014683426124975085,1,3
bytes_on_disk,0.6942440867424011,1,4
native_sample_rate,0.15992043912410736,1,4
duration_seconds,0.1105666235089302,1,4
year,0.0352688692510128,1,4
native_sample_rate,0.454507976770401,2,0
bytes_on_disk,0.38258641958236694,2,0
year,0.08795654773712158,2,0
duration_seconds,0.07494903355836868,2,0
bytes_on_disk,0.5517243146896362,2,1
native_sample_rate,0.3476356267929077,2,1
year,0.05915436893701553,2,1
duration_seconds,0.041485656052827835,2,1
native_sample_rate,0.507943868637085,2,2
year,0.2128104269504547,2,2
duration_seconds,0.156143456697464,2,2
bytes_on_disk,0.12310219556093216,2,2
native_sample_rate,0.6821772456169128,2,3
year,0.28067177534103394,2,3
duration_seconds,0.03568268567323685,2,3
bytes_on_disk,0.0014683426124975085,2,3
bytes_on_disk,0.6942440867424011,2,4
native_sample_rate,0.15992043912410736,2,4
duration_seconds,0.1105666235089302,2,4
year,0.0352688692510128,2,4
native_sample_rate,0.454507976770401,3,0
bytes_on_disk,0.38258641958236694,3,0
year,0.08795654773712158,3,0
duration_seconds,0.07494903355836868,3,0
bytes_on_disk,0.5517243146896362,3,1
native_sample_rate,0.3476356267929077,3,1
year,0.05915436893701553,3,1
duration_seconds,0.041485656052827835,3,1
native_sample_rate,0.507943868637085,3,2
year,0.2128104269504547,3,2
duration_seconds,0.156143456697464,3,2
bytes_on_disk,0.12310219556093216,3,2
native_sample_rate,0.6821772456169128,3,3
year,0.28067177534103394,3,3
duration_seconds,0.03568268567323685,3,3
bytes_on_disk,0.0014683426124975085,3,3
bytes_on_disk,0.6942440867424011,3,4
native_sample_rate,0.15992043912410736,3,4
duration_seconds,0.1105666235089302,3,4
year,0.0352688692510128,3,4
native_sample_rate,0.454507976770401,4,0
bytes_on_disk,0.38258641958236694,4,0
year,0.08795654773712158,4,0
duration_seconds,0.07494903355836868,4,0
bytes_on_disk,0.5517243146896362,4,1
native_sample_rate,0.3476356267929077,4,1
year,0.05915436893701553,4,1
duration_seconds,0.041485656052827835,4,1
native_sample_rate,0.507943868637085,4,2
year,0.2128104269504547,4,2
duration_seconds,0.156143456697464,4,2
bytes_on_disk,0.12310219556093216,4,2
native_sample_rate,0.6856135129928589,4,3
year,0.2938481569290161,4,3
duration_seconds,0.01929943822324276,4,3
bytes_on_disk,0.0012389121111482382,4,3
bytes_on_disk,0.6887792348861694,4,4
native_sample_rate,0.14330114424228668,4,4
duration_seconds,0.1074828952550888,4,4
year,0.06043676659464836,4,4
native_sample_rate,0.454507976770401,5,0
bytes_on_disk,0.38258641958236694,5,0
year,0.08795654773712158,5,0
duration_seconds,0.07494903355836868,5,0
bytes_on_disk,0.5517243146896362,5,1
native_sample_rate,0.3476356267929077,5,1
year,0.05915436893701553,5,1
duration_seconds,0.041485656052827835,5,1
native_sample_rate,0.507943868637085,5,2
year,0.2128104269504547,5,2
duration_seconds,0.156143456697464,5,2
bytes_on_disk,0.12310219556093216,5,2
native_sample_rate,0.6856135129928589,5,3
year,0.2938481569290161,5,3
duration_seconds,0.01929943822324276,5,3
bytes_on_disk,0.0012389121111482382,5,3
bytes_on_disk,0.6887792348861694,5,4
native_sample_rate,0.14330114424228668,5,4
duration_seconds,0.1074828952550888,5,4
year,0.06043676659464836,5,4
native_sample_rate,0.454507976770401,6,0
bytes_on_disk,0.38258641958236694,6,0
year,0.08795654773712158,6,0
duration_seconds,0.07494903355836868,6,0
bytes_on_disk,0.5517243146896362,6,1
native_sample_rate,0.3476356267929077,6,1
year,0.05915436893701553,6,1
duration_seconds,0.041485656052827835,6,1
native_sample_rate,0.507943868637085,6,2
year,0.2128104269504547,6,2
duration_seconds,0.156143456697464,6,2
bytes_on_disk,0.12310219556093216,6,2
native_sample_rate,0.6856135129928589,6,3
year,0.2938481569290161,6,3
duration_seconds,0.01929943822324276,6,3
bytes_on_disk,0.0012389121111482382,6,3
bytes_on_disk,0.6887792348861694,6,4
native_sample_rate,0.14330114424228668,6,4
duration_seconds,0.1074828952550888,6,4
year,0.06043676659464836,6,4
native_sample_rate,0.454507976770401,7,0
bytes_on_disk,0.38258641958236694,7,0
year,0.08795654773712158,7,0
duration_seconds,0.07494903355836868,7,0
bytes_on_disk,0.5517243146896362,7,1
native_sample_rate,0.3476356267929077,7,1
year,0.05915436893701553,7,1
duration_seconds,0.041485656052827835,7,1
native_sample_rate,0.507943868637085,7,2
year,0.2128104269504547,7,2
duration_seconds,0.156143456697464,7,2
bytes_on_disk,0.12310219556093216,7,2
native_sample_rate,0.6856135129928589,7,3
year,0.2938481569290161,7,3
duration_seconds,0.01929943822324276,7,3
bytes_on_disk,0.0012389121111482382,7,3
bytes_on_disk,0.6887792348861694,7,4
native_sample_rate,0.14330114424228668,7,4
duration_seconds,0.1074828952550888,7,4
year,0.06043676659464836,7,4
native_sample_rate,0.454507976770401,8,0
bytes_on_disk,0.38258641958236694,8,0
year,0.08795654773712158,8,0
duration_seconds,0.07494903355836868,8,0
bytes_on_disk,0.5517243146896362,8,1
native_sample_rate,0.3476356267929077,8,1
year,0.05915436893701553,8,1
duration_seconds,0.041485656052827835,8,1
native_sample_rate,0.507943868637085,8,2
year,0.2128104269504547,8,2
duration_seconds,0.156143456697464,8,2
bytes_on_disk,0.12310219556093216,8,2
native_sample_rate,0.6821772456169128,8,3
year,0.28067177534103394,8,3
duration_seconds,0.03568268567323685,8,3
bytes_on_disk,0.0014683426124975085,8,3
bytes_on_disk,0.6942440867424011,8,4
native_sample_rate,0.15992043912410736,8,4
duration_seconds,0.1105666235089302,8,4
year,0.0352688692510128,8,4
native_sample_rate,0.454507976770401,9,0
bytes_on_disk,0.38258641958236694,9,0
year,0.08795654773712158,9,0
duration_seconds,0.07494903355836868,9,0
bytes_on_disk,0.5517243146896362,9,1
native_sample_rate,0.3476356267929077,9,1
year,0.05915436893701553,9,1
duration_seconds,0.041485656052827835,9,1
native_sample_rate,0.507943868637085,9,2
year,0.2128104269504547,9,2
duration_seconds,0.156143456697464,9,2
bytes_on_disk,0.12310219556093216,9,2
native_sample_rate,0.6856135129928589,9,3
year,0.2938481569290161,9,3
duration_seconds,0.01929943822324276,9,3
bytes_on_disk,0.0012389121111482382,9,3
bytes_on_disk,0.6887792348861694,9,4
native_sample_rate,0.14330114424228668,9,4
duration_seconds,0.1074828952550888,9,4
year,0.06043676659464836,9,4
