repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.8768731268731269,0.810327957072329,0.9026176316329506,0.9999980657454257,0.9999532641213084,4004.0,0.9916666666666667,1.0,0.99581589958159,119.0,0.34048257372654156,1.0,0.508,254.0,1.0,0.8642247314789314,0.9271679716353967,3631.0
0,1,1.0,1.0,1.0,1.0,1.0,5259.0,1.0,1.0,1.0,286.0,1.0,1.0,1.0,4774.0,1.0,1.0,1.0,199.0
0,2,0.8852201257861635,0.8371801085555687,0.8759548795736428,0.7997964054474385,0.776075658358646,1908.0,0.8739782016348774,0.9945736434108527,0.9303843364757071,1290.0,1.0,0.593186372745491,0.7446540880503144,499.0,0.7638888888888888,0.9243697478991597,0.8365019011406845,119.0
0,3,0.9947033898305084,0.9919862162920223,0.9947294940518031,0.9999681165658353,0.9999476898531393,944.0,1.0,1.0,1.0,444.0,0.9666666666666667,1.0,0.9830508474576272,145.0,1.0,0.9859154929577465,0.9929078014184397,355.0
0,4,0.7318075117370892,0.7385673424897523,0.7233675899257668,0.9308847659134853,0.8962891633220624,1704.0,1.0,0.8413001912045889,0.9138110072689511,523.0,0.5711009174311926,1.0,0.727007299270073,498.0,0.7882653061224489,0.45241581259150804,0.5748837209302325,683.0
1,0,0.8768731268731269,0.810327957072329,0.9026176316329506,0.9999980657454257,0.9999532641213084,4004.0,0.9916666666666667,1.0,0.99581589958159,119.0,0.34048257372654156,1.0,0.508,254.0,1.0,0.8642247314789314,0.9271679716353967,3631.0
1,1,1.0,1.0,1.0,1.0,1.0,5259.0,1.0,1.0,1.0,286.0,1.0,1.0,1.0,4774.0,1.0,1.0,1.0,199.0
1,2,0.8852201257861635,0.8371801085555687,0.8759548795736428,0.7997964054474385,0.776075658358646,1908.0,0.8739782016348774,0.9945736434108527,0.9303843364757071,1290.0,1.0,0.593186372745491,0.7446540880503144,499.0,0.7638888888888888,0.9243697478991597,0.8365019011406845,119.0
1,3,0.9947033898305084,0.9919862162920223,0.9947294940518031,0.9999681165658353,0.9999476898531393,944.0,1.0,1.0,1.0,444.0,0.9666666666666667,1.0,0.9830508474576272,145.0,1.0,0.9859154929577465,0.9929078014184397,355.0
1,4,0.7318075117370892,0.7385673424897523,0.7233675899257668,0.9308847659134853,0.8962891633220624,1704.0,1.0,0.8413001912045889,0.9138110072689511,523.0,0.5711009174311926,1.0,0.727007299270073,498.0,0.7882653061224489,0.45241581259150804,0.5748837209302325,683.0
2,0,0.8768731268731269,0.810327957072329,0.9026176316329506,0.9999980657454257,0.9999532641213084,4004.0,0.9916666666666667,1.0,0.99581589958159,119.0,0.34048257372654156,1.0,0.508,254.0,1.0,0.8642247314789314,0.9271679716353967,3631.0
2,1,1.0,1.0,1.0,1.0,1.0,5259.0,1.0,1.0,1.0,286.0,1.0,1.0,1.0,4774.0,1.0,1.0,1.0,199.0
2,2,0.8852201257861635,0.8371801085555687,0.8759548795736428,0.7997964054474385,0.776075658358646,1908.0,0.8739782016348774,0.9945736434108527,0.9303843364757071,1290.0,1.0,0.593186372745491,0.7446540880503144,499.0,0.7638888888888888,0.9243697478991597,0.8365019011406845,119.0
2,3,0.9947033898305084,0.9919862162920223,0.9947294940518031,0.9999681165658353,0.9999476898531393,944.0,1.0,1.0,1.0,444.0,0.9666666666666667,1.0,0.9830508474576272,145.0,1.0,0.9859154929577465,0.9929078014184397,355.0
2,4,0.7318075117370892,0.7385673424897523,0.7233675899257668,0.9308847659134853,0.8962891633220624,1704.0,1.0,0.8413001912045889,0.9138110072689511,523.0,0.5711009174311926,1.0,0.727007299270073,498.0,0.7882653061224489,0.45241581259150804,0.5748837209302325,683.0
3,0,0.8768731268731269,0.810327957072329,0.9026176316329506,0.9999980657454257,0.9999532641213084,4004.0,0.9916666666666667,1.0,0.99581589958159,119.0,0.34048257372654156,1.0,0.508,254.0,1.0,0.8642247314789314,0.9271679716353967,3631.0
3,1,1.0,1.0,1.0,1.0,1.0,5259.0,1.0,1.0,1.0,286.0,1.0,1.0,1.0,4774.0,1.0,1.0,1.0,199.0
3,2,0.8852201257861635,0.8371801085555687,0.8759548795736428,0.7997964054474385,0.776075658358646,1908.0,0.8739782016348774,0.9945736434108527,0.9303843364757071,1290.0,1.0,0.593186372745491,0.7446540880503144,499.0,0.7638888888888888,0.9243697478991597,0.8365019011406845,119.0
3,3,0.9947033898305084,0.9919862162920223,0.9947294940518031,0.9999681165658353,0.9999476898531393,944.0,1.0,1.0,1.0,444.0,0.9666666666666667,1.0,0.9830508474576272,145.0,1.0,0.9859154929577465,0.9929078014184397,355.0
3,4,0.7318075117370892,0.7385673424897523,0.7233675899257668,0.9308847659134853,0.8962891633220624,1704.0,1.0,0.8413001912045889,0.9138110072689511,523.0,0.5711009174311926,1.0,0.727007299270073,498.0,0.7882653061224489,0.45241581259150804,0.5748837209302325,683.0
4,0,0.8768731268731269,0.810327957072329,0.9026176316329506,0.9999980657454257,0.9999532641213084,4004.0,0.9916666666666667,1.0,0.99581589958159,119.0,0.34048257372654156,1.0,0.508,254.0,1.0,0.8642247314789314,0.9271679716353967,3631.0
4,1,1.0,1.0,1.0,1.0,1.0,5259.0,1.0,1.0,1.0,286.0,1.0,1.0,1.0,4774.0,1.0,1.0,1.0,199.0
4,2,0.8852201257861635,0.8371801085555687,0.8759548795736428,0.7997964054474385,0.776075658358646,1908.0,0.8739782016348774,0.9945736434108527,0.9303843364757071,1290.0,1.0,0.593186372745491,0.7446540880503144,499.0,0.7638888888888888,0.9243697478991597,0.8365019011406845,119.0
4,3,0.9947033898305084,0.9919862162920223,0.9947294940518031,0.9999681165658353,0.9999476898531393,944.0,1.0,1.0,1.0,444.0,0.9666666666666667,1.0,0.9830508474576272,145.0,1.0,0.9859154929577465,0.9929078014184397,355.0
4,4,0.7318075117370892,0.7385673424897523,0.7233675899257668,0.9308847659134853,0.8962891633220624,1704.0,1.0,0.8413001912045889,0.9138110072689511,523.0,0.5711009174311926,1.0,0.727007299270073,498.0,0.7882653061224489,0.45241581259150804,0.5748837209302325,683.0
