metric,mean,std,min,max,folds
accuracy,0.9294105505716759,0.07838388771087694,0.7897574123989218,1.0,50
macro_f1,0.8981646860118451,0.09938640861048843,0.7752561051885304,1.0,50
weighted_f1,0.935639417621705,0.07477406753065957,0.7969021914227871,1.0,50
roc_auc_ovr_macro,0.9618900699285624,0.04727740266101812,0.8987168810030983,1.0,50
average_precision_macro,0.9565451335039776,0.05322710857759982,0.8863540042014219,1.0,50
n_items,817.6,683.4297061624598,287.0,2124.0,50
precision_HumpbackWhale,0.9805055159893871,0.024128727500932062,0.9501466275659824,1.0,50
recall_HumpbackWhale,0.9584744986722827,0.08083119742620404,0.7985074626865671,1.0,50
f1_HumpbackWhale,0.9670181607910748,0.041695569565802906,0.8879668049792531,1.0,50
support_HumpbackWhale,108.2,117.83835348060668,20.0,326.0,50
precision_SpermWhale,0.7602709008615566,0.30769686589889367,0.2509505703422053,1.0,50
recall_SpermWhale,0.9565217391304347,0.08783935170019222,0.782608695652174,1.0,50
f1_SpermWhale,0.7987359019289255,0.22524058876813385,0.4012158054711246,1.0,50
support_SpermWhale,189.2,244.36623568500036,66.0,673.0,50
precision_KillerWhale,0.9518367346938778,0.07200162817694754,0.8163265306122449,1.0,50
recall_KillerWhale,0.9083678957347497,0.11038339054610789,0.7017543859649122,1.0,50
f1_KillerWhale,0.9287399953155346,0.09108630291106061,0.7547169811320755,1.0,50
support_KillerWhale,520.2,767.2153198019286,105.0,2038.0,50
