metric,mean,std,min,max,folds
accuracy,0.7261116179,0.1323189408,0.502,0.8954703833,50
macro_f1,0.6350338568,0.1566512622,0.4518261856,0.8699186992,50
weighted_f1,0.7533174132,0.1375902555,0.5287998763,0.8929208804,50
roc_auc_ovr_macro,0.9146115584,0.0719213042,0.7749374107,0.9751103619,50
average_precision_macro,0.7884578686,0.1432557677,0.57008943,0.9283073268,50
n_items,817.6,683.4297061625,287.0,2124.0,50
precision_HumpbackWhale,0.4741733855,0.3246258212,0.0557103064,0.8407643312,50
recall_HumpbackWhale,0.8522603365,0.2285450525,0.4049079755,1.0,50
f1_HumpbackWhale,0.4891477614,0.2779424914,0.1055408971,0.8536585366,50
support_HumpbackWhale,108.2,117.8383534806,20.0,326.0,50
precision_SpermWhale,0.6340680121,0.3736146346,0.1337209302,1.0,50
recall_SpermWhale,0.756507497,0.241741376,0.3333333333,1.0,50
f1_SpermWhale,0.6343935032,0.2884358159,0.1908713693,0.8859060403,50
support_SpermWhale,189.2,244.366235685,66.0,673.0,50
precision_KillerWhale,0.8603038106,0.1627787062,0.5614035088,1.0,50
recall_KillerWhale,0.7813555558,0.2104725389,0.3918128655,0.9606741573,50
f1_KillerWhale,0.7815603058,0.1348526327,0.5630252101,0.9268292683,50
support_KillerWhale,520.2,767.2153198019,105.0,2038.0,50
