feature,gain,repeat,fold
mfcc_16_std,0.09937912970781326,0,0
mfcc_15_std,0.09131785482168198,0,0
mfcc_2_p10,0.08645499497652054,0,0
mfcc_14_std,0.044449616223573685,0,0
mfcc_2_mean,0.0443783774971962,0,0
rms_p10,0.0306649561971426,0,0
flatness_std,0.020545195788145065,0,0
centroid_p10,0.019830767065286636,0,0
dominant_frequency,0.018687130883336067,0,0
mfcc_delta_0_std,0.01706313155591488,0,0
rms_mean,0.01587117649614811,0,0
mfcc_11_p10,0.015396482311189175,0,0
rolloff85_mean,0.015042663551867008,0,0
contrast_0_p10,0.012411781586706638,0,0
mfcc_15_p90,0.011666362173855305,0,0
mfcc_3_std,0.01099340245127678,0,0
mfcc_delta_7_std,0.009921012446284294,0,0
rms_p90,0.009870484471321106,0,0
mfcc_13_std,0.00976954773068428,0,0
mfcc_12_mean,0.009311356581747532,0,0
spectral_entropy_mean,0.008530424907803535,0,0
mfcc_0_p10,0.008515888825058937,0,0
mfcc_1_mean,0.008481894619762897,0,0
mfcc_2_p90,0.008313593454658985,0,0
flatness_p90,0.00776283722370863,0,0
mfcc_4_mean,0.007577912881970406,0,0
contrast_0_mean,0.007427112199366093,0,0
centroid_p90,0.007117303553968668,0,0
zero_crossing_rate_p90,0.006963432300835848,0,0
mfcc_delta_6_p10,0.006779821123927832,0,0
mfcc_7_p90,0.006397610064595938,0,0
mfcc_5_mean,0.00638510100543499,0,0
spectral_entropy_p90,0.006382178980857134,0,0
contrast_1_mean,0.00625260267406702,0,0
contrast_4_mean,0.005860809702426195,0,0
mfcc_delta_16_std,0.005854030139744282,0,0
mfcc_9_p90,0.00580246327444911,0,0
contrast_5_mean,0.005711714271456003,0,0
mfcc_8_p90,0.00561825605109334,0,0
spectral_entropy_p10,0.005568080116063356,0,0
mfcc_16_mean,0.005503461696207523,0,0
contrast_5_p10,0.005223118234425783,0,0
contrast_1_p10,0.005091552156955004,0,0
contrast_0_p90,0.0050431471318006516,0,0
mfcc_12_p90,0.004892824683338404,0,0
mfcc_7_std,0.004809344187378883,0,0
zero_crossing_rate_std,0.004668716341257095,0,0
rolloff85_p10,0.004640324041247368,0,0
mfcc_delta_1_p10,0.004623612388968468,0,0
mfcc_1_p10,0.004620490595698357,0,0
centroid_mean,0.004515144508332014,0,0
