feature,gain,repeat,fold
contrast_2_p90,0.0904906615614891,0,0
mfcc_15_std,0.06619194895029068,0,0
mfcc_14_std,0.0632261335849762,0,0
contrast_4_p90,0.03226239234209061,0,0
contrast_3_mean,0.024963367730379105,0,0
contrast_2_std,0.022811563685536385,0,0
rms_p10,0.021924927830696106,0,0
mfcc_delta_4_p10,0.02072206139564514,0,0
zero_crossing_rate_p90,0.02011863701045513,0,0
mfcc_13_std,0.019003283232450485,0,0
dominant_frequency,0.01249256357550621,0,0
rms_mean,0.0122182946652174,0,0
mfcc_16_p90,0.011935976333916187,0,0
mfcc_13_p90,0.011343846097588539,0,0
mfcc_delta_4_p90,0.01078274566680193,0,0
mfcc_delta_8_p10,0.010676741600036621,0,0
contrast_3_p90,0.009848330169916153,0,0
contrast_2_mean,0.009538033045828342,0,0
mfcc_16_std,0.009098632261157036,0,0
flatness_std,0.009080829098820686,0,0
mfcc_16_p10,0.008598984219133854,0,0
mfcc_14_p90,0.008408695459365845,0,0
flatness_mean,0.008187694475054741,0,0
contrast_1_std,0.007841404527425766,0,0
mfcc_15_p10,0.007793030701577663,0,0
spectral_entropy_p90,0.007783133536577225,0,0
mfcc_19_std,0.007691443432122469,0,0
mfcc_delta_0_p10,0.007653503213077784,0,0
contrast_3_p10,0.007553532719612122,0,0
mfcc_delta_0_std,0.007060281466692686,0,0
mfcc_7_std,0.006952433381229639,0,0
zero_crossing_rate_p10,0.006640167906880379,0,0
rms_std,0.0062601263634860516,0,0
zero_crossing_rate_std,0.006156776566058397,0,0
mfcc_delta_5_p10,0.00613126065582037,0,0
mfcc_delta_7_p90,0.0060616726987063885,0,0
mfcc_14_p10,0.006055878940969706,0,0
mfcc_delta_0_p90,0.006003418006002903,0,0
zero_crossing_rate_mean,0.005731943994760513,0,0
rms_p90,0.005507778842002153,0,0
contrast_4_std,0.005268178880214691,0,0
centroid_p10,0.005218822509050369,0,0
flatness_p90,0.004953093361109495,0,0
mfcc_18_std,0.004873719997704029,0,0
mfcc_delta_6_std,0.0048637595027685165,0,0
mfcc_16_mean,0.004831995815038681,0,0
contrast_3_std,0.00469381595030427,0,0
flatness_p10,0.004611832555383444,0,0
mfcc_delta_14_p10,0.0045997328124940395,0,0
mfcc_8_p10,0.00455014081671834,0,0
mfcc_4_p90,0.004527231212705374,0,0
mfcc_13_p10,0.004476439673453569,0,0
mfcc_1_mean,0.004215647000819445,0,0
mfcc_delta_14_std,0.004203959833830595,0,0
contrast_1_p90,0.004136225674301386,0,0
mfcc_2_std,0.004012707620859146,0,0
mfcc_3_std,0.003922083880752325,0,0
mfcc_delta_1_p10,0.0036771672312170267,0,0
mfcc_8_std,0.0036429802421480417,0,0
mfcc_delta_3_p10,0.003627106547355652,0,0
contrast_2_p90,0.06475886702537537,0,1
mfcc_15_std,0.056754060089588165,0,1
mfcc_14_std,0.04802742227911949,0,1
contrast_2_std,0.025806501507759094,0,1
contrast_3_mean,0.023457439616322517,0,1
mfcc_13_std,0.018452467396855354,0,1
flatness_p10,0.018343299627304077,0,1
mfcc_16_p10,0.01783469319343567,0,1
rms_p10,0.016918091103434563,0,1
contrast_4_p90,0.015882015228271484,0,1
dominant_frequency,0.014229514636099339,0,1
flatness_std,0.01290268823504448,0,1
mfcc_14_p10,0.012511618435382843,0,1
flatness_mean,0.012129523791372776,0,1
bandwidth_p90,0.011565487831830978,0,1
mfcc_16_mean,0.011556856334209442,0,1
rms_std,0.011348004452884197,0,1
mfcc_16_p90,0.01099854800850153,0,1
dominant_frequency_ratio,0.01081469189375639,0,1
rms_mean,0.010705762542784214,0,1
zero_crossing_rate_std,0.01069711335003376,0,1
mfcc_14_p90,0.010404834523797035,0,1
mfcc_16_std,0.009976997971534729,0,1
mfcc_8_p10,0.008729794062674046,0,1
mfcc_9_std,0.008610621094703674,0,1
zero_crossing_rate_p90,0.008602749556303024,0,1
mfcc_13_p90,0.008285274729132652,0,1
contrast_3_p90,0.0082384729757905,0,1
mfcc_7_std,0.008056209422647953,0,1
contrast_1_std,0.007708377204835415,0,1
mfcc_delta_4_p10,0.007352658547461033,0,1
zero_crossing_rate_mean,0.006980768404901028,0,1
mfcc_delta_0_p90,0.0069066728465259075,0,1
mfcc_delta_0_p10,0.0068558091297745705,0,1
