model,coverage,threshold,predictions,clips,accuracy,macro_f1
xgboost,1.0,0.116,7345,7345,0.4931245745,0.3731370953
xgboost,0.9499,0.1932,6977,6977,0.5095313172,0.3813423316
xgboost,0.8999,0.2266,6610,6610,0.5263237519,0.3923718479
xgboost,0.8,0.2784,5876,5876,0.5607556161,0.4146157073
xgboost,0.6999,0.3291,5141,5141,0.5938533359,0.4298462828
xgboost,0.6,0.3904,4407,4407,0.6303607897,0.4412927539
xgboost,0.5001,0.4686,3673,3673,0.6836373537,0.4552558654
xgboost,0.4,0.5634,2938,2938,0.7433628319,0.4623165054
xgboost,0.3001,0.698,2204,2204,0.8121597096,0.5114299036
xgboost,0.2,0.8203,1469,1469,0.8611300204,0.5875091748
xgboost,0.1001,0.9408,735,735,0.987755102,0.3818181818
probe,1.0,0.1437,73450,7345,0.4955479918,0.4003645246
probe,0.9501,0.2874,69784,6983,0.5124670412,0.4134674912
probe,0.9001,0.335,66114,6619,0.5261517984,0.4232908409
probe,0.8001,0.4072,58764,5884,0.5577564495,0.4467349833
probe,0.7001,0.4808,51422,5154,0.5911866516,0.4718516462
probe,0.6001,0.5524,44078,4419,0.6260265892,0.4934041846
probe,0.5,0.6345,36726,3683,0.6610031041,0.5157871614
probe,0.4001,0.727,29386,2944,0.6996528959,0.5319477393
probe,0.3,0.8246,22036,2211,0.7524051552,0.5666757814
probe,0.2001,0.9107,14696,1474,0.7862003266,0.5507135643
probe,0.1,0.9753,7346,740,0.8524367002,0.4933006212
xgboost+probe,1.0,0.1343,7345,7345,0.5372362151,0.4291065756
xgboost+probe,0.9499,0.2274,6977,6977,0.5553963021,0.4429233981
xgboost+probe,0.8999,0.2621,6610,6610,0.5721633888,0.4544254971
xgboost+probe,0.8,0.3171,5876,5876,0.6031313819,0.4765115678
xgboost+probe,0.6999,0.3676,5141,5141,0.6382026843,0.5000786681
xgboost+probe,0.6,0.4222,4407,4407,0.6820966644,0.524372516
xgboost+probe,0.5001,0.4749,3673,3673,0.7244759053,0.5523041283
xgboost+probe,0.4,0.5307,2938,2938,0.7804628999,0.5740806684
xgboost+probe,0.3001,0.6263,2204,2204,0.861615245,0.627104475
xgboost+probe,0.2,0.7711,1469,1469,0.9312457454,0.5342578978
xgboost+probe,0.1001,0.9262,735,735,0.9850340136,0.4470862471
