,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,541,0,0,0,0,0,0,0,0,0,0
SpermWhale,0,825,4,53,0,52,12,0,0,0,0
KillerWhale,0,103,2497,0,0,1,0,0,0,0,0
Long_FinnedPilotWhale,0,0,0,840,0,2,0,0,0,0,0
NorthernRightWhale,0,0,0,0,342,0,0,0,0,0,0
SpinnerDolphin,0,33,0,0,0,410,0,0,0,0,0
Short_Finned(Pacific)PilotWhale,0,0,0,0,0,29,529,0,0,0,0
Beluga_WhiteWhale,0,0,0,0,0,0,0,131,0,0,0
WeddellSeal,0,0,0,0,0,0,0,0,102,0,0
Walrus,0,0,10,0,0,0,0,0,0,252,0
StripedDolphin,0,0,0,0,0,0,0,0,0,0,577
