feature,gain,repeat,fold
"site_Kikvika, Norway",0.38832229375839233,0,0
collection_code_BE7A,0.14787660539150238,0,0
collection_code_BB1A,0.044544417411088943,0,0
collection_code_BD15C,0.044323746114969254,0,0
collection_code_AC2A,0.04421176016330719,0,0
collection_code_AA3A,0.0441807359457016,0,0
collection_code_CC5A,0.04412885010242462,0,0
collection_code_BD15L,0.04385728761553764,0,0
collection_code_BE3C,0.04323229193687439,0,0
collection_code_CB1A,0.041477616876363754,0,0
collection_code_BE3B,0.04142662510275841,0,0
year,0.030833346769213676,0,0
collection_code_BA2A,0.02920551598072052,0,0
site_Dominica,0.006135815754532814,0,0
"site_1 mi. off SE tip of Santa Catalina, Calif.",0.0027581837493926287,0,0
"site_Gully, SE Sable I., Canada  BD",0.0019217866938561201,0,0
"site_South of Sable Island, North Atlantic",0.0004421891353558749,0,0
"site_W of Wallilabu Bay, Bequia",0.00040617233025841415,0,0
site_Madeira,0.000182719697477296,0,0
bytes_on_disk,0.00013102299999445677,0,0
latitude,0.00010882109199883416,0,0
site_50 mi. NE Malta,9.279337973566726e-05,0,0
duration_seconds,9.004111052490771e-05,0,0
cond_water_noise,6.153177673695609e-05,0,0
cond_reverberation,2.1422147256089374e-05,0,0
longitude,1.6464800864923745e-05,0,0
native_sample_rate,1.0000407201005146e-05,0,0
"site_1-1.5 miles North of Tortola, British Virgin Islands",0.0,0,0
"site_1/2 mile South of Castle Rock Sulphur Cones, Antarctica",0.0,0,0
"site_10 mi. SE of San Pedro Light, Santa Cruz Island, California",0.0,0,0
"site_11 mi. WSW West Cay, Bequia",0.0,0,0
"site_11 miles NW of Bimini, Northern Bahamas",0.0,0,0
site_15 mi. E. Sicily,0.0,0,0
"site_15 mi. W of Gambell, St. Lawrence I., Alaska",0.0,0,0
"site_19 mi NNW of Alicudi Island, Italy",0.0,0,0
"site_2.25 mi. W of Castle Rock, McMurdo Sound",0.0,0,0
"site_2.25 mi. W of Castle Rock, McMurdo Sound, Antarctica",0.0,0,0
"site_2.25 mi. west of Castle Rock, McMurdo Sound, Antarctica",0.0,0,0
"site_3 1/2 mi. ENE of canal, Cape Cod Bay, MA",0.0,0,0
site_3 mi. WSW St. Vincent,0.0,0,0
"site_3 miles N of San Juan, Puerto Rico",0.0,0,0
"site_3-4 mi. off Roseau, Dominica",0.0,0,0
"site_3-4 mi. off Roseau, Dominica  BD",0.0,0,0
site_60 - 70 nautical mi. S of St. Lawrence I.,0.0,0,0
site_60- 70 nautical mi. S of St. Lawrence I.,0.0,0,0
site_60-70 nautical mi. S of St. Lawrence I.,0.0,0,0
"site_80 mi. south of Martha's Vineyard, Massachusetts",0.0,0,0
site_90 miles E of Gibraltar,0.0,0,0
"site_Andenes, Norway",0.0,0,0
"site_Argus Island, Bermuda",0.0,0,0
"site_Baie Ste. Catherine, Canada",0.0,0,0
"site_Baie Ste. Catherine, CanadaX",0.0,0,0
"site_Bay of Fundy, near Wolves Is.",0.0,0,0
site_Bequia,0.0,0,0
site_Bering Strait,0.0,0,0
site_Bermuda,0.0,0,0
site_BermudaBD,0.0,0,0
"site_Bimini, Bahamas",0.0,0,0
"site_Cape Cod Bay, MA",0.0,0,0
"site_Castle Harbour, Bermuda",0.0,0,0
"site_Kikvika, Norway",0.277560293674469,0,1
collection_code_BD15L,0.08379683643579483,0,1
collection_code_AA3A,0.06654150038957596,0,1
collection_code_AC2A,0.06585241109132767,0,1
collection_code_BD15C,0.06542403995990753,0,1
collection_code_CC5A,0.064017154276371,0,1
collection_code_BB1A,0.06363324820995331,0,1
collection_code_BE7A,0.05220961198210716,0,1
collection_code_BE3B,0.05048669874668121,0,1
collection_code_BE3C,0.04907698556780815,0,1
collection_code_BA2A,0.04853086918592453,0,1
longitude,0.044334571808576584,0,1
year,0.025053249672055244,0,1
collection_code_BE3D,0.017999645322561264,0,1
site_3 mi. WSW St. Vincent,0.00934951938688755,0,1
collection_code_CB1A,0.003947016783058643,0,1
"site_Gully, SE Sable I., Canada  BD",0.0038280461449176073,0,1
latitude,0.002435041358694434,0,1
"site_W of Wallilabu Bay, Bequia",0.0014533753274008632,0,1
"site_T3 Ice Island, Canada",0.0012587093515321612,0,1
"site_South of Sable Island, North Atlantic",0.001198225887492299,0,1
site_W of Browns Bank,0.0006935651763342321,0,1
site_Madeira,0.0003302481782156974,0,1
site_50 mi. NE Malta,0.0002800145302899182,0,1
