metric,mean,std,min,max,folds
accuracy,0.9574038600900064,0.028042507848081315,0.9206465833945628,0.988078541374474,4
macro_f1,0.9256997275496681,0.06827097569485498,0.8336206985911155,0.9889680906076677,4
weighted_f1,0.9536989365419576,0.035276963758030834,0.9043082394808046,0.9877518051905737,4
roc_auc_ovr_macro,0.989021809854788,0.019353315121907133,0.9600068121439413,0.9994156204686788,4
average_precision_macro,0.9539033398826203,0.07710400512283822,0.8385252554734243,0.9974204931574554,4
n_items,1836.25,730.3676585574327,1361.0,2917.0,4
precision_HumpbackWhale,1.0,0.0,1.0,1.0,4
recall_HumpbackWhale,1.0,0.0,1.0,1.0,4
f1_HumpbackWhale,1.0,0.0,1.0,1.0,4
support_HumpbackWhale,135.25,89.9754596172386,62.0,254.0,4
precision_SpermWhale,0.8355429292929293,0.1935909133072395,0.625,1.0,4
recall_SpermWhale,0.8508958323937804,0.12477592915237491,0.696078431372549,1.0,4
f1_SpermWhale,0.829439767509441,0.10907340392308598,0.7064676616915423,0.9301435406698565,4
support_SpermWhale,236.5,218.00688062536008,102.0,559.0,4
precision_KillerWhale,0.9893715800196522,0.01821143163584048,0.9622641509433962,1.0,4
recall_KillerWhale,0.798708163387716,0.4022638391909299,0.1953125,1.0,4
f1_KillerWhale,0.8262332868483145,0.3330660771542883,0.32679738562091504,1.0,4
support_KillerWhale,650.25,959.3248928282848,102.0,2084.0,4
precision_Long_FinnedPilotWhale,0.946670653907496,0.05467429021510757,0.875,1.0,4
recall_Long_FinnedPilotWhale,0.997716894977169,0.0045662100456621,0.9908675799086758,1.0,4
f1_Long_FinnedPilotWhale,0.970990387286328,0.03098644107355622,0.9293361884368309,1.0,4
support_Long_FinnedPilotWhale,210.5,31.24633311819698,172.0,247.0,4
precision_NorthernRightWhale,1.0,0.0,1.0,1.0,4
recall_NorthernRightWhale,1.0,0.0,1.0,1.0,4
f1_NorthernRightWhale,1.0,0.0,1.0,1.0,4
support_NorthernRightWhale,85.5,21.97726097583591,60.0,113.0,4
precision_SpinnerDolphin,0.6563725490196078,0.447687251809258,0.058823529411764705,1.0,4
recall_SpinnerDolphin,0.7611111111111111,0.46308146631499353,0.06666666666666667,1.0,4
f1_SpinnerDolphin,0.6936670750657423,0.43976442900961904,0.0625,1.0,4
support_SpinnerDolphin,110.75,84.63007739568717,30.0,225.0,4
precision_Short_Finned(Pacific)PilotWhale,0.9879518072289156,0.024096385542168697,0.9518072289156626,1.0,4
recall_Short_Finned(Pacific)PilotWhale,0.8771186440677966,0.24576271186440682,0.5084745762711864,1.0,4
f1_Short_Finned(Pacific)PilotWhale,0.9123664863365237,0.15923211070601145,0.6741573033707865,1.0,4
support_Short_Finned(Pacific)PilotWhale,139.5,76.8092876328551,59.0,237.0,4
precision_Beluga_WhiteWhale,1.0,0.0,1.0,1.0,4
recall_Beluga_WhiteWhale,1.0,0.0,1.0,1.0,4
f1_Beluga_WhiteWhale,1.0,0.0,1.0,1.0,4
support_Beluga_WhiteWhale,32.75,21.51549828999242,21.0,65.0,4
precision_WeddellSeal,1.0,0.0,1.0,1.0,4
recall_WeddellSeal,1.0,0.0,1.0,1.0,4
f1_WeddellSeal,1.0,0.0,1.0,1.0,4
support_WeddellSeal,25.5,16.441816606851365,16.0,50.0,4
precision_Walrus,1.0,0.0,1.0,1.0,4
recall_Walrus,0.9166666666666666,0.16666666666666669,0.6666666666666666,1.0,4
f1_Walrus,0.95,0.09999999999999998,0.8,1.0,4
support_Walrus,65.5,56.46532859492924,30.0,149.0,4
precision_StripedDolphin,1.0,0.0,1.0,1.0,4
recall_StripedDolphin,1.0,0.0,1.0,1.0,4
f1_StripedDolphin,1.0,0.0,1.0,1.0,4
support_StripedDolphin,144.25,72.7203547846131,93.0,252.0,4
