,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,323,0,35,51,82,0,40,10,0,0,0
SpermWhale,0,433,7,74,0,86,189,0,0,6,151
KillerWhale,0,100,1903,0,51,0,10,161,227,149,0
Long_FinnedPilotWhale,14,21,0,514,0,97,27,0,0,16,153
NorthernRightWhale,6,0,20,2,313,0,0,0,0,1,0
SpinnerDolphin,0,22,0,0,2,401,8,0,0,0,10
Short_Finned(Pacific)PilotWhale,0,175,8,134,2,18,200,3,0,18,0
Beluga_WhiteWhale,0,0,0,3,1,0,4,123,0,0,0
WeddellSeal,0,0,0,0,1,0,0,0,101,0,0
Walrus,149,24,0,0,6,0,12,3,0,68,0
StripedDolphin,0,34,0,196,0,2,43,0,0,0,302
