metric,mean,std,min,max,folds
accuracy,0.648477936858396,0.16793391483864617,0.52224253503961,0.8948106591865358,4
macro_f1,0.5728977923565106,0.22392298289814475,0.287636514257251,0.833848876248511,4
weighted_f1,0.6420317276558809,0.1616957201302845,0.5204836971042238,0.8666682398562714,4
roc_auc_ovr_macro,0.8809452670516086,0.0724856080872848,0.8128979141640236,0.9700995238464926,4
average_precision_macro,0.6886796163621371,0.10840541516832401,0.5870478795158554,0.8416826532401747,4
n_items,1836.25,730.3676585574327,1361.0,2917.0,4
precision_HumpbackWhale,0.6166305669554644,0.4340431574273953,0.2222222222222222,1.0,4
recall_HumpbackWhale,0.4773887869960801,0.4790551030481223,0.06451612903225806,1.0,4
f1_HumpbackWhale,0.4058307577838828,0.4110190139040029,0.1,0.9921875,4
support_HumpbackWhale,135.25,89.9754596172386,62.0,254.0,4
precision_SpermWhale,0.569886035888244,0.4811069485987346,0.04145077720207254,1.0,4
recall_SpermWhale,0.45746890288613956,0.2833515883583481,0.044444444444444446,0.6862745098039216,4
f1_SpermWhale,0.4627594509353204,0.3147076207831256,0.04289544235924933,0.7272727272727273,4
support_SpermWhale,236.5,218.00688062536008,102.0,559.0,4
precision_KillerWhale,0.9306422948337278,0.08112947023084087,0.8169934640522876,1.0,4
recall_KillerWhale,0.8897881354437168,0.15066975218300413,0.6708253358925144,1.0,4
f1_KillerWhale,0.9013668823779584,0.08476878559190104,0.7949957350014216,1.0,4
support_KillerWhale,650.25,959.3248928282848,102.0,2084.0,4
precision_Long_FinnedPilotWhale,0.5900367369767023,0.31037654363945655,0.24651162790697675,0.9672131147540983,4
recall_Long_FinnedPilotWhale,0.5776474336150517,0.3422399931064359,0.25980392156862747,1.0,4
f1_Long_FinnedPilotWhale,0.5327183212674611,0.2314410231107285,0.2529832935560859,0.8178807947019867,4
support_Long_FinnedPilotWhale,210.5,31.24633311819698,172.0,247.0,4
precision_NorthernRightWhale,0.7526433967233541,0.24303535494797113,0.41450777202072536,0.990909090909091,4
recall_NorthernRightWhale,0.9168526896688873,0.11135907367319876,0.7528089887640449,1.0,4
f1_NorthernRightWhale,0.8032735693409382,0.16875768613860265,0.5860805860805861,0.9775784753363229,4
support_NorthernRightWhale,85.5,21.97726097583591,60.0,113.0,4
precision_SpinnerDolphin,0.6924211153916713,0.3657329744172332,0.25,1.0,4
recall_SpinnerDolphin,0.7761111111111112,0.3849146129458575,0.2,1.0,4
f1_SpinnerDolphin,0.7196547402242948,0.36188970650042673,0.2222222222222222,0.9927007299270073,4
support_SpinnerDolphin,110.75,84.63007739568717,30.0,225.0,4
precision_Short_Finned(Pacific)PilotWhale,0.2757980741865098,0.38247594220374664,0.0,0.8110236220472441,4
recall_Short_Finned(Pacific)PilotWhale,0.35232067510548526,0.47293160056451317,0.0,1.0,4
f1_Short_Finned(Pacific)PilotWhale,0.3091503018262398,0.4227463477189057,0.0,0.8956521739130435,4
support_Short_Finned(Pacific)PilotWhale,139.5,76.8092876328551,59.0,237.0,4
precision_Beluga_WhiteWhale,0.7050795880149813,0.42204790288339245,0.07865168539325842,1.0,4
recall_Beluga_WhiteWhale,0.9053030303030303,0.1605274250031598,0.6666666666666666,1.0,4
f1_Beluga_WhiteWhale,0.7455796061050595,0.40502468025887345,0.1407035175879397,1.0,4
support_Beluga_WhiteWhale,32.75,21.51549828999242,21.0,65.0,4
precision_WeddellSeal,0.7271929824561403,0.4465972024650572,0.06666666666666667,1.0,4
recall_WeddellSeal,0.9875,0.025000000000000022,0.95,1.0,4
f1_WeddellSeal,0.7534111721611721,0.4204779823453802,0.125,1.0,4
support_WeddellSeal,25.5,16.441816606851365,16.0,50.0,4
precision_Walrus,0.44599429608504015,0.45198275761634304,0.0,0.8421052631578947,4
recall_Walrus,0.4966605392156863,0.41665483661358615,0.0,0.90625,4
f1_Walrus,0.38005984790944114,0.3739704175133282,0.0,0.8656716417910447,4
support_Walrus,65.5,56.46532859492924,30.0,149.0,4
precision_StripedDolphin,0.23894994766390712,0.33652474743208594,0.0,0.7138643067846607,4
recall_StripedDolphin,0.3740079365079365,0.46535709379115364,0.0,0.9603174603174603,4
f1_StripedDolphin,0.2880710659898477,0.3872346324225525,0.0,0.8189509306260575,4
support_StripedDolphin,144.25,72.7203547846131,93.0,252.0,4
