,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,1010,250,400,30,1600,20,100,120,250,1570,60
SpermWhale,250,3360,670,440,80,640,1120,570,720,210,1400
KillerWhale,2054,424,17480,726,510,170,576,998,1296,1576,200
Long_FinnedPilotWhale,90,766,110,1978,300,710,780,426,2740,140,380
NorthernRightWhale,510,80,0,80,2240,10,10,120,260,90,20
SpinnerDolphin,0,280,30,110,60,3270,420,170,40,30,20
Short_Finned(Pacific)PilotWhale,90,1110,870,440,70,780,1690,290,90,150,0
Beluga_WhiteWhale,60,110,10,34,46,130,60,720,90,50,0
WeddellSeal,50,40,10,130,0,0,10,10,660,100,10
Walrus,1360,0,10,10,60,20,20,90,40,940,70
StripedDolphin,80,360,50,530,250,200,40,10,1100,100,3050
