repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale,precision_Long_FinnedPilotWhale,recall_Long_FinnedPilotWhale,f1_Long_FinnedPilotWhale,support_Long_FinnedPilotWhale,precision_NorthernRightWhale,recall_NorthernRightWhale,f1_NorthernRightWhale,support_NorthernRightWhale,precision_SpinnerDolphin,recall_SpinnerDolphin,f1_SpinnerDolphin,support_SpinnerDolphin,precision_Short_Finned(Pacific)PilotWhale,recall_Short_Finned(Pacific)PilotWhale,f1_Short_Finned(Pacific)PilotWhale,support_Short_Finned(Pacific)PilotWhale,precision_Beluga_WhiteWhale,recall_Beluga_WhiteWhale,f1_Beluga_WhiteWhale,support_Beluga_WhiteWhale,precision_WeddellSeal,recall_WeddellSeal,f1_WeddellSeal,support_WeddellSeal,precision_Walrus,recall_Walrus,f1_Walrus,support_Walrus,precision_StripedDolphin,recall_StripedDolphin,f1_StripedDolphin,support_StripedDolphin
0,0,0.4722388955582233,0.24228109503890138,0.5303478811186148,0.7888952183885017,0.2929222181178311,6664.0,0.1594488188976378,0.11456859971711457,0.13333333333333333,707.0,0.7628336755646817,0.6523266022827041,0.7032654992901088,1139.0,0.9877049180327869,0.5488186734984344,0.7055809698078682,3513.0,0.09621993127147767,0.062360801781737196,0.07567567567567568,449.0,0.2122905027932961,0.7972027972027972,0.3352941176470588,143.0,0.07792207792207792,0.34285714285714286,0.12698412698412698,35.0,0.011111111111111112,0.019801980198019802,0.014234875444839857,101.0,0.05513784461152882,0.3142857142857143,0.09381663113006397,70.0,0.14854368932038836,0.864406779661017,0.2535211267605634,177.0,0.1336116910229645,0.6808510638297872,0.22338568935427575,94.0,0.0,0.0,0.0,236.0
0,1,0.353001190273763,0.2835845669947653,0.3762298452510522,0.8096346314931914,0.36084060135041773,5881.0,0.17173913043478262,0.10167310167310167,0.12772837510105092,777.0,0.8978583196046128,0.3384042222912139,0.4915445321307779,3221.0,0.2319327731092437,0.8903225806451613,0.368,155.0,0.3629032258064516,0.3,0.3284671532846715,300.0,0.18507462686567164,0.5961538461538461,0.2824601366742597,104.0,0.3405114401076716,1.0,0.5080321285140562,253.0,0.23224568138195778,0.31675392670157065,0.26799557032115173,382.0,0.16623376623376623,0.5333333333333333,0.25346534653465347,120.0,0.125,0.4732824427480916,0.19776714513556617,131.0,0.0,0.0,0.0,241.0,0.19532554257095158,0.5939086294416244,0.29396984924623115,197.0
0,2,0.5750211924272394,0.5090575851332975,0.5617882458086522,0.902912183513014,0.5842326266312594,3539.0,0.7389937106918238,0.673352435530086,0.704647676161919,349.0,0.6710963455149501,0.38257575757575757,0.4873341375150784,528.0,0.7506925207756233,0.9003322259136213,0.8187311178247734,602.0,0.4824561403508772,0.11387163561076605,0.18425460636515914,483.0,0.2674897119341564,0.5371900826446281,0.35714285714285715,121.0,0.7976539589442815,0.6522781774580336,0.7176781002638523,417.0,0.21003134796238246,0.3101851851851852,0.2504672897196262,216.0,0.13690476190476192,0.575,0.22115384615384615,40.0,0.321285140562249,0.3827751196172249,0.34934497816593885,209.0,0.7299270072992701,0.9216589861751152,0.814663951120163,217.0,0.6,0.8235294117647058,0.6942148760330579,357.0
0,3,0.5533207626230882,0.44738501490582666,0.5533913224083726,0.8976893290380837,0.5375220245071972,4773.0,0.545816733067729,0.1652593486127865,0.2537037037037037,829.0,0.8568950563746748,0.7706708268330733,0.8114989733059548,1282.0,0.8341013824884793,0.7573221757322176,0.793859649122807,717.0,0.37333333333333335,0.392,0.3824390243902439,500.0,0.5268456375838926,0.7104072398190046,0.605009633911368,221.0,0.7078189300411523,0.7713004484304933,0.7381974248927039,223.0,0.10050251256281408,0.18518518518518517,0.13029315960912052,108.0,0.23469387755102042,0.8214285714285714,0.36507936507936506,28.0,0.393026941362916,0.48249027237354086,0.4331877729257642,514.0,0.25671140939597314,0.7149532710280374,0.37777777777777777,214.0,0.03125,0.029197080291970802,0.03018867924528302,137.0
1,0,0.47208883553421366,0.24250877660261774,0.5300410219842163,0.7883321994046326,0.2938905124036154,6664.0,0.1594488188976378,0.11456859971711457,0.13333333333333333,707.0,0.7563451776649747,0.6540825285338016,0.7015065913370998,1139.0,0.9886947584789312,0.5476800455451182,0.7048910056786958,3513.0,0.10238907849829351,0.066815144766147,0.08086253369272237,449.0,0.21082089552238806,0.7902097902097902,0.3328424153166421,143.0,0.07643312101910828,0.34285714285714286,0.125,35.0,0.01694915254237288,0.0297029702970297,0.02158273381294964,101.0,0.0532994923857868,0.3,0.09051724137931035,70.0,0.14811229428848016,0.864406779661017,0.2528925619834711,177.0,0.13417190775681342,0.6808510638297872,0.22416812609457093,94.0,0.0,0.0,0.0,236.0
1,1,0.353001190273763,0.2835845669947653,0.3762298452510522,0.8096346314931914,0.36084060135041773,5881.0,0.17173913043478262,0.10167310167310167,0.12772837510105092,777.0,0.8978583196046128,0.3384042222912139,0.4915445321307779,3221.0,0.2319327731092437,0.8903225806451613,0.368,155.0,0.3629032258064516,0.3,0.3284671532846715,300.0,0.18507462686567164,0.5961538461538461,0.2824601366742597,104.0,0.3405114401076716,1.0,0.5080321285140562,253.0,0.23224568138195778,0.31675392670157065,0.26799557032115173,382.0,0.16623376623376623,0.5333333333333333,0.25346534653465347,120.0,0.125,0.4732824427480916,0.19776714513556617,131.0,0.0,0.0,0.0,241.0,0.19532554257095158,0.5939086294416244,0.29396984924623115,197.0
1,2,0.5750211924272394,0.5090575851332975,0.5617882458086522,0.902912183513014,0.5842326266312594,3539.0,0.7389937106918238,0.673352435530086,0.704647676161919,349.0,0.6710963455149501,0.38257575757575757,0.4873341375150784,528.0,0.7506925207756233,0.9003322259136213,0.8187311178247734,602.0,0.4824561403508772,0.11387163561076605,0.18425460636515914,483.0,0.2674897119341564,0.5371900826446281,0.35714285714285715,121.0,0.7976539589442815,0.6522781774580336,0.7176781002638523,417.0,0.21003134796238246,0.3101851851851852,0.2504672897196262,216.0,0.13690476190476192,0.575,0.22115384615384615,40.0,0.321285140562249,0.3827751196172249,0.34934497816593885,209.0,0.7299270072992701,0.9216589861751152,0.814663951120163,217.0,0.6,0.8235294117647058,0.6942148760330579,357.0
1,3,0.5533207626230882,0.44738501490582666,0.5533913224083726,0.8975132220147952,0.5311296225791914,4773.0,0.545816733067729,0.1652593486127865,0.2537037037037037,829.0,0.8568950563746748,0.7706708268330733,0.8114989733059548,1282.0,0.8341013824884793,0.7573221757322176,0.793859649122807,717.0,0.37333333333333335,0.392,0.3824390243902439,500.0,0.5268456375838926,0.7104072398190046,0.605009633911368,221.0,0.7078189300411523,0.7713004484304933,0.7381974248927039,223.0,0.10050251256281408,0.18518518518518517,0.13029315960912052,108.0,0.23469387755102042,0.8214285714285714,0.36507936507936506,28.0,0.393026941362916,0.48249027237354086,0.4331877729257642,514.0,0.25671140939597314,0.7149532710280374,0.37777777777777777,214.0,0.03125,0.029197080291970802,0.03018867924528302,137.0
2,0,0.4722388955582233,0.24228109503890138,0.5303478811186148,0.7888952183885017,0.2929222181178311,6664.0,0.1594488188976378,0.11456859971711457,0.13333333333333333,707.0,0.7628336755646817,0.6523266022827041,0.7032654992901088,1139.0,0.9877049180327869,0.5488186734984344,0.7055809698078682,3513.0,0.09621993127147767,0.062360801781737196,0.07567567567567568,449.0,0.2122905027932961,0.7972027972027972,0.3352941176470588,143.0,0.07792207792207792,0.34285714285714286,0.12698412698412698,35.0,0.011111111111111112,0.019801980198019802,0.014234875444839857,101.0,0.05513784461152882,0.3142857142857143,0.09381663113006397,70.0,0.14854368932038836,0.864406779661017,0.2535211267605634,177.0,0.1336116910229645,0.6808510638297872,0.22338568935427575,94.0,0.0,0.0,0.0,236.0
2,1,0.353001190273763,0.2835845669947653,0.3762298452510522,0.8096346314931914,0.36084060135041773,5881.0,0.17173913043478262,0.10167310167310167,0.12772837510105092,777.0,0.8978583196046128,0.3384042222912139,0.4915445321307779,3221.0,0.2319327731092437,0.8903225806451613,0.368,155.0,0.3629032258064516,0.3,0.3284671532846715,300.0,0.18507462686567164,0.5961538461538461,0.2824601366742597,104.0,0.3405114401076716,1.0,0.5080321285140562,253.0,0.23224568138195778,0.31675392670157065,0.26799557032115173,382.0,0.16623376623376623,0.5333333333333333,0.25346534653465347,120.0,0.125,0.4732824427480916,0.19776714513556617,131.0,0.0,0.0,0.0,241.0,0.19532554257095158,0.5939086294416244,0.29396984924623115,197.0
