,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,63,26,26,6,199,0,50,7,24,138,2
SpermWhale,20,475,37,70,3,33,80,26,79,33,90
KillerWhale,181,55,1901,67,40,10,37,86,94,115,15
Long_FinnedPilotWhale,7,75,2,288,8,51,76,32,271,5,27
NorthernRightWhale,59,6,0,3,243,2,0,2,20,4,3
SpinnerDolphin,0,52,0,14,3,325,29,8,7,2,3
Short_Finned(Pacific)PilotWhale,3,239,12,46,5,91,121,23,8,10,0
Beluga_WhiteWhale,5,11,1,5,2,4,6,79,6,12,0
WeddellSeal,5,3,2,9,1,0,1,0,74,7,0
Walrus,132,0,1,0,6,13,2,8,4,94,2
StripedDolphin,4,43,5,69,33,13,1,6,111,9,283
