metric,mean,std,min,max,folds
accuracy,0.5281922864,0.0565943898,0.4686166971,0.5831333562,4
macro_f1,0.4046791101,0.1061376438,0.2530813554,0.5002857023,4
weighted_f1,0.537698069,0.0804294872,0.4728133402,0.6449504365,4
roc_auc_ovr_macro,0.8820322944,0.0325569197,0.8432967244,0.9163833254,4
average_precision_macro,0.5089554393,0.1091241739,0.3478221452,0.5805728657,4
n_items,1836.25,730.3676585574,1361.0,2917.0,4
precision_HumpbackWhale,0.2624049834,0.2471732863,0.0173410405,0.5333333333,4
recall_HumpbackWhale,0.1554430723,0.1586281182,0.0434782609,0.3870967742,4
f1_HumpbackWhale,0.1603505664,0.1626118158,0.0247933884,0.3966942149,4
support_HumpbackWhale,135.25,89.9754596172,62.0,254.0,4
precision_SpermWhale,0.4590295089,0.2484447846,0.3278688525,0.8316151203,4
recall_SpermWhale,0.570962407,0.1207561407,0.4329159213,0.7238095238,4
f1_SpermWhale,0.4667207997,0.0710381213,0.4172043011,0.5694117647,4
support_SpermWhale,236.5,218.0068806254,102.0,559.0,4
precision_KillerWhale,0.8757525645,0.1491973745,0.6569343066,0.9918144611,4
recall_KillerWhale,0.840161592,0.1146197441,0.697696737,0.96875,4
f1_KillerWhale,0.8461654424,0.0801954851,0.7531380753,0.9429657795,4
support_KillerWhale,650.25,959.3248928283,102.0,2084.0,4
precision_Long_FinnedPilotWhale,0.5261445664,0.1511667231,0.3076923077,0.6315789474,4
recall_Long_FinnedPilotWhale,0.325071028,0.2094944861,0.0697674419,0.4979757085,4
f1_Long_FinnedPilotWhale,0.3661488994,0.2043937569,0.1256544503,0.5519125683,4
support_Long_FinnedPilotWhale,210.5,31.2463331182,172.0,247.0,4
precision_NorthernRightWhale,0.4573782961,0.1664523107,0.3315508021,0.7,4
recall_NorthernRightWhale,0.7062665722,0.1243502111,0.5280898876,0.8053097345,4
f1_NorthernRightWhale,0.5435972104,0.1372865175,0.4644194757,0.7489711934,4
support_NorthernRightWhale,85.5,21.9772609758,60.0,113.0,4
precision_SpinnerDolphin,0.573584417,0.3276674385,0.2857142857,0.9042553191,4
recall_SpinnerDolphin,0.6701388889,0.304977357,0.2666666667,1.0,4
f1_SpinnerDolphin,0.5708341807,0.2495464586,0.275862069,0.8232445521,4
support_SpinnerDolphin,110.75,84.6300773957,30.0,225.0,4
precision_Short_Finned(Pacific)PilotWhale,0.186342207,0.261728004,0.0,0.5737704918,4
recall_Short_Finned(Pacific)PilotWhale,0.1410458709,0.2033517324,0.0,0.4430379747,4
f1_Short_Finned(Pacific)PilotWhale,0.1603372918,0.2289478161,0.0,0.5,4
support_Short_Finned(Pacific)PilotWhale,139.5,76.8092876329,59.0,237.0,4
precision_Beluga_WhiteWhale,0.3998977635,0.3017505526,0.0763358779,0.7727272727,4
recall_Beluga_WhiteWhale,0.5824635509,0.1563760048,0.4347826087,0.7727272727,4
f1_Beluga_WhiteWhale,0.4467217163,0.2791878476,0.1315789474,0.7727272727,4
support_Beluga_WhiteWhale,32.75,21.51549829,21.0,65.0,4
precision_WeddellSeal,0.1222254802,0.0589083839,0.0474683544,0.1818181818,4
recall_WeddellSeal,0.760625,0.1781662964,0.55,0.9375,4
f1_WeddellSeal,0.2040957187,0.0891125779,0.0903614458,0.2869198312,4
support_WeddellSeal,25.5,16.4418166069,16.0,50.0,4
precision_Walrus,0.2776718855,0.3747202397,0.0,0.8305084746,4
recall_Walrus,0.6021752451,0.4193019601,0.0,0.9607843137,4
f1_Walrus,0.3400631382,0.3842359614,0.0,0.8909090909,4
support_Walrus,65.5,56.4653285949,30.0,149.0,4
precision_StripedDolphin,0.347216186,0.3891615374,0.0,0.8371212121,4
recall_StripedDolphin,0.3580949181,0.4293113632,0.0,0.876984127,4
f1_StripedDolphin,0.3464352468,0.4141636109,0.0,0.8565891473,4
support_StripedDolphin,144.25,72.7203547846,93.0,252.0,4
