,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,46,37,12,24,158,1,211,22,15,10,5
SpermWhale,19,520,31,115,12,39,26,22,119,25,18
KillerWhale,140,106,1827,118,16,11,22,55,192,82,32
Long_FinnedPilotWhale,14,74,68,364,5,29,63,31,180,0,14
NorthernRightWhale,71,6,0,2,235,4,0,1,16,5,2
SpinnerDolphin,1,106,0,14,5,265,27,15,10,0,0
Short_Finned(Pacific)PilotWhale,6,246,13,55,2,94,15,24,103,0,0
Beluga_WhiteWhale,8,13,0,12,1,2,4,64,7,19,1
WeddellSeal,5,2,1,9,1,0,0,0,83,1,0
Walrus,23,58,6,0,6,14,6,60,9,80,0
StripedDolphin,7,62,87,124,30,0,0,28,112,4,123
