feature,gain,repeat,fold
mfcc_15_p10,0.05486033856868744,0,0
zero_crossing_rate_mean,0.05200030282139778,0,0
bandwidth_mean,0.03417205810546875,0,0
contrast_0_p90,0.03252241760492325,0,0
mfcc_0_std,0.022300202399492264,0,0
spectral_entropy_p90,0.01991298608481884,0,0
rolloff85_std,0.019766760990023613,0,0
bandwidth_p90,0.017092490568757057,0,0
spectral_entropy_mean,0.016856946051120758,0,0
contrast_0_mean,0.015046032145619392,0,0
mfcc_1_mean,0.014907054603099823,0,0
zero_crossing_rate_p90,0.014063692651689053,0,0
flatness_p10,0.013920247554779053,0,0
mfcc_1_p10,0.013904372230172157,0,0
mfcc_11_p10,0.01386625599116087,0,0
bandwidth_p10,0.013641374185681343,0,0
contrast_4_mean,0.013611814938485622,0,0
mfcc_3_p10,0.013521515764296055,0,0
contrast_3_p10,0.012770143337547779,0,0
mfcc_delta_0_std,0.012512573972344398,0,0
zero_crossing_rate_p10,0.012368409894406796,0,0
contrast_5_p10,0.012347254902124405,0,0
mfcc_1_p90,0.012120642699301243,0,0
mfcc_delta_0_p90,0.01160823367536068,0,0
rms_p90,0.01152615062892437,0,0
mfcc_15_mean,0.010793395340442657,0,0
mfcc_5_p90,0.010598951019346714,0,0
dominant_frequency,0.01033705472946167,0,0
mfcc_11_p90,0.009700910188257694,0,0
rms_p10,0.009271500632166862,0,0
mfcc_4_p90,0.00903291068971157,0,0
contrast_5_p90,0.008759025484323502,0,0
mfcc_2_p10,0.00866108387708664,0,0
centroid_mean,0.008184040896594524,0,0
contrast_4_p10,0.00800308957695961,0,0
contrast_5_mean,0.007862667553126812,0,0
contrast_4_p90,0.007315978407859802,0,0
contrast_3_mean,0.006964385509490967,0,0
mfcc_2_mean,0.006869349628686905,0,0
flatness_p90,0.006704927887767553,0,0
spectral_entropy_p10,0.006373911630362272,0,0
mfcc_delta_1_p90,0.006333219353109598,0,0
mfcc_delta_0_p10,0.006312964949756861,0,0
mfcc_16_std,0.006255717016756535,0,0
flatness_mean,0.005913115572184324,0,0
centroid_p90,0.005750617478042841,0,0
mfcc_17_std,0.005725162569433451,0,0
contrast_0_p10,0.005711049772799015,0,0
