metric,mean,std,min,max,folds
accuracy,0.47603161366754465,0.08109434169422615,0.3772090188909202,0.5749057250599932,4
macro_f1,0.35519530417213646,0.09508260995523468,0.25485585699120733,0.46059494313336896,4
weighted_f1,0.4802281386733224,0.10794509735412416,0.35721300290559505,0.6172312429635303,4
roc_auc_ovr_macro,0.8412718077102115,0.007487981018462921,0.8329801603265877,0.8511607134768375,4
average_precision_macro,0.4418465060029826,0.08321607886862516,0.3425707732516791,0.5215939782430535,4
n_items,1836.25,730.3676585574327,1361.0,2917.0,4
precision_HumpbackWhale,0.08444874902075988,0.07728234624337807,0.0,0.18229166666666666,4
recall_HumpbackWhale,0.09758109468838781,0.09434503270782384,0.0,0.22435897435897437,4
f1_HumpbackWhale,0.09035555751535998,0.08476781480763398,0.0,0.20114942528735633,4
support_HumpbackWhale,135.25,89.9754596172386,62.0,254.0,4
precision_SpermWhale,0.41005254838493377,0.23571546086027242,0.2549019607843137,0.756838905775076,4
recall_SpermWhale,0.6309790851343519,0.13765578831396166,0.44543828264758495,0.7428571428571429,4
f1_SpermWhale,0.44865019386604355,0.08950046676951369,0.37349397590361444,0.5608108108108109,4
support_SpermWhale,236.5,218.00688062536008,102.0,559.0,4
precision_KillerWhale,0.8605005369633993,0.17883724147517358,0.6,1.0,4
recall_KillerWhale,0.7733196160176069,0.13743483025752815,0.6764705882352942,0.96875,4
f1_KillerWhale,0.8088154616340315,0.13799764423627556,0.6359447004608295,0.9575289575289575,4
support_KillerWhale,650.25,959.3248928282848,102.0,2084.0,4
precision_Long_FinnedPilotWhale,0.4295462466901747,0.11214841354138821,0.2777777777777778,0.5484949832775919,4
recall_Long_FinnedPilotWhale,0.40859796883479516,0.27355660449975,0.0755813953488372,0.6639676113360324,4
f1_Long_FinnedPilotWhale,0.3816140310069481,0.21364513759062198,0.12935323383084577,0.6007326007326007,4
support_Long_FinnedPilotWhale,210.5,31.24633311819698,172.0,247.0,4
precision_NorthernRightWhale,0.5330602113065604,0.2918136096422375,0.34782608695652173,0.9666666666666667,4
recall_NorthernRightWhale,0.6917054041960823,0.1497357828716606,0.47191011235955055,0.8,4
f1_NorthernRightWhale,0.5774162057319728,0.1940984005063655,0.417910447761194,0.8571428571428571,4
support_NorthernRightWhale,85.5,21.97726097583591,60.0,113.0,4
precision_SpinnerDolphin,0.5573793113413383,0.3801576643291215,0.17647058823529413,0.9607843137254902,4
recall_SpinnerDolphin,0.53625,0.3829669142463973,0.1,1.0,4
f1_SpinnerDolphin,0.4717382139941267,0.267792234325641,0.1276595744680851,0.7777777777777778,4
support_SpinnerDolphin,110.75,84.63007739568717,30.0,225.0,4
precision_Short_Finned(Pacific)PilotWhale,0.05657476139978791,0.06347752626565903,0.0,0.12195121951219512,4
recall_Short_Finned(Pacific)PilotWhale,0.02236986418897141,0.0278867391669524,0.0,0.06289308176100629,4
f1_Short_Finned(Pacific)PilotWhale,0.029468606074804678,0.037786749629143246,0.0,0.08298755186721991,4
support_Short_Finned(Pacific)PilotWhale,139.5,76.8092876328551,59.0,237.0,4
precision_Beluga_WhiteWhale,0.2396546635182999,0.1576616850052478,0.08264462809917356,0.45454545454545453,4
recall_Beluga_WhiteWhale,0.4696785098959012,0.17791283620022375,0.22727272727272727,0.6521739130434783,4
f1_Beluga_WhiteWhale,0.3020666683024979,0.17500455763883413,0.14084507042253522,0.5357142857142857,4
support_Beluga_WhiteWhale,32.75,21.51549828999242,21.0,65.0,4
precision_WeddellSeal,0.11146948313399091,0.10904583720060526,0.05405405405405406,0.275,4
recall_WeddellSeal,0.7949999999999999,0.16335033925074452,0.55,0.88,4
f1_WeddellSeal,0.1840380464605817,0.15673748362538023,0.10181818181818182,0.41904761904761906,4
support_WeddellSeal,25.5,16.441816606851365,16.0,50.0,4
precision_Walrus,0.45253296482722416,0.44817068625348166,0.0,0.9574468085106383,4
recall_Walrus,0.5028799019607844,0.367201711474555,0.0,0.8823529411764706,4
f1_Walrus,0.4472642505277973,0.4045462448887009,0.0,0.9183673469387755,4
support_Walrus,65.5,56.46532859492924,30.0,149.0,4
precision_StripedDolphin,0.2511737089201878,0.3990472242847054,0.0,0.8380281690140845,4
recall_StripedDolphin,0.12698412698412698,0.23077367219918588,0.0,0.4722222222222222,4
f1_StripedDolphin,0.16572111077933713,0.29353923579170366,0.0,0.6040609137055838,4
support_StripedDolphin,144.25,72.7203547846131,93.0,252.0,4
