model,coverage,threshold,predictions,clips,accuracy,macro_f1
xgboost,1.0,0.0923,7345,7345,0.2137508509,0.1597481374
xgboost,0.9499,0.1052,6977,6977,0.2184319908,0.1624807376
xgboost,0.8999,0.1114,6610,6610,0.2204236006,0.1618023065
xgboost,0.8,0.1212,5876,5876,0.2132402995,0.1634733786
xgboost,0.6999,0.1332,5141,5141,0.2116319782,0.1636121273
xgboost,0.6,0.1425,4407,4407,0.179033356,0.1536208438
xgboost,0.5001,0.1577,3673,3673,0.1704328886,0.1540199538
xgboost,0.4,0.1772,2938,2938,0.1657590197,0.1517662011
xgboost,0.3001,0.204,2204,2204,0.193738657,0.1809086266
xgboost,0.2,0.2602,1469,1469,0.1980939415,0.179674381
xgboost,0.1001,0.3637,735,735,0.1197278912,0.1470415508
probe,1.0,0.1259,73450,7345,0.1882641253,0.201837574
probe,0.95,0.2261,69780,7138,0.1920034394,0.2046883964
probe,0.9,0.2544,66107,6871,0.1983602342,0.208896963
probe,0.8,0.3086,58761,6199,0.2102585048,0.2192677758
probe,0.7001,0.3592,51421,5478,0.2225744346,0.2304567007
probe,0.6001,0.4102,44079,4743,0.2336713628,0.2427900593
probe,0.5001,0.4619,36734,4002,0.2467741057,0.2573158254
probe,0.4001,0.524,29386,3249,0.2599877493,0.2715139943
probe,0.3001,0.6059,22041,2476,0.2692709042,0.2871003079
probe,0.2001,0.7149,14699,1676,0.2680454453,0.3030933468
probe,0.1001,0.8696,7350,815,0.2428571429,0.2914358214
xgboost+probe,1.0,0.108,7345,7345,0.1820285909,0.2018534956
xgboost+probe,0.9499,0.1565,6977,6977,0.1854665329,0.2044796902
xgboost+probe,0.8999,0.1695,6610,6610,0.1915279879,0.2084424891
xgboost+probe,0.8,0.1996,5876,5876,0.2016678012,0.2153982896
xgboost+probe,0.6999,0.2287,5141,5141,0.2153277572,0.2293320143
xgboost+probe,0.6,0.2587,4407,4407,0.2262309961,0.2421776145
xgboost+probe,0.5001,0.2901,3673,3673,0.2374081133,0.2545171376
xgboost+probe,0.4,0.3225,2938,2938,0.2494894486,0.2683558286
xgboost+probe,0.3001,0.366,2204,2204,0.2627041742,0.2829838928
xgboost+probe,0.2,0.4225,1469,1469,0.2688904016,0.2963666772
xgboost+probe,0.1001,0.518,735,735,0.2326530612,0.2659828395
