,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,541,0,0,0,0,0,0,0,0,0,0
SpermWhale,0,869,0,56,0,0,12,0,0,0,9
KillerWhale,0,333,2267,0,0,0,0,0,0,1,0
Long_FinnedPilotWhale,0,0,2,840,0,0,0,0,0,0,0
NorthernRightWhale,0,0,0,0,342,0,0,0,0,0,0
SpinnerDolphin,0,104,0,0,0,94,245,0,0,0,0
Short_Finned(Pacific)PilotWhale,0,0,27,0,0,0,531,0,0,0,0
Beluga_WhiteWhale,0,0,0,0,0,0,0,131,0,0,0
WeddellSeal,0,0,0,0,0,0,0,0,102,0,0
Walrus,0,0,10,0,0,0,0,0,0,252,0
StripedDolphin,0,0,0,0,0,0,0,0,0,0,577
