metric,mean,std,min,max,folds
accuracy,0.8897403020864708,0.1761213041890075,0.6260341974627689,0.9872151195108394,4
macro_f1,0.875357292920939,0.09530389393613337,0.744404250569318,0.9726883044751603,4
weighted_f1,0.8926929296250017,0.16450902114554966,0.6467697460795805,0.9866601486809534,4
roc_auc_ovr_macro,0.9647090333967472,0.04253715897272929,0.9059713487706442,0.9976034939370454,4
average_precision_macro,0.9300298962737299,0.060591821230297806,0.8703637470906078,0.986288181931677,4
n_items,1836.25,141.2689515309952,1699.0,2034.0,4
precision_HumpbackWhale,1.0,0.0,1.0,1.0,4
recall_HumpbackWhale,1.0,0.0,1.0,1.0,4
f1_HumpbackWhale,1.0,0.0,1.0,1.0,4
support_HumpbackWhale,135.25,112.22707635266396,35.0,289.0,4
precision_SpermWhale,0.7641003166660454,0.3462628162494302,0.25461254612546125,0.9979166666666667,4
recall_SpermWhale,0.8897793162558947,0.11493744195430312,0.7703703703703704,1.0,4
f1_SpermWhale,0.768819203515579,0.25173735363780625,0.40588235294117647,0.9866117404737385,4
support_SpermWhale,236.5,171.02144115090755,135.0,491.0,4
precision_KillerWhale,0.9500594112037022,0.0833880948409538,0.8263473053892215,1.0,4
recall_KillerWhale,0.8224976568925613,0.35300552271530117,0.2929936305732484,1.0,4
f1_KillerWhale,0.8544676520629334,0.2813059999346417,0.43260188087774293,1.0,4
support_KillerWhale,650.25,519.0808382773022,333.0,1424.0,4
precision_Long_FinnedPilotWhale,0.9407124465604353,0.08823239524001679,0.8132530120481928,1.0,4
recall_Long_FinnedPilotWhale,0.995575221238938,0.008849557522123908,0.9823008849557522,1.0,4
f1_Long_FinnedPilotWhale,0.9655570603160097,0.046938923190240636,0.8970099667774086,1.0,4
support_Long_FinnedPilotWhale,210.5,173.89939620366712,113.0,471.0,4
precision_NorthernRightWhale,1.0,0.0,1.0,1.0,4
recall_NorthernRightWhale,1.0,0.0,1.0,1.0,4
f1_NorthernRightWhale,1.0,0.0,1.0,1.0,4
support_NorthernRightWhale,85.5,18.375708603116962,75.0,113.0,4
precision_SpinnerDolphin,0.75,0.5,0.0,1.0,4
recall_SpinnerDolphin,0.293671679197995,0.4134184986373582,0.0,0.9,4
f1_SpinnerDolphin,0.35419169032539854,0.4202916162189234,0.0,0.9473684210526315,4
support_SpinnerDolphin,110.75,192.48787840623456,4.0,399.0,4
precision_Short_Finned(Pacific)PilotWhale,0.745681796783388,0.4918685034272419,0.008097165991902834,1.0,4
recall_Short_Finned(Pacific)PilotWhale,0.7672413793103448,0.46551724137931033,0.06896551724137931,1.0,4
f1_Short_Finned(Pacific)PilotWhale,0.7504111969711076,0.4906496783161584,0.014492753623188406,1.0,4
support_Short_Finned(Pacific)PilotWhale,139.5,214.34784813475503,29.0,461.0,4
precision_Beluga_WhiteWhale,1.0,0.0,1.0,1.0,4
recall_Beluga_WhiteWhale,1.0,0.0,1.0,1.0,4
f1_Beluga_WhiteWhale,1.0,0.0,1.0,1.0,4
support_Beluga_WhiteWhale,32.75,10.626225419530053,25.0,48.0,4
precision_WeddellSeal,1.0,0.0,1.0,1.0,4
recall_WeddellSeal,1.0,0.0,1.0,1.0,4
f1_WeddellSeal,1.0,0.0,1.0,1.0,4
support_WeddellSeal,25.5,10.754843869934453,15.0,39.0,4
precision_Walrus,0.9955357142857143,0.008928571428571452,0.9821428571428571,1.0,4
recall_Walrus,0.9137931034482758,0.1724137931034483,0.6551724137931034,1.0,4
f1_Walrus,0.9456644144144144,0.10275296683046546,0.7916666666666666,1.0,4
support_Walrus,65.5,57.0,29.0,149.0,4
precision_StripedDolphin,0.9804347826086957,0.03913043478260869,0.9217391304347826,1.0,4
recall_StripedDolphin,1.0,0.0,1.0,1.0,4
f1_StripedDolphin,0.9898190045248869,0.020361990950226228,0.9592760180995475,1.0,4
support_StripedDolphin,144.25,70.95714669197646,101.0,250.0,4
