,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,51,1,0,2,92,0,35,61,0,299,0
SpermWhale,11,333,276,73,0,71,32,0,0,23,127
KillerWhale,0,5,2125,0,2,0,141,101,227,0,0
Long_FinnedPilotWhale,0,3,25,550,0,0,138,0,0,0,126
NorthernRightWhale,76,0,0,0,130,0,0,23,0,113,0
SpinnerDolphin,0,370,0,0,0,34,0,0,0,0,39
Short_Finned(Pacific)PilotWhale,0,284,195,47,1,10,0,3,0,18,0
Beluga_WhiteWhale,1,0,0,0,3,13,0,109,0,5,0
WeddellSeal,0,0,19,0,0,0,0,0,83,0,0
Walrus,149,0,22,9,0,0,4,12,0,66,0
StripedDolphin,0,23,45,122,0,0,0,0,0,0,387
