feature,gain,repeat,fold
bytes_on_disk,0.3299069404602051,0,0
native_sample_rate,0.2863587439060211,0,0
year,0.2745295464992523,0,0
duration_seconds,0.10920476168394089,0,0
year,0.3916814625263214,0,1
native_sample_rate,0.31540486216545105,0,1
bytes_on_disk,0.14999254047870636,0,1
duration_seconds,0.14292116463184357,0,1
native_sample_rate,0.32149451971054077,0,2
bytes_on_disk,0.2968827486038208,0,2
year,0.263702929019928,0,2
duration_seconds,0.11791980266571045,0,2
bytes_on_disk,0.30590277910232544,0,3
year,0.29419180750846863,0,3
native_sample_rate,0.2834792137145996,0,3
duration_seconds,0.11642618477344513,0,3
