metric,mean,std,min,max,folds
accuracy,0.5174933570714211,0.24367527575975148,0.21289605336297943,0.8092428711897739,4
macro_f1,0.39593654567329717,0.08836871895850315,0.27132141523302766,0.47614057633865675,4
weighted_f1,0.49646819712030865,0.2316253530867139,0.2084470560583862,0.7732489751255389,4
roc_auc_ovr_macro,0.819900219425686,0.07358967355521712,0.7293404133624996,0.9095895616146353,4
average_precision_macro,0.528536548926775,0.08946759914282632,0.40515195553397554,0.6093523146620689,4
n_items,1836.25,141.2689515309952,1699.0,2034.0,4
precision_HumpbackWhale,0.33899173941062744,0.4512237311863147,0.0,1.0,4
recall_HumpbackWhale,0.23021688560481662,0.30912885917776495,0.0,0.6857142857142857,4
f1_HumpbackWhale,0.1643862253439633,0.14618391623400237,0.0,0.35294117647058826,4
support_HumpbackWhale,135.25,112.22707635266396,35.0,289.0,4
precision_SpermWhale,0.46396976746262797,0.36946889873559535,0.0684931506849315,0.9615384615384616,4
recall_SpermWhale,0.2977563260127681,0.2326096337882729,0.014814814814814815,0.5494505494505495,4
f1_SpermWhale,0.3123710693512095,0.30802947927771207,0.02857142857142857,0.6993006993006993,4
support_SpermWhale,236.5,171.02144115090755,135.0,491.0,4
precision_KillerWhale,0.7147919811533844,0.4729794126314178,0.011049723756906077,0.9978976874562018,4
recall_KillerWhale,0.6721896158893478,0.4638217180451658,0.0160857908847185,1.0,4
f1_KillerWhale,0.69035718640388,0.4653596640532989,0.013100436681222707,0.9989477376359173,4
support_KillerWhale,650.25,519.0808382773022,333.0,1424.0,4
precision_Long_FinnedPilotWhale,0.7958332497676875,0.25357077181527576,0.43137254901960786,1.0,4
recall_Long_FinnedPilotWhale,0.587630935888864,0.38576832322884014,0.06504065040650407,0.9777777777777777,4
f1_Long_FinnedPilotWhale,0.551610068225018,0.2954633998914796,0.12213740458015267,0.7752808988764045,4
support_Long_FinnedPilotWhale,210.5,173.89939620366712,113.0,471.0,4
precision_NorthernRightWhale,0.30338874680306904,0.3657011403029792,0.0,0.7352941176470589,4
recall_NorthernRightWhale,0.4262820512820513,0.5067347224095301,0.0,1.0,4
f1_NorthernRightWhale,0.35435145341178537,0.4245647005850058,0.0,0.847457627118644,4
support_NorthernRightWhale,85.5,18.375708603116962,75.0,113.0,4
precision_SpinnerDolphin,0.2568608570052961,0.4747556292308956,0.0,0.967741935483871,4
recall_SpinnerDolphin,0.5,0.5773502691896257,0.0,1.0,4
f1_SpinnerDolphin,0.27407065342876935,0.47599680009552253,0.0,0.9836065573770492,4
support_SpinnerDolphin,110.75,192.48787840623456,4.0,399.0,4
precision_Short_Finned(Pacific)PilotWhale,0.0,0.0,0.0,0.0,4
recall_Short_Finned(Pacific)PilotWhale,0.0,0.0,0.0,0.0,4
f1_Short_Finned(Pacific)PilotWhale,0.0,0.0,0.0,0.0,4
support_Short_Finned(Pacific)PilotWhale,139.5,214.34784813475503,29.0,461.0,4
precision_Beluga_WhiteWhale,0.48249240108357067,0.34562326196102816,0.2808988764044944,1.0,4
recall_Beluga_WhiteWhale,0.8155048076923077,0.22807737405098755,0.53125,1.0,4
f1_Beluga_WhiteWhale,0.5437781212761176,0.20328765374157337,0.40476190476190477,0.8444444444444444,4
support_Beluga_WhiteWhale,32.75,10.626225419530053,25.0,48.0,4
precision_WeddellSeal,0.7783203125,0.443359375,0.11328125,1.0,4
recall_WeddellSeal,0.8002024291497976,0.1520002550671287,0.631578947368421,1.0,4
f1_WeddellSeal,0.6840391066492786,0.32425329450977386,0.20350877192982456,0.8888888888888888,4
support_WeddellSeal,25.5,10.754843869934453,15.0,39.0,4
precision_Walrus,0.2521624435959736,0.26237279674357283,0.0,0.52,4
recall_Walrus,0.47115987460815045,0.40963315372460507,0.0,1.0,4
f1_Walrus,0.29615430507827417,0.29200865609334375,0.0,0.6041666666666666,4
support_Walrus,65.5,57.0,29.0,149.0,4
precision_StripedDolphin,0.4701026130144623,0.359092617929122,0.0,0.8245614035087719,4
recall_StripedDolphin,0.5976196525312909,0.4624956037509645,0.0,0.9811320754716981,4
f1_StripedDolphin,0.48418381323797255,0.3357164052257933,0.0,0.7750410509031199,4
support_StripedDolphin,144.25,70.95714669197646,101.0,250.0,4
