,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,855,210,655,60,865,265,40,100,250,1870,240
SpermWhale,1690,1635,170,1370,80,870,360,750,460,390,1685
KillerWhale,1600,630,2100,1980,225,1870,8365,1640,5330,1680,590
Long_FinnedPilotWhale,380,660,475,2745,220,1575,550,535,1000,80,200
NorthernRightWhale,880,20,260,250,895,170,70,215,280,170,210
SpinnerDolphin,90,170,110,860,100,600,1675,250,170,0,405
Short_Finned(Pacific)PilotWhale,2380,115,121,635,30,1365,248,341,260,60,25
Beluga_WhiteWhale,85,105,80,50,95,90,80,580,85,45,15
WeddellSeal,30,130,30,55,0,130,25,45,515,50,10
Walrus,1360,25,100,20,50,10,40,75,40,860,40
StripedDolphin,50,555,285,730,110,735,60,20,290,140,2795
