,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,70,27,54,11,91,26,2,12,22,195,31
SpermWhale,179,171,18,127,10,92,37,79,61,35,137
KillerWhale,138,35,183,301,16,145,887,154,567,141,34
Long_FinnedPilotWhale,27,71,49,307,21,158,59,50,81,5,14
NorthernRightWhale,84,2,19,26,98,21,5,30,27,10,20
SpinnerDolphin,8,14,7,25,7,33,285,17,8,0,39
Short_Finned(Pacific)PilotWhale,238,13,10,52,4,148,21,36,29,4,3
Beluga_WhiteWhale,6,13,7,4,8,6,8,67,6,4,2
WeddellSeal,1,11,2,9,0,14,4,2,53,6,0
Walrus,136,2,11,1,5,1,4,11,4,83,4
StripedDolphin,6,69,59,41,12,72,3,2,50,12,251
