metric,mean,std,min,max,folds
accuracy,0.185516894046593,0.06186680721007335,0.09882005899705015,0.24190700412007063,4
macro_f1,0.19516500368812845,0.02408146960575328,0.15942936296423182,0.2118319889793123,4
weighted_f1,0.19170235598244115,0.04761538754745079,0.12626113301559355,0.24041473313295902,4
roc_auc_ovr_macro,0.731842248216924,0.011465521330578293,0.7175568582519815,0.74163970894706,4
average_precision_macro,0.28156244827609983,0.013172856419781229,0.27126763589688185,0.3006335583534051,4
n_items,1836.25,141.2689515309952,1699.0,2034.0,4
precision_HumpbackWhale,0.07095445020501938,0.05946092271076177,0.0,0.1336405529953917,4
recall_HumpbackWhale,0.1376105344098424,0.12475838822701228,0.0,0.2777777777777778,4
f1_HumpbackWhale,0.08139671203341868,0.06546346849464411,0.0,0.16022099447513813,4
support_HumpbackWhale,135.25,112.22707635266396,35.0,289.0,4
precision_SpermWhale,0.36448009973953377,0.12889511617260896,0.25,0.5370370370370371,4
recall_SpermWhale,0.1862467073349921,0.07650770310328003,0.13333333333333333,0.2971014492753623,4
f1_SpermWhale,0.24040657082287958,0.0759393308353105,0.17391304347826086,0.3360655737704918,4
support_SpermWhale,236.5,171.02144115090755,135.0,491.0,4
precision_KillerWhale,0.44230017840998714,0.2902662286107233,0.18023255813953487,0.7956989247311828,4
recall_KillerWhale,0.08220780263398145,0.07656145442711929,0.018018018018018018,0.19302949061662197,4
f1_KillerWhale,0.1287088315654189,0.10997305025178929,0.033426183844011144,0.2874251497005988,4
support_KillerWhale,650.25,519.0808382773022,333.0,1424.0,4
precision_Long_FinnedPilotWhale,0.3321913252333733,0.27334808493945983,0.1125,0.7028985507246377,4
recall_Long_FinnedPilotWhale,0.33278949230692545,0.1287343619665432,0.14634146341463414,0.4247787610619469,4
f1_Long_FinnedPilotWhale,0.3044404313754163,0.17268525014862596,0.127208480565371,0.5194109772423026,4
support_Long_FinnedPilotWhale,210.5,173.89939620366712,113.0,471.0,4
precision_NorthernRightWhale,0.3957096890564632,0.11269285302087308,0.30357142857142855,0.5483870967741935,4
recall_NorthernRightWhale,0.29241753549974325,0.09891049183619607,0.2236842105263158,0.4358974358974359,4
f1_NorthernRightWhale,0.31724465801699425,0.028883600345297054,0.29545454545454547,0.35789473684210527,4
support_NorthernRightWhale,85.5,18.375708603116962,75.0,113.0,4
precision_SpinnerDolphin,0.20879865103936313,0.3712485871826193,0.0,0.7647058823529411,4
recall_SpinnerDolphin,0.39147869674185465,0.47345669128039947,0.0,1.0,4
f1_SpinnerDolphin,0.04834902563294464,0.04068632540447074,0.0,0.09580838323353294,4
support_SpinnerDolphin,110.75,192.48787840623456,4.0,399.0,4
precision_Short_Finned(Pacific)PilotWhale,0.050760994745077656,0.08454512489593673,0.003236245954692557,0.1774193548387097,4
recall_Short_Finned(Pacific)PilotWhale,0.1430386216869873,0.15327405112644857,0.004338394793926247,0.3333333333333333,4
f1_Short_Finned(Pacific)PilotWhale,0.0652254943942697,0.1110146973103652,0.005917159763313609,0.23157894736842105,4
support_Short_Finned(Pacific)PilotWhale,139.5,214.34784813475503,29.0,461.0,4
precision_Beluga_WhiteWhale,0.136546534273807,0.04002105689396804,0.09090909090909091,0.1746031746031746,4
recall_Beluga_WhiteWhale,0.45595352564102565,0.2633481497100435,0.2692307692307692,0.8333333333333334,4
f1_Beluga_WhiteWhale,0.20635519067474206,0.06713608454339338,0.13592233009708737,0.27586206896551724,4
support_Beluga_WhiteWhale,32.75,10.626225419530053,25.0,48.0,4
precision_WeddellSeal,0.08403056967153849,0.04452327887753516,0.018480492813141684,0.11403508771929824,4
recall_WeddellSeal,0.5686327888687236,0.18744451556065586,0.3333333333333333,0.7894736842105263,4
f1_WeddellSeal,0.1397257316590625,0.07049949640024747,0.035856573705179286,0.19230769230769232,4
support_WeddellSeal,25.5,10.754843869934453,15.0,39.0,4
precision_Walrus,0.22011925272794838,0.23152933529573827,0.0,0.5454545454545454,4
recall_Walrus,0.5199059561128526,0.36938609130933237,0.0,0.8727272727272727,4
f1_Walrus,0.28130254632685037,0.23944761419995475,0.0,0.5806451612903226,4
support_Walrus,65.5,57.0,29.0,149.0,4
precision_StripedDolphin,0.31698227236099924,0.28383800309525214,0.0,0.6061643835616438,4
recall_StripedDolphin,0.358883990285821,0.35866492487180196,0.0,0.708,4
f1_StripedDolphin,0.33365984806741583,0.31903832783445474,0.0,0.6531365313653137,4
support_StripedDolphin,144.25,70.95714669197646,101.0,250.0,4
