,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,34,89,44,75,76,28,28,51,24,76,16
SpermWhale,49,120,66,296,32,48,20,115,95,66,39
KillerWhale,92,343,654,822,2,12,115,104,269,114,74
Long_FinnedPilotWhale,17,59,42,469,1,91,63,37,54,1,8
NorthernRightWhale,96,22,10,3,72,13,16,20,31,38,21
SpinnerDolphin,1,34,2,15,2,15,323,15,11,3,22
Short_Finned(Pacific)PilotWhale,9,21,3,82,0,154,8,33,246,0,2
Beluga_WhiteWhale,7,23,7,10,4,4,13,47,9,3,4
WeddellSeal,1,4,3,17,0,1,6,9,54,3,4
Walrus,73,19,11,0,51,5,8,6,14,72,3
StripedDolphin,3,159,236,11,25,10,29,52,26,1,25
