feature,gain,repeat,fold
mfcc_15_p10,0.05104605853557587,0,0
mfcc_7_p10,0.03815172240138054,0,0
bandwidth_mean,0.023886539041996002,0,0
mfcc_delta_0_std,0.023711830377578735,0,0
mfcc_8_mean,0.018643055111169815,0,0
rolloff85_p10,0.018439773470163345,0,0
mfcc_8_std,0.016834933310747147,0,0
mfcc_delta_0_p90,0.01571202464401722,0,0
dominant_frequency,0.014538624323904514,0,0
rms_p90,0.014008368365466595,0,0
contrast_5_p10,0.013569241389632225,0,0
centroid_std,0.013261204585433006,0,0
spectral_entropy_p10,0.013238468207418919,0,0
flatness_p10,0.012597220949828625,0,0
bandwidth_p90,0.011669127270579338,0,0
zero_crossing_rate_std,0.011005538515746593,0,0
mfcc_5_std,0.010991493239998817,0,0
contrast_5_p90,0.010988721624016762,0,0
contrast_0_p90,0.010804548859596252,0,0
bandwidth_p10,0.01073460467159748,0,0
contrast_3_p10,0.010693986900150776,0,0
mfcc_0_std,0.010653126053512096,0,0
spectral_entropy_p90,0.01035960391163826,0,0
mfcc_6_p90,0.009943422861397266,0,0
mfcc_15_mean,0.009811872616410255,0,0
contrast_5_mean,0.00970451720058918,0,0
rolloff85_mean,0.009646300226449966,0,0
rolloff85_std,0.009383626282215118,0,0
mfcc_4_p90,0.008884494192898273,0,0
mfcc_3_mean,0.008866054005920887,0,0
contrast_0_mean,0.008755633607506752,0,0
mfcc_11_mean,0.008635983802378178,0,0
mfcc_1_p10,0.008462196215987206,0,0
mfcc_8_p10,0.008105428889393806,0,0
mfcc_5_p90,0.007566500920802355,0,0
mfcc_6_std,0.007273205555975437,0,0
zero_crossing_rate_p90,0.007130287121981382,0,0
mfcc_5_mean,0.007073950953781605,0,0
mfcc_11_p10,0.006973708514124155,0,0
mfcc_3_p10,0.006915624253451824,0,0
contrast_3_mean,0.006865816656500101,0,0
mfcc_1_mean,0.006812105420976877,0,0
mfcc_8_p90,0.006808284670114517,0,0
rms_p10,0.006806955672800541,0,0
contrast_2_mean,0.006765041034668684,0,0
mfcc_9_mean,0.006764259189367294,0,0
rolloff85_p90,0.006761331111192703,0,0
mfcc_1_p90,0.006622856482863426,0,0
contrast_1_p10,0.006448838394135237,0,0
mfcc_3_p90,0.0063515943475067616,0,0
contrast_0_std,0.006288368254899979,0,0
contrast_1_mean,0.006251993123441935,0,0
mfcc_15_std,0.006180366035550833,0,0
mfcc_17_mean,0.006112776231020689,0,0
contrast_0_p10,0.005920954514294863,0,0
mfcc_7_mean,0.005614244379103184,0,0
contrast_4_mean,0.005479750689119101,0,0
