metric,mean,std,min,max,folds
accuracy,0.20937203330308665,0.11469302039848964,0.12079426365140651,0.36184857423795475,4
macro_f1,0.15994476371869548,0.032604593908425634,0.1297677827630288,0.20551204102088902,4
weighted_f1,0.21377601841445223,0.15630961950331843,0.09750710837320947,0.440408408971235,4
roc_auc_ovr_macro,0.7112489488920427,0.043422370382280064,0.6814653717690106,0.7752835399668395,4
average_precision_macro,0.22286069343337309,0.04498140780311082,0.1652238347679879,0.2745149743492253,4
n_items,1836.25,141.2689515309952,1699.0,2034.0,4
precision_HumpbackWhale,0.05146141215106732,0.0882649389207197,0.0,0.18285714285714286,4
recall_HumpbackWhale,0.11455938697318008,0.2200194698396655,0.0,0.4444444444444444,4
f1_HumpbackWhale,0.06908767276280887,0.12694155411085503,0.0,0.2591093117408907,4
support_HumpbackWhale,135.25,112.22707635266396,35.0,289.0,4
precision_SpermWhale,0.1898843104655969,0.18040902446499735,0.030162412993039442,0.4263565891472868,4
recall_SpermWhale,0.14146339982256037,0.10597997343928352,0.06043956043956044,0.2971014492753623,4
f1_SpermWhale,0.13734975064398888,0.10089110556832738,0.045936395759717315,0.2611464968152866,4
support_SpermWhale,236.5,171.02144115090755,135.0,491.0,4
precision_KillerWhale,0.44103091371617864,0.3598334951974871,0.096875,0.9467554076539102,4
recall_KillerWhale,0.15334713949245332,0.1680779538909771,0.03003003003003003,0.39957865168539325,4
f1_KillerWhale,0.21766764621194742,0.23525379439591007,0.055710306406685235,0.5619753086419753,4
support_KillerWhale,650.25,519.0808382773022,333.0,1424.0,4
precision_Long_FinnedPilotWhale,0.23256378282514467,0.17772526778029074,0.10676156583629894,0.4929078014184397,4
recall_Long_FinnedPilotWhale,0.5272327834508452,0.21899868444137532,0.24390243902439024,0.7703703703703704,4
f1_Long_FinnedPilotWhale,0.3026799394221634,0.1707216299101897,0.1485148514851485,0.5371980676328503,4
support_Long_FinnedPilotWhale,210.5,173.89939620366712,113.0,471.0,4
precision_NorthernRightWhale,0.286655694254446,0.2676154045221263,0.0,0.6470588235294118,4
recall_NorthernRightWhale,0.2366970310391363,0.22120860528650954,0.0,0.52,4
f1_NorthernRightWhale,0.2091916790821992,0.14498741617090907,0.0,0.33191489361702126,4
support_NorthernRightWhale,85.5,18.375708603116962,75.0,113.0,4
precision_SpinnerDolphin,0.028111783359131087,0.03241636459267218,0.0,0.0736196319018405,4
recall_SpinnerDolphin,0.21250000000000002,0.16520189667999174,0.0,0.4,4
f1_SpinnerDolphin,0.048823684995795244,0.054366282376290445,0.0,0.12435233160621761,4
support_SpinnerDolphin,110.75,192.48787840623456,4.0,399.0,4
precision_Short_Finned(Pacific)PilotWhale,0.02327129586165731,0.03428171450980539,0.0,0.07407407407407407,4
recall_Short_Finned(Pacific)PilotWhale,0.06096432303328855,0.04698924312621549,0.0,0.11428571428571428,4
f1_Short_Finned(Pacific)PilotWhale,0.030589586797740327,0.04048546448665608,0.0,0.0898876404494382,4
support_Short_Finned(Pacific)PilotWhale,139.5,214.34784813475503,29.0,461.0,4
precision_Beluga_WhiteWhale,0.1446979361583734,0.12016403853198186,0.024390243902439025,0.3023255813953488,4
recall_Beluga_WhiteWhale,0.3457451923076923,0.20290828600220606,0.09375,0.52,4
f1_Beluga_WhiteWhale,0.19321040701798908,0.14381068907033498,0.03870967741935484,0.38235294117647056,4
support_Beluga_WhiteWhale,32.75,10.626225419530053,25.0,48.0,4
precision_WeddellSeal,0.11327308274246621,0.0776168211788469,0.03345724907063197,0.20754716981132076,4
recall_WeddellSeal,0.5524733584624691,0.09633064301835316,0.41025641025641024,0.6206896551724138,4
f1_WeddellSeal,0.17627651997085658,0.10554987850616299,0.06349206349206349,0.3055555555555556,4
support_WeddellSeal,25.5,10.754843869934453,15.0,39.0,4
precision_Walrus,0.28339947089947093,0.2705931854531105,0.0,0.6428571428571429,4
recall_Walrus,0.4413793103448276,0.34875919574276565,0.0,0.8,4
f1_Walrus,0.3286884645166224,0.2710238224228993,0.0,0.631578947368421,4
support_Walrus,65.5,57.0,29.0,149.0,4
precision_StripedDolphin,0.13592896174863386,0.17892003017684488,0.0,0.3770491803278688,4
recall_StripedDolphin,0.02795049504950495,0.043708114142621025,0.0,0.092,4
f1_StripedDolphin,0.04582704948353868,0.0700712005130857,0.0,0.14790996784565916,4
support_StripedDolphin,144.25,70.95714669197646,101.0,250.0,4
