fold,part,species,clips,groups,tapes
0,train,HumpbackWhale,535,4,9
0,train,KillerWhale,706,6,11
0,train,SpermWhale,763,7,46
0,validation,KillerWhale,471,1,5
0,validation,SpermWhale,68,2,5
0,test,HumpbackWhale,6,1,1
0,test,KillerWhale,1424,1,49
0,test,SpermWhale,115,3,4
1,train,HumpbackWhale,469,4,9
1,train,KillerWhale,706,6,11
1,train,SpermWhale,736,8,45
1,validation,KillerWhale,1424,1,49
1,validation,SpermWhale,86,3,6
1,test,HumpbackWhale,72,1,1
1,test,KillerWhale,471,1,5
1,test,SpermWhale,124,1,4
2,train,HumpbackWhale,512,4,9
2,train,KillerWhale,976,3,12
2,train,SpermWhale,390,8,13
2,validation,KillerWhale,1424,1,49
2,validation,SpermWhale,86,3,6
2,test,HumpbackWhale,29,1,1
2,test,KillerWhale,201,4,4
2,test,SpermWhale,470,1,36
3,train,HumpbackWhale,252,4,8
3,train,KillerWhale,944,6,10
3,train,SpermWhale,748,7,47
3,validation,KillerWhale,1424,1,49
3,validation,SpermWhale,75,2,5
3,test,HumpbackWhale,289,1,2
3,test,KillerWhale,233,1,6
3,test,SpermWhale,123,3,3
4,train,HumpbackWhale,396,4,5
4,train,KillerWhale,905,6,15
4,train,SpermWhale,763,5,43
4,validation,KillerWhale,1424,1,49
4,validation,SpermWhale,69,3,4
4,test,HumpbackWhale,145,1,5
4,test,KillerWhale,272,1,1
4,test,SpermWhale,114,4,8
