fold,part,species,clips,groups,tapes
0,train,HumpbackWhale,512,4,9
0,train,KillerWhale,506,4,13
0,train,SpermWhale,207,8,16
0,validation,KillerWhale,57,3,3
0,validation,SpermWhale,673,1,36
0,test,HumpbackWhale,29,1,1
0,test,KillerWhale,2038,1,49
0,test,SpermWhale,66,3,3
1,train,HumpbackWhale,498,4,8
1,train,KillerWhale,454,5,14
1,train,SpermWhale,225,8,15
1,validation,KillerWhale,2038,1,49
1,validation,SpermWhale,48,3,4
1,test,HumpbackWhale,43,1,2
1,test,KillerWhale,109,2,2
1,test,SpermWhale,673,1,36
2,train,HumpbackWhale,206,4,5
2,train,KillerWhale,458,4,9
2,train,SpermWhale,849,4,45
2,validation,KillerWhale,2038,1,49
2,validation,SpermWhale,28,3,3
2,test,HumpbackWhale,335,1,5
2,test,KillerWhale,105,3,7
2,test,SpermWhale,69,5,7
3,train,HumpbackWhale,469,4,9
3,train,KillerWhale,385,6,15
3,train,SpermWhale,835,7,46
3,validation,KillerWhale,2038,1,49
3,validation,SpermWhale,45,3,4
3,test,HumpbackWhale,72,1,1
3,test,KillerWhale,178,1,1
3,test,SpermWhale,66,2,5
4,train,HumpbackWhale,479,4,9
4,train,KillerWhale,392,6,10
4,train,SpermWhale,826,8,47
4,validation,KillerWhale,2038,1,49
4,validation,SpermWhale,48,3,4
4,test,HumpbackWhale,62,1,1
4,test,KillerWhale,171,1,6
4,test,SpermWhale,72,1,4
