fold,part,species,clips,groups,tapes
0,train,Beluga_WhiteWhale,110,4,7
0,train,HumpbackWhale,383,4,5
0,train,KillerWhale,486,4,13
0,train,Long_FinnedPilotWhale,568,4,6
0,train,NorthernRightWhale,262,3,12
0,train,Short_Finned(Pacific)PilotWhale,262,2,3
0,train,SpermWhale,285,6,11
0,train,SpinnerDolphin,413,3,11
0,train,StripedDolphin,401,3,4
0,train,Walrus,232,4,7
0,train,WeddellSeal,86,3,9
0,validation,HumpbackWhale,2,1,1
0,validation,KillerWhale,31,3,3
0,validation,Long_FinnedPilotWhale,55,4,4
0,validation,Short_Finned(Pacific)PilotWhale,237,1,4
0,validation,SpermWhale,559,2,37
0,validation,StripedDolphin,56,2,2
0,test,Beluga_WhiteWhale,21,3,5
0,test,HumpbackWhale,156,1,4
0,test,KillerWhale,2084,1,49
0,test,Long_FinnedPilotWhale,219,2,6
0,test,NorthernRightWhale,80,2,5
0,test,Short_Finned(Pacific)PilotWhale,59,5,5
0,test,SpermWhale,102,6,7
0,test,SpinnerDolphin,30,1,1
0,test,StripedDolphin,120,1,1
0,test,Walrus,30,4,4
0,test,WeddellSeal,16,2,2
1,train,Beluga_WhiteWhale,62,4,7
1,train,HumpbackWhale,472,3,6
1,train,KillerWhale,415,4,9
1,train,Long_FinnedPilotWhale,523,6,11
1,train,NorthernRightWhale,282,4,13
1,train,Short_Finned(Pacific)PilotWhale,317,4,5
1,train,SpermWhale,324,10,13
1,train,SpinnerDolphin,375,3,11
1,train,StripedDolphin,465,3,4
1,train,Walrus,102,5,8
1,train,WeddellSeal,86,4,9
1,validation,Beluga_WhiteWhale,4,2,2
1,validation,KillerWhale,2084,1,49
1,validation,Long_FinnedPilotWhale,115,1,2
1,validation,Short_Finned(Pacific)PilotWhale,4,3,3
1,validation,SpermWhale,63,2,5
1,validation,Walrus,11,2,2
1,test,Beluga_WhiteWhale,65,1,3
1,test,HumpbackWhale,69,3,4
1,test,KillerWhale,102,3,7
1,test,Long_FinnedPilotWhale,204,3,3
1,test,NorthernRightWhale,60,1,4
1,test,Short_Finned(Pacific)PilotWhale,237,1,4
1,test,SpermWhale,559,2,37
1,test,SpinnerDolphin,68,1,1
1,test,StripedDolphin,112,3,3
1,test,Walrus,149,1,1
1,test,WeddellSeal,16,1,2
2,train,Beluga_WhiteWhale,96,5,7
2,train,HumpbackWhale,449,4,7
2,train,KillerWhale,389,4,13
2,train,Long_FinnedPilotWhale,530,4,7
2,train,NorthernRightWhale,253,4,13
2,train,Short_Finned(Pacific)PilotWhale,395,4,7
2,train,SpermWhale,714,10,49
2,train,SpinnerDolphin,218,3,3
2,train,StripedDolphin,280,4,4
2,train,Walrus,201,5,5
2,train,WeddellSeal,82,4,8
2,validation,Beluga_WhiteWhale,12,1,3
2,validation,HumpbackWhale,30,1,2
2,validation,KillerWhale,2084,1,49
2,validation,Long_FinnedPilotWhale,140,2,3
2,validation,Short_Finned(Pacific)PilotWhale,4,3,3
2,validation,SpermWhale,52,3,3
2,validation,StripedDolphin,45,1,1
2,validation,Walrus,10,2,2
2,test,Beluga_WhiteWhale,23,1,2
2,test,HumpbackWhale,62,1,1
2,test,KillerWhale,128,3,3
2,test,Long_FinnedPilotWhale,172,4,6
2,test,NorthernRightWhale,89,1,4
2,test,Short_Finned(Pacific)PilotWhale,159,1,2
2,test,SpermWhale,180,1,3
2,test,SpinnerDolphin,225,1,9
2,test,StripedDolphin,252,1,2
2,test,Walrus,51,1,4
2,test,WeddellSeal,20,1,3
3,train,Beluga_WhiteWhale,107,4,9
3,train,HumpbackWhale,257,4,7
3,train,KillerWhale,230,6,10
3,train,Long_FinnedPilotWhale,480,8,13
3,train,NorthernRightWhale,229,4,13
3,train,Short_Finned(Pacific)PilotWhale,451,4,8
3,train,SpermWhale,810,7,45
3,train,SpinnerDolphin,323,3,11
3,train,StripedDolphin,484,5,6
3,train,Walrus,222,5,8
3,train,WeddellSeal,52,4,7
3,validation,Beluga_WhiteWhale,2,1,1
3,validation,HumpbackWhale,30,1,2
3,validation,KillerWhale,2084,1,49
3,validation,Long_FinnedPilotWhale,115,1,2
3,validation,Short_Finned(Pacific)PilotWhale,4,3,3
3,validation,SpermWhale,31,2,2
3,validation,Walrus,8,1,1
3,test,Beluga_WhiteWhale,22,2,2
3,test,HumpbackWhale,254,1,1
3,test,KillerWhale,287,1,6
3,test,Long_FinnedPilotWhale,247,1,1
3,test,NorthernRightWhale,113,1,4
3,test,Short_Finned(Pacific)PilotWhale,103,1,1
3,test,SpermWhale,105,5,8
3,test,SpinnerDolphin,120,1,1
3,test,StripedDolphin,93,1,1
3,test,Walrus,32,2,2
3,test,WeddellSeal,50,1,4
