fold,part,species,clips,groups,tapes
0,train,Beluga_WhiteWhale,94,4,7
0,train,HumpbackWhale,469,4,9
0,train,KillerWhale,804,5,9
0,train,Long_FinnedPilotWhale,703,4,9
0,train,NorthernRightWhale,264,4,13
0,train,Short_Finned(Pacific)PilotWhale,90,4,4
0,train,SpermWhale,368,8,16
0,train,SpinnerDolphin,433,3,11
0,train,StripedDolphin,356,3,4
0,train,Walrus,233,3,6
0,train,WeddellSeal,73,4,7
0,validation,Beluga_WhiteWhale,5,2,2
0,validation,KillerWhale,1424,1,49
0,validation,Long_FinnedPilotWhale,16,2,2
0,validation,Short_Finned(Pacific)PilotWhale,7,3,4
0,validation,SpermWhale,87,2,2
0,validation,StripedDolphin,120,1,1
0,test,Beluga_WhiteWhale,32,1,3
0,test,HumpbackWhale,72,1,1
0,test,KillerWhale,373,2,7
0,test,Long_FinnedPilotWhale,123,4,5
0,test,NorthernRightWhale,78,1,4
0,test,Short_Finned(Pacific)PilotWhale,461,1,4
0,test,SpermWhale,491,2,37
0,test,SpinnerDolphin,10,1,1
0,test,StripedDolphin,101,2,2
0,test,Walrus,29,5,5
0,test,WeddellSeal,29,1,4
1,train,Beluga_WhiteWhale,101,4,7
1,train,HumpbackWhale,396,4,5
1,train,KillerWhale,706,6,11
1,train,Long_FinnedPilotWhale,704,5,11
1,train,NorthernRightWhale,267,4,13
1,train,Short_Finned(Pacific)PilotWhale,526,5,8
1,train,SpermWhale,692,7,47
1,train,SpinnerDolphin,44,3,3
1,train,StripedDolphin,282,4,5
1,train,Walrus,104,6,9
1,train,WeddellSeal,83,4,9
1,validation,Beluga_WhiteWhale,5,2,2
1,validation,KillerWhale,1424,1,49
1,validation,Long_FinnedPilotWhale,25,1,1
1,validation,Short_Finned(Pacific)PilotWhale,3,1,1
1,validation,SpermWhale,116,2,2
1,validation,StripedDolphin,45,1,1
1,validation,Walrus,9,1,1
1,test,Beluga_WhiteWhale,25,1,3
1,test,HumpbackWhale,145,1,5
1,test,KillerWhale,471,1,5
1,test,Long_FinnedPilotWhale,113,4,4
1,test,NorthernRightWhale,75,1,4
1,test,Short_Finned(Pacific)PilotWhale,29,2,3
1,test,SpermWhale,138,3,6
1,test,SpinnerDolphin,399,1,9
1,test,StripedDolphin,250,1,1
1,test,Walrus,149,1,1
1,test,WeddellSeal,19,1,2
2,train,Beluga_WhiteWhale,105,3,8
2,train,HumpbackWhale,506,3,8
2,train,KillerWhale,1116,4,13
2,train,Long_FinnedPilotWhale,661,8,11
2,train,NorthernRightWhale,266,3,12
2,train,Short_Finned(Pacific)PilotWhale,62,5,6
2,train,SpermWhale,341,7,14
2,train,SpinnerDolphin,429,2,10
2,train,StripedDolphin,457,5,6
2,train,Walrus,221,6,9
2,train,WeddellSeal,87,3,9
2,validation,KillerWhale,61,3,3
2,validation,Long_FinnedPilotWhale,46,1,1
2,validation,Short_Finned(Pacific)PilotWhale,461,1,4
2,validation,SpermWhale,470,1,36
2,validation,SpinnerDolphin,10,1,1
2,validation,Walrus,12,1,1
2,test,Beluga_WhiteWhale,26,4,4
2,test,HumpbackWhale,35,2,2
2,test,KillerWhale,1424,1,49
2,test,Long_FinnedPilotWhale,135,1,4
2,test,NorthernRightWhale,76,2,5
2,test,Short_Finned(Pacific)PilotWhale,35,2,2
2,test,SpermWhale,135,4,5
2,test,SpinnerDolphin,4,1,1
2,test,StripedDolphin,120,1,1
2,test,Walrus,29,1,1
2,test,WeddellSeal,15,2,2
3,train,Beluga_WhiteWhale,78,4,8
3,train,HumpbackWhale,252,4,8
3,train,KillerWhale,844,3,12
3,train,Long_FinnedPilotWhale,311,7,11
3,train,NorthernRightWhale,229,4,13
3,train,Short_Finned(Pacific)PilotWhale,522,4,7
3,train,SpermWhale,723,7,46
3,train,SpinnerDolphin,413,3,11
3,train,StripedDolphin,351,3,3
3,train,Walrus,198,6,6
3,train,WeddellSeal,63,4,8
3,validation,Beluga_WhiteWhale,5,2,2
3,validation,KillerWhale,1424,1,49
3,validation,Long_FinnedPilotWhale,60,2,2
3,validation,Short_Finned(Pacific)PilotWhale,3,1,2
3,validation,SpermWhale,41,2,2
3,validation,StripedDolphin,120,1,1
3,validation,Walrus,9,1,1
3,test,Beluga_WhiteWhale,48,1,2
3,test,HumpbackWhale,289,1,2
3,test,KillerWhale,333,4,4
3,test,Long_FinnedPilotWhale,471,1,3
3,test,NorthernRightWhale,113,1,4
3,test,Short_Finned(Pacific)PilotWhale,33,3,3
3,test,SpermWhale,182,3,7
3,test,SpinnerDolphin,30,1,1
3,test,StripedDolphin,106,2,3
3,test,Walrus,55,1,4
3,test,WeddellSeal,39,1,3
