fold,part,species,clips,groups,tapes
0,train,Beluga_WhiteWhale,88,6,6
0,train,HumpbackWhale,222,8,8
0,train,KillerWhale,1665,42,42
0,train,Long_FinnedPilotWhale,718,10,10
0,train,NorthernRightWhale,216,13,13
0,train,Short_Finned(Pacific)PilotWhale,386,9,9
0,train,SpermWhale,648,37,37
0,train,SpinnerDolphin,241,8,8
0,train,StripedDolphin,507,6,6
0,train,Walrus,212,8,8
0,train,WeddellSeal,68,7,7
0,validation,Beluga_WhiteWhale,18,3,3
0,validation,HumpbackWhale,254,1,1
0,validation,KillerWhale,416,11,11
0,validation,Long_FinnedPilotWhale,145,4,4
0,validation,NorthernRightWhale,54,3,3
0,validation,Short_Finned(Pacific)PilotWhale,49,2,2
0,validation,SpermWhale,162,10,10
0,validation,SpinnerDolphin,120,1,1
0,validation,StripedDolphin,58,3,3
0,validation,Walrus,21,2,2
0,validation,WeddellSeal,11,1,1
0,test,Beluga_WhiteWhale,25,3,3
0,test,HumpbackWhale,70,3,3
0,test,KillerWhale,520,12,12
0,test,Long_FinnedPilotWhale,204,4,4
0,test,NorthernRightWhale,72,1,1
0,test,Short_Finned(Pacific)PilotWhale,123,1,1
0,test,SpermWhale,203,11,11
0,test,SpinnerDolphin,82,3,3
0,test,StripedDolphin,93,1,1
0,test,Walrus,29,1,1
0,test,WeddellSeal,23,3,3
1,train,Beluga_WhiteWhale,73,8,8
1,train,HumpbackWhale,242,6,6
1,train,KillerWhale,1665,43,43
1,train,Long_FinnedPilotWhale,714,11,11
1,train,NorthernRightWhale,203,12,12
1,train,Short_Finned(Pacific)PilotWhale,461,4,4
1,train,SpermWhale,648,36,36
1,train,SpinnerDolphin,295,8,8
1,train,StripedDolphin,436,6,6
1,train,Walrus,84,9,9
1,train,WeddellSeal,68,8,8
1,validation,Beluga_WhiteWhale,35,1,1
1,validation,HumpbackWhale,50,5,5
1,validation,KillerWhale,417,9,9
1,validation,Long_FinnedPilotWhale,149,3,3
1,validation,NorthernRightWhale,72,1,1
1,validation,Short_Finned(Pacific)PilotWhale,5,3,3
1,validation,SpermWhale,162,9,9
1,validation,SpinnerDolphin,68,1,1
1,validation,StripedDolphin,120,1,1
1,validation,Walrus,29,1,1
1,validation,WeddellSeal,16,1,1
1,test,Beluga_WhiteWhale,23,3,3
1,test,HumpbackWhale,254,1,1
1,test,KillerWhale,519,13,13
1,test,Long_FinnedPilotWhale,204,4,4
1,test,NorthernRightWhale,67,4,4
1,test,Short_Finned(Pacific)PilotWhale,92,5,5
1,test,SpermWhale,203,13,13
1,test,SpinnerDolphin,80,3,3
1,test,StripedDolphin,102,3,3
1,test,Walrus,149,1,1
1,test,WeddellSeal,18,2,2
2,train,Beluga_WhiteWhale,72,8,8
2,train,HumpbackWhale,415,7,7
2,train,KillerWhale,1663,42,42
2,train,Long_FinnedPilotWhale,715,10,10
2,train,NorthernRightWhale,222,10,10
2,train,Short_Finned(Pacific)PilotWhale,362,7,7
2,train,SpermWhale,647,38,38
2,train,SpinnerDolphin,261,8,8
2,train,StripedDolphin,339,7,7
2,train,Walrus,206,7,7
2,train,WeddellSeal,67,8,8
2,validation,Beluga_WhiteWhale,35,1,1
2,validation,HumpbackWhale,62,1,1
2,validation,KillerWhale,418,9,9
2,validation,Long_FinnedPilotWhale,144,3,3
2,validation,NorthernRightWhale,53,2,2
2,validation,Short_Finned(Pacific)PilotWhale,103,1,1
2,validation,SpermWhale,163,8,8
2,validation,SpinnerDolphin,62,3,3
2,validation,StripedDolphin,69,2,2
2,validation,Walrus,29,1,1
2,validation,WeddellSeal,16,1,1
2,test,Beluga_WhiteWhale,24,3,3
2,test,HumpbackWhale,69,4,4
2,test,KillerWhale,520,14,14
2,test,Long_FinnedPilotWhale,208,5,5
2,test,NorthernRightWhale,67,5,5
2,test,Short_Finned(Pacific)PilotWhale,93,4,4
