config,family,model,floor,margin,p_value,q_value,rejected,agreeing,folds
wide_10k,species,probe,logbook,-0.5359400835,5.0215899999999996e-20,2.30993e-18,True,50,50
wide_10k,species,xgboost+probe,logbook,-0.5152673344,1.9066e-18,4.38518e-17,True,50,50
wide_10k,species,xgboost,logbook,-0.5478857754,5.548e-15,8.50693e-14,True,50,50
wide_10k,species,logbook,metadata,0.3984743889,1.54256e-08,1.77394e-07,True,50,50
base_10k,species,xgboost,logbook,-0.2448115921,2.36998e-08,2.18038e-07,True,50,50
base_10k,species,probe,logbook,-0.2581309576,1.10588e-06,8.47841e-06,True,50,50
base_5k,species,probe,logbook,-0.2759262229,2.93685e-06,1.92993e-05,True,50,50
base_10k,species,xgboost+probe,logbook,-0.2324473954,7.44472e-06,4.28071e-05,True,50,50
base_5k,species,xgboost+probe,logbook,-0.2385737168,0.0001195229,0.0005498053,True,50,50
context_10k,species,xgboost,logbook,-0.6602116797,0.0001077675,0.0005498053,True,5,5
base_5k,species,xgboost,logbook,-0.2496876896,0.0002460082,0.0010287616,True,50,50
base_10k,species,cnn_small,logbook,-0.287560913,0.0003192262,0.0012237004,True,50,50
wide_10k,species,xgboost,metadata,-0.1494113865,0.0013415002,0.0046923365,True,48,50
context_10k,species,xgboost+probe,logbook,-0.5412484729,0.0014281024,0.0046923365,True,5,5
context_10k,species,probe,logbook,-0.5371491792,0.0015311434,0.0046955064,True,5,5
base_5k,species,probe,metadata,-0.1764176119,0.0017681412,0.005083406,True,47,50
base_5k,species,xgboost,metadata,-0.1501790786,0.0119478705,0.0323295319,True,46,50
base_5k,species,xgboost+probe,metadata,-0.1390651058,0.0188531853,0.0481803624,True,45,50
base_10k,species,cnn,logbook,-0.2862979045,0.0254385214,0.0615879992,False,5,5
wide_10k,species,probe,metadata,-0.1374656946,0.0469843364,0.1080639737,False,43,50
wide_10k,species,xgboost+probe,metadata,-0.1167929455,0.0541324378,0.1185758161,False,43,50
context_shuffled_10k,species,xgboost,metadata,-0.3425708519,0.0571060958,0.1194036549,False,5,5
base_10k,species,logbook,metadata,0.1293969769,0.0667367297,0.1334734594,False,44,50
context_10k,species,logbook,metadata,0.3602873538,0.0771404171,0.1478524661,False,5,5
context_10k,species,xgboost,metadata,-0.2999243259,0.0823698021,0.1515604359,False,5,5
context_shuffled_10k,species,xgboost,logbook,-0.3715979922,0.1069091744,0.1891470009,False,4,5
base_10k,calltype_spermwhale_coda,calltype_spermwhale_coda_cnn_small,calltype_spermwhale_coda_context,-0.1775706891,0.1272762217,0.2090966499,False,5,5
base_5k,species,cnn_small,logbook,-0.2368704804,0.1235066725,0.2090966499,False,5,5
base_10k,calltype_killerwhale_chirp,calltype_killerwhale_chirp,calltype_killerwhale_chirp_context,-0.0631626456,0.1352320281,0.213316045,False,34,50
base_10k,calltype_spermwhale_coda,calltype_spermwhale_coda,calltype_spermwhale_coda_context,-0.0940463008,0.1437116255,0.213316045,False,39,50
base_10k,species,probe,metadata,-0.1287339807,0.1483937704,0.213316045,False,39,50
base_5k,species,logbook,metadata,0.099508611,0.1443708164,0.213316045,False,39,50
base_5k,species,cnn_small,metadata,-0.170537267,0.1667046987,0.2323762467,False,5,5
base_10k,calltype_killerwhale_click,calltype_killerwhale_click,calltype_killerwhale_click_context,0.1155329584,0.1977516962,0.2584227651,False,37,50
base_10k,species,cnn_small,metadata,-0.1581639361,0.1977667494,0.2584227651,False,40,50
base_10k,calltype_killerwhale_whistle,calltype_killerwhale_whistle,calltype_killerwhale_whistle_context,0.043485606,0.2022439031,0.2584227651,False,36,50
base_10k,species,xgboost,metadata,-0.1154146152,0.2392911269,0.2974970767,False,38,50
base_10k,species,xgboost+probe,metadata,-0.1030504185,0.2864895161,0.3468030984,False,38,50
context_10k,species,xgboost+probe,metadata,-0.1809611191,0.3232952694,0.3813226254,False,4,5
context_10k,species,probe,metadata,-0.1768618254,0.3566541559,0.4101522793,False,4,5
base_10k,species,cnn,metadata,-0.170193954,0.3869314368,0.4341181974,False,4,5
base_10k,calltype_killerwhale_call,calltype_killerwhale_call,calltype_killerwhale_call_context,-0.0773270432,0.4062081206,0.4448946083,False,30,50
base_10k,calltype_spermwhale_click,calltype_spermwhale_click,calltype_spermwhale_click_context,-0.0317398724,0.581585417,0.6221611438,False,29,50
base_10k,calltype_killerwhale_squeal,calltype_killerwhale_squeal,calltype_killerwhale_squeal_context,0.036052624,0.7329547986,0.749242683,False,32,50
context_shuffled_10k,species,logbook,metadata,0.0290271403,0.7249022229,0.749242683,False,3,5
base_10k,calltype_spermwhale_whistle,calltype_spermwhale_whistle,calltype_spermwhale_whistle_context,-0.0335491256,0.8407488817,0.8407488817,False,31,50
