model,coverage,threshold,predictions,clips,accuracy,macro_f1
xgboost,1.0,0.095,77230,7723,0.5681988864,0.4200767743
xgboost,0.95,0.2099,73368,7713,0.5891533093,0.4328405907
xgboost,0.9,0.2511,69507,7684,0.6084854763,0.4434446098
xgboost,0.8,0.3268,61784,7504,0.6503949243,0.4632584562
xgboost,0.7,0.4072,54061,7094,0.7007639518,0.4819285938
xgboost,0.6,0.5085,46338,6339,0.761362165,0.50913467
xgboost,0.5,0.6372,38615,5387,0.8274504726,0.5485232586
xgboost,0.4,0.762,30892,4421,0.8833678622,0.5971091888
xgboost,0.3,0.8455,23169,3677,0.9128145367,0.6143255969
xgboost,0.2,0.9089,15446,2835,0.9392075618,0.6196317836
xgboost,0.1,0.956,7723,1911,0.9647805257,0.6384352804
probe,1.0,0.1615,77230,7723,0.5685355432,0.4409226295
probe,0.95,0.335,73368,7694,0.5885808527,0.4562526022
probe,0.9,0.3955,69507,7605,0.6079963169,0.4708237792
probe,0.8,0.4917,61784,7332,0.6484041176,0.5008979103
probe,0.7,0.584,54061,6895,0.6906827473,0.5324485423
probe,0.6,0.6851,46338,6224,0.7342785619,0.5611350622
probe,0.5,0.7892,38615,5377,0.7782985886,0.5925344297
probe,0.4,0.8734,30892,4498,0.8204713194,0.6174868738
probe,0.3,0.9362,23169,3530,0.8635245371,0.6542568085
probe,0.2,0.9749,15446,2490,0.8996503949,0.6751694841
probe,0.1,0.9941,7723,1337,0.9432862877,0.6805637402
xgboost+probe,1.0,0.138,77230,7723,0.5977599378,0.4619955043
xgboost+probe,0.95,0.258,73368,7685,0.6199978192,0.4797081547
xgboost+probe,0.9,0.3026,69507,7619,0.642410117,0.4971978815
xgboost+probe,0.8,0.3762,61784,7304,0.6903405412,0.5354583797
xgboost+probe,0.7,0.4473,54061,6730,0.7444183422,0.5821537023
xgboost+probe,0.6,0.5184,46338,5916,0.8017609737,0.638189547
xgboost+probe,0.5,0.6067,38615,5105,0.8552634986,0.6676798489
xgboost+probe,0.4,0.7201,30892,4099,0.9107535932,0.675408081
xgboost+probe,0.3,0.8353,23169,3194,0.951271095,0.6991147357
xgboost+probe,0.2,0.9107,15446,2404,0.9730027192,0.6727766763
xgboost+probe,0.1,0.9597,7723,1488,0.9873106306,0.615845675
