,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,5460,0,0,0,0,0,0,0,0,0,0
SpermWhale,0,9251,36,621,0,41,84,21,0,0,76
KillerWhale,0,4,25514,301,8,0,0,183,0,0,0
Long_FinnedPilotWhale,0,127,1,10292,0,0,250,0,0,0,0
NorthernRightWhale,0,0,0,0,3420,0,0,0,0,0,0
SpinnerDolphin,0,439,0,61,0,3929,0,0,0,0,1
Short_Finned(Pacific)PilotWhale,0,237,1,617,0,55,4660,3,0,0,7
Beluga_WhiteWhale,0,0,28,0,0,130,0,1152,0,0,0
WeddellSeal,0,0,0,0,0,0,0,0,1020,0,0
Walrus,0,0,0,0,0,10,0,0,0,2610,0
StripedDolphin,0,490,0,299,0,0,450,0,0,0,5341
