feature,gain,repeat,fold
cond_water_noise,0.7402777671813965,0,0
cond_reverberation,0.07920007407665253,0,0
longitude,0.04272338002920151,0,0
collection_code,0.03966023027896881,0,0
native_sample_rate,0.03289009630680084,0,0
year,0.024473946541547775,0,0
site_code,0.016627607867121696,0,0
latitude,0.01564617268741131,0,0
bytes_on_disk,0.003734203753992915,0,0
duration_seconds,0.0030627469532191753,0,0
cond_engine_noise,0.0009178066975437105,0,0
cond_ship_noise,0.0007859874167479575,0,0
cond_night_recording,0.0,0,0
cond_no_visual,0.0,0,0
cond_tape_speed_note,0.0,0,0
longitude,0.2937473952770233,0,1
year,0.23920272290706635,0,1
collection_code,0.19517116248607635,0,1
native_sample_rate,0.14777565002441406,0,1
site_code,0.05451992526650429,0,1
latitude,0.05401451885700226,0,1
bytes_on_disk,0.008140110410749912,0,1
duration_seconds,0.0044353557750582695,0,1
cond_ship_noise,0.0029931641183793545,0,1
cond_engine_noise,0.0,0,1
cond_reverberation,0.0,0,1
cond_water_noise,0.0,0,1
cond_night_recording,0.0,0,1
cond_no_visual,0.0,0,1
cond_tape_speed_note,0.0,0,1
cond_water_noise,0.6704740524291992,0,2
cond_engine_noise,0.20618070662021637,0,2
collection_code,0.02869264781475067,0,2
cond_reverberation,0.027391130104660988,0,2
longitude,0.020994041115045547,0,2
year,0.01850673370063305,0,2
native_sample_rate,0.01530225295573473,0,2
latitude,0.003938627894967794,0,2
site_code,0.003497509052976966,0,2
duration_seconds,0.00326333474367857,0,2
cond_ship_noise,0.0011516169179230928,0,2
bytes_on_disk,0.0006073360564187169,0,2
cond_night_recording,0.0,0,2
cond_no_visual,0.0,0,2
cond_tape_speed_note,0.0,0,2
collection_code,0.2973659336566925,0,3
longitude,0.21560423076152802,0,3
year,0.15739327669143677,0,3
native_sample_rate,0.10407912731170654,0,3
latitude,0.09907529503107071,0,3
site_code,0.09712527692317963,0,3
cond_reverberation,0.014732797630131245,0,3
bytes_on_disk,0.007659704890102148,0,3
duration_seconds,0.006964411586523056,0,3
cond_ship_noise,0.0,0,3
cond_engine_noise,0.0,0,3
cond_water_noise,0.0,0,3
cond_night_recording,0.0,0,3
cond_no_visual,0.0,0,3
cond_tape_speed_note,0.0,0,3
cond_water_noise,0.6212058067321777,0,4
cond_engine_noise,0.237362802028656,0,4
cond_reverberation,0.03696321323513985,0,4
collection_code,0.028228970244526863,0,4
longitude,0.02044796757400036,0,4
year,0.018308553844690323,0,4
latitude,0.01253713108599186,0,4
native_sample_rate,0.011781994253396988,0,4
site_code,0.007871952839195728,0,4
bytes_on_disk,0.002752716885879636,0,4
duration_seconds,0.0025111399590969086,0,4
cond_tape_speed_note,2.7758802389143966e-05,0,4
cond_ship_noise,0.0,0,4
cond_night_recording,0.0,0,4
cond_no_visual,0.0,0,4
cond_water_noise,0.45516565442085266,1,0
cond_ship_noise,0.13714803755283356,1,0
collection_code,0.08769738674163818,1,0
longitude,0.08381233364343643,1,0
year,0.06867580115795135,1,0
native_sample_rate,0.05138527229428291,1,0
latitude,0.044275593012571335,1,0
site_code,0.03474138304591179,1,0
cond_reverberation,0.02267250046133995,1,0
bytes_on_disk,0.011330404318869114,1,0
duration_seconds,0.003095640568062663,1,0
cond_engine_noise,0.0,1,0
cond_night_recording,0.0,1,0
cond_no_visual,0.0,1,0
cond_tape_speed_note,0.0,1,0
cond_reverberation,0.8593600988388062,1,1
longitude,0.03709748759865761,1,1
year,0.033521268516778946,1,1
collection_code,0.03055822290480137,1,1
native_sample_rate,0.022745471447706223,1,1
latitude,0.006707847584038973,1,1
site_code,0.006144107785075903,1,1
duration_seconds,0.001984942704439163,1,1
cond_ship_noise,0.0015284924302250147,1,1
bytes_on_disk,0.00035208059125579894,1,1
cond_engine_noise,0.0,1,1
cond_water_noise,0.0,1,1
cond_night_recording,0.0,1,1
cond_no_visual,0.0,1,1
cond_tape_speed_note,0.0,1,1
cond_water_noise,0.6813620328903198,1,2
cond_engine_noise,0.21777242422103882,1,2
collection_code,0.02871628664433956,1,2
longitude,0.021174490451812744,1,2
year,0.016852347180247307,1,2
cond_reverberation,0.016266046091914177,1,2
native_sample_rate,0.011848445981740952,1,2
site_code,0.0027937425766140223,1,2
latitude,0.0025284590665251017,1,2
duration_seconds,0.0005312671419233084,1,2
bytes_on_disk,0.00012387124297674745,1,2
cond_ship_noise,3.062863106606528e-05,1,2
cond_night_recording,0.0,1,2
cond_no_visual,0.0,1,2
cond_tape_speed_note,0.0,1,2
longitude,0.3658088743686676,1,3
collection_code,0.17507047951221466,1,3
year,0.11099749058485031,1,3
cond_ship_noise,0.08250951021909714,1,3
site_code,0.06859999895095825,1,3
latitude,0.06428328901529312,1,3
native_sample_rate,0.06236770376563072,1,3
bytes_on_disk,0.037499237805604935,1,3
duration_seconds,0.02050149254500866,1,3
cond_reverberation,0.009814340621232986,1,3
cond_tape_speed_note,0.002547606360167265,1,3
cond_engine_noise,0.0,1,3
cond_water_noise,0.0,1,3
cond_night_recording,0.0,1,3
cond_no_visual,0.0,1,3
cond_water_noise,0.8393903970718384,1,4
collection_code,0.037392087280750275,1,4
cond_reverberation,0.02661173976957798,1,4
longitude,0.02571059577167034,1,4
year,0.022607773542404175,1,4
native_sample_rate,0.01740454137325287,1,4
latitude,0.013387969695031643,1,4
site_code,0.007395860273391008,1,4
cond_ship_noise,0.004459061194211245,1,4
bytes_on_disk,0.003996441140770912,1,4
duration_seconds,0.0013293225783854723,1,4
cond_tape_speed_note,0.00025737163377925754,1,4
cond_engine_noise,5.686647637048736e-05,1,4
cond_night_recording,0.0,1,4
cond_no_visual,0.0,1,4
cond_water_noise,0.6343765258789062,2,0
longitude,0.07928317785263062,2,0
collection_code,0.07397935539484024,2,0
year,0.05517701059579849,2,0
cond_reverberation,0.052242208272218704,2,0
latitude,0.04354396089911461,2,0
native_sample_rate,0.03483138233423233,2,0
bytes_on_disk,0.013214126229286194,2,0
site_code,0.011217326857149601,2,0
cond_tape_speed_note,0.0011516909580677748,2,0
duration_seconds,0.000983288511633873,2,0
cond_ship_noise,0.0,2,0
cond_engine_noise,0.0,2,0
cond_night_recording,0.0,2,0
cond_no_visual,0.0,2,0
cond_reverberation,0.8397945165634155,2,1
longitude,0.04896245896816254,2,1
year,0.035776395350694656,2,1
collection_code,0.03187144175171852,2,1
native_sample_rate,0.017488233745098114,2,1
site_code,0.01344427652657032,2,1
latitude,0.008253678679466248,2,1
duration_seconds,0.0033471265342086554,2,1
bytes_on_disk,0.0005967951728962362,2,1
cond_engine_noise,0.000247414835030213,2,1
cond_ship_noise,0.00021765213750768453,2,1
cond_water_noise,0.0,2,1
cond_night_recording,0.0,2,1
cond_no_visual,0.0,2,1
cond_tape_speed_note,0.0,2,1
cond_water_noise,0.683341920375824,2,2
cond_engine_noise,0.21757034957408905,2,2
collection_code,0.027958769351243973,2,2
longitude,0.018082424998283386,2,2
year,0.01786612719297409,2,2
cond_reverberation,0.013876723125576973,2,2
native_sample_rate,0.012692558579146862,2,2
latitude,0.0031829874496906996,2,2
site_code,0.002586990362033248,2,2
cond_ship_noise,0.0019502193899825215,2,2
duration_seconds,0.0007563488325104117,2,2
bytes_on_disk,0.00013457336171995848,2,2
cond_night_recording,0.0,2,2
cond_no_visual,0.0,2,2
cond_tape_speed_note,0.0,2,2
collection_code,0.3444121181964874,2,3
year,0.16963528096675873,2,3
longitude,0.16866689920425415,2,3
native_sample_rate,0.10520889610052109,2,3
site_code,0.10131068527698517,2,3
cond_reverberation,0.0673578530550003,2,3
